"uuid:ID","label","name","id","reference","instanceType","synonyms"
"493cdf34-4d9b-4645-9d9d-02285ac0778e","Sex","Sex","BiomedicalConcept_20","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept",""
"70be2382-5d38-445b-a92b-4895cdeac991","Race","Race","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","['Racial Group']"
"f0645778-2bc9-45d3-b21c-ae05990afd94","Temperature","Temperature","BiomedicalConcept_22","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","['Temperature', 'Body Temperature']"
"22eeb22f-41e3-495f-9951-5092e80f1d23","Weight","Weight","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","['Weight', 'Body Weight']"
"e055d86f-0b4a-4b0f-9a63-db7c572f74f1","Height","Height","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","['Height', 'Body Height']"
"d358de84-0e92-4e0b-8d83-7b64b2dc407d","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"18c33287-cfd6-4071-95b5-8dc0d43c013d","Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","['Albumin', 'Albumin Measurement']"
"5556183d-7363-4c80-9630-56e0b11e704b","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"fba5228c-81d3-4515-bf68-fa9481ecb90b","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"0c62d43d-8638-4d18-9129-d9d36d7c7e6b","Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']"
