"uuid:ID","name","id","text","instanceType"
"e9e9cb3e-375e-4f5d-a149-0b31e7605fcb","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","TransitionRule"
"c9587673-5580-4695-a37d-9ff38bf762ff","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","TransitionRule"
"d0d9d090-4a86-4fbd-9d75-b11c4a43b671","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"177e6043-919a-42fd-9957-869ab47dec7d","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule"
"6fdea4a8-151a-4b22-a63d-5d65ba1a23df","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","TransitionRule"
"aa84c239-68a1-460c-b51d-c4144500d05d","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","TransitionRule"
"fd625f86-a937-4343-99c9-9e75302768c6","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","TransitionRule"
"066dbca1-3aeb-4cc5-8ef0-d1d7bd58c92c","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"3d63e8e3-2e7c-41d9-b0fa-aec2824b0f36","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","TransitionRule"
"57e1ee89-cf82-4bbf-af13-8c56f1b944f5","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule"
"8c9813ae-776e-4642-9cad-0c2ca96af384","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"602584aa-ddd1-46fb-9cc7-b340c8b66348","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","TransitionRule"
"9e41401c-528c-4eae-bb21-1c887a1a0001","ELEMENT_START_RULE_4","TransitionRule_11","Randomized","TransitionRule"
"86bf8575-1974-4248-bc56-e3dc5ddec0db","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"fa1851aa-3077-4bb7-9f59-bd031537ede1","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
