"uuid:ID","label","name","description","id","instanceType"
"43974ae9-2b3d-497d-b712-3aa4f78df2a8","Screen One","SCREEN1","-","ScheduledActivityInstance_9","ScheduledActivityInstance"
"2410478e-1590-4182-8263-349b25370d49","Screen Two","SCREEN2","-","ScheduledActivityInstance_10","ScheduledActivityInstance"
"764708f6-ebab-4f37-973a-da6dad47fcb4","Dose","DOSE","-","ScheduledActivityInstance_11","ScheduledActivityInstance"
"b570ae57-41c6-429a-b2d7-cb0c66043a73","Week 2","WK2","-","ScheduledActivityInstance_12","ScheduledActivityInstance"
"a7975e2a-c3e2-48e4-a23b-6f2cb38fc2fb","Week 4","WK4","-","ScheduledActivityInstance_13","ScheduledActivityInstance"
"a6344260-632d-4984-ba16-fc1feda28d9c","Week 6","WK6","-","ScheduledActivityInstance_14","ScheduledActivityInstance"
"1a2a0748-610a-487c-8ca7-bba32b3bbc8f","Week 8","WK8","-","ScheduledActivityInstance_15","ScheduledActivityInstance"
"5eafa1a9-ffaa-4ead-8356-7f7bcd7bea5f","Week NPI","WK8N","-","ScheduledActivityInstance_16","ScheduledActivityInstance"
"22637665-7a67-4281-9334-0100a19b9323","Week 12","WK12","-","ScheduledActivityInstance_17","ScheduledActivityInstance"
"87a7a703-db6e-48af-b43d-b111a356f5ed","Week 12 NPI","WK12N","-","ScheduledActivityInstance_18","ScheduledActivityInstance"
"73424173-8f03-4e53-99bf-6b6f40010646","Week 16","WK16","-","ScheduledActivityInstance_19","ScheduledActivityInstance"
"693f5645-d01a-4450-9a41-7790d444ad94","Week 16 NPI","WK16N","-","ScheduledActivityInstance_20","ScheduledActivityInstance"
"31ea3147-eb63-4ccd-b551-9e9374a121b1","Week 20","WK20","-","ScheduledActivityInstance_21","ScheduledActivityInstance"
"84a30e4c-4eee-496f-a79c-d725b906a0e2","Week 20 NPI","WK20N","-","ScheduledActivityInstance_22","ScheduledActivityInstance"
"72fc8e83-c857-4958-828d-e840b551c78a","Week 24","WK24","-","ScheduledActivityInstance_23","ScheduledActivityInstance"
"3c046ef8-48af-4678-9194-b1c48404ee82","Week 26","WK26","-","ScheduledActivityInstance_24","ScheduledActivityInstance"
"e67bb1ce-51ed-4ba6-a05a-425de6090d55","Adevers Event","AE","-","ScheduledActivityInstance_1","ScheduledActivityInstance"
"cb5815bf-f8a4-4474-bcbd-79659045bca7","Early Termination","ET","-","ScheduledActivityInstance_2","ScheduledActivityInstance"
"7aa75d3e-ad15-4993-a95d-5d2864758c58","5 minute supine","VS_5MIN","","ScheduledActivityInstance_3","ScheduledActivityInstance"
"2511dabf-d3fc-45a2-967c-df10d58f248c","Vital signs supine","VS_SUPINE","","ScheduledActivityInstance_4","ScheduledActivityInstance"
"50bd0553-0abd-4b4c-b9fa-d05c550ffe98","1 minute standing","VS_1MIN","","ScheduledActivityInstance_5","ScheduledActivityInstance"
"6b73738c-0826-4e3e-905a-e2c4b2a43a7f","Vital signs after 1 min standing","VS_STAND1","","ScheduledActivityInstance_6","ScheduledActivityInstance"
"cbce1491-9f6a-4a04-82e4-51736351a7ad","2 minute standing","VS_2MIN","","ScheduledActivityInstance_7","ScheduledActivityInstance"
"3ce98e77-1740-4869-9c58-ef61aec11c5b","Vital signs after 3 min standing","VS_STAND3","","ScheduledActivityInstance_8","ScheduledActivityInstance"
