"uuid:ID","label","name","description","id","windowLabel","value","instanceType","windowLower","windowUpper","valueLabel"
"530a84c0-e8e2-4056-afba-7e9582c4b03b","Screening","TIM1","Screening timing","Timing_1","","P2W","Timing","","","2 weeks"
"15494334-de12-4d0c-abe5-0cad52ac31af","Pre dose","TIM2","Pre dose timing","Timing_2","-4..0 hours","P2D","Timing","PT4H","PT0H","2 days"
"a1163592-b54e-4fa9-abaf-16992ff72c52","Dosing","TIM3","Dosing anchor","Timing_3","","P1D","Timing","","","1 Day"
"8900e570-00bf-4a4e-a27e-7a0f5ef27cc7","Week 2","TIM4","Week 2 timing","Timing_4","-3..3 days","P2W","Timing","P3D","P3D","2 Weeks"
"1f3e9b05-4709-4035-9533-46dce79d5f95","Week 4","TIM5","Week 4 timing","Timing_5","-3..3 days","P4W","Timing","P3D","P3D","4 Weeks"
"caaec813-a912-4380-bb1f-984e7d0b1b9e","Week 6","TIM6","Week 6 timing","Timing_6","-3..3 days","P6W","Timing","P3D","P3D","6 Weeks"
"8976113f-b29d-4788-ac29-7c38ffd9354e","Week 8","TIM7","Week 8 timing","Timing_7","-3..3 days","P8W","Timing","P3D","P3D","8 Weeks"
"da2a5154-aaf9-4c4e-8f46-97f9ffa59fbe","Week 12","TIM9","Week 12 timing","Timing_9","-4..4 days","P12W","Timing","P4D","P4D","12 Weeks"
"2a4dd8a7-32fe-444b-b462-cf0ca6d6f1b5","Week 16","TIM11","Week 16 timing","Timing_11","-4..4 days","P16W","Timing","P4D","P4D","16 Weeks"
"14af2db4-5942-47a1-aab7-c614565a98aa","Week 20","TIM13","Week 20 timing","Timing_13","-4..4 days","P20W","Timing","P4D","P4D","20 Weeks"
"5d05d85d-9404-4b38-99d3-5ca49b64b5bd","Week 24","TIM15","Week 24 timing","Timing_15","-4..4 days","P24W","Timing","P4D","P4D","24 Weeks"
"ed17676a-15ab-41ec-b088-0a07150c8865","Week 26","TIM16","Week 26 timing","Timing_16","-3..3 days","P26W","Timing","P3D","P3D","26 Weeks"
"deecd490-b893-4c2c-8c22-181001929411","Week 8 Home","TIM8","Week 8 at home timing","Timing_8","","P2W","Timing","","","2 Weeks"
"68003ee7-dd31-4bad-9227-ffd472c0efbc","Week 12 Home","TIM10","Week 12 at home timing","Timing_10","","P2W","Timing","","","2 Weeks"
"23fa7727-d4c9-4bfc-bee9-d2f77ed059da","Week 16 Home","TIM12","Week 16 at home timing","Timing_12","","P2W","Timing","","","2 Weeks"
"ffcf2f83-1c32-4123-9ce7-52d21edfc118","Week 20 Home","TIM14","Week 20 at home timing","Timing_14","","P2W","Timing","","","2 Weeks"
"96f34ce4-0067-4e72-9284-1e26fd9d714f","Adverse Event","TIM17","Adverse Event","Timing_17","","P1D","Timing","","","1 Day"
"5948502c-c764-47e0-85b9-874dd57c7e4d","Early Termination","TIM18","Early Termination","Timing_18","","P1D","Timing","","","1 Day"
"c757e8c1-6222-4326-9155-9075db569a5e","Supine","TIM19","Supine","Timing_19","","PT0M","Timing","","","0 mins"
"5d404777-6ea2-4d90-b00b-585d3f6d80ca","VS while supine","TIM20","VS while supine","Timing_20","","PT5M","Timing","","","5 mins"
"dd1125df-e598-455c-8012-0e6f8a9d1779","Standing","TIM21","Standing","Timing_21","","PT0M","Timing","","","0 min"
"e35e5999-2b26-4fcb-930d-10131ddb81fc","VS while standing","TIM22","VS while standing","Timing_22","","PT1M","Timing","","","1 min"
"533cbd2f-3150-496a-97c0-aef92e3e4ad4","Standing","TIM23","Standing","Timing_23","","PT0M","Timing","","","0 min"
"e496d1de-81e2-499d-8ad9-4ec05ad30ee7","VS while standing","TIM24","VS while standing","Timing_24","","PT2M","Timing","","","2 min"
