"uuid:ID","label","name","description","id","instanceType"
"277600d8-fe89-4396-a1da-3b74a08ed39f","Screening 1","E1","Screening encounter","Encounter_1","Encounter"
"755bd880-ac57-4eb4-9468-0b3686f3558a","Screening 2","E2","Screening encounter - Ambulatory ECG Placement","Encounter_2","Encounter"
"c202ef13-0949-4523-8aa6-e555586d82af","Baseline","E3","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Encounter"
"d23a9b03-86b8-48d0-91fb-aed5d96506d0","Week 2","E4","Day 14","Encounter_4","Encounter"
"78d310ab-9223-4bec-a894-39aed942e095","Week 4","E5","Day 28","Encounter_5","Encounter"
"ab885786-37e5-4a8f-984b-7cea8147b6d4","Week 6","E7","Day 42","Encounter_6","Encounter"
"ec5304e1-abdd-4cfe-9100-ea9172a95dd4","Week 8","E8","Day 56","Encounter_7","Encounter"
"71add4d0-43c7-489c-a481-5ee7ef2560c9","Week 12","E9","Day 84","Encounter_8","Encounter"
"0bd19968-2500-43eb-8011-380559e573cb","Week 16","E10","Day 112","Encounter_9","Encounter"
"70aa8660-46b1-47b8-aac7-13444884a8f5","Week 20","E11","Day 140","Encounter_10","Encounter"
"d4dff5ad-2eb4-4c13-8d10-34e3114bad45","Week 24","E12","Day 168","Encounter_11","Encounter"
"24a84487-5c60-4580-84f4-a5f8e9eb08a3","Week 26","E13","Day 182","Encounter_12","Encounter"
