"id","isEnabled","label","datatype","isRequired","name","instanceType","uuid:ID"
"BiomedicalConceptProperty_1","True","Clinical Test Result","integer","True","Clinical Test Result","BiomedicalConceptProperty","44c2a157-b4a2-4df7-bac5-ce0a1aa219ad"
"BiomedicalConceptProperty_2","True","Count per Minute","string","True","Count per Minute","BiomedicalConceptProperty","e7c20b4e-3a81-417f-b42e-d571e4ae5270"
"BiomedicalConceptProperty_3","True","Anatomic Site","string","True","Anatomic Site","BiomedicalConceptProperty","c39f3b71-5245-4485-ab14-8c71c9cdb085"
"BiomedicalConceptProperty_4","True","Laterality","string","True","Laterality","BiomedicalConceptProperty","ce54bf7b-11e6-484a-9dbc-bdd2c6f8a8a4"
"BiomedicalConceptProperty_5","True","Test Method","string","True","Test Method","BiomedicalConceptProperty","266c8068-88cf-438a-ad5a-14b035e5252a"
"BiomedicalConceptProperty_6","True","Body Position","string","True","Body Position","BiomedicalConceptProperty","02b3b0fe-a676-4a86-9c7e-bd26ebc9c8f9"
"BiomedicalConceptProperty_7","True","Clinical Test Result","decimal","True","Clinical Test Result","BiomedicalConceptProperty","12c33e37-4685-4c87-9cdf-3f358bbe81d4"
"BiomedicalConceptProperty_8","True","Unit of Temperature","string","True","Unit of Temperature","BiomedicalConceptProperty","1e6a92fe-66ce-48eb-850e-6eab4b7dd08e"
"BiomedicalConceptProperty_9","True","Anatomic Site","string","True","Anatomic Site","BiomedicalConceptProperty","20936da7-7e4a-411e-af1e-d58990025a7d"
"BiomedicalConceptProperty_10","True","Laboratory Test Result","decimal","True","Laboratory Test Result","BiomedicalConceptProperty","89c17847-1695-434f-9ad8-ac42b644364c"
"BiomedicalConceptProperty_11","True","Laboratory Test Fasting Status","boolean","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","acc26763-ddc9-414c-9423-76607f03f9a8"
"BiomedicalConceptProperty_12","True","Biospecimen Type","string","True","Biospecimen Type","BiomedicalConceptProperty","1c53718a-6274-43ac-a223-b3c4853f624c"
"BiomedicalConceptProperty_13","True","Laboratory Test Result","decimal","True","Laboratory Test Result","BiomedicalConceptProperty","f6b34e97-bbcd-429f-a7d5-b80cfac36a26"
"BiomedicalConceptProperty_14","True","Laboratory Test Fasting Status","boolean","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","40e319ec-2309-4af7-8822-42d93e88e314"
"BiomedicalConceptProperty_15","True","Biospecimen Type","string","True","Biospecimen Type","BiomedicalConceptProperty","32aeb90d-dffe-488d-a57b-6fcc53e6d2a3"
