"id","description","label","reference","name","instanceType","uuid:ID"
"BiomedicalConceptSurrogate_2","Informed Consent Obtained","Informed Consent Obtained","None set","Informed Consent Obtained","BiomedicalConceptSurrogate","dd327ba4-1a8b-4061-9b3a-592bb136e7f8"
"BiomedicalConceptSurrogate_3","Medical History Free Text Format","Medical History Free Text Format","None set","Medical History Free Text Format","BiomedicalConceptSurrogate","50e9ff11-e102-46d7-9e90-97734b077f06"
"BiomedicalConceptSurrogate_4","Weight","Weight","None set","Weight","BiomedicalConceptSurrogate","85c30a5b-c44d-4169-a465-45cdd7fc521f"
"BiomedicalConceptSurrogate_5","Height","Height","None set","Height","BiomedicalConceptSurrogate","10fdd980-221f-4e42-84e7-a519e85eaecf"
"BiomedicalConceptSurrogate_6","Concomitant Medication Free Text Format","Concomitant Medication Free Text Format","None set","Concomitant Medication Free Text Format","BiomedicalConceptSurrogate","ce3d69e7-4c2b-48b0-870c-5ce5c077691d"
"BiomedicalConceptSurrogate_7","SYSBP","SYSBP","None set","SYSBP","BiomedicalConceptSurrogate","53573d17-c047-4fb1-b57c-571eb7c538f3"
"BiomedicalConceptSurrogate_8","DIABP","DIABP","None set","DIABP","BiomedicalConceptSurrogate","727fe308-f837-40ce-8497-2ed5a0063363"
"BiomedicalConceptSurrogate_9","Hepatitis B surface antigen","Hepatitis B surface antigen","None set","Hepatitis B surface antigen","BiomedicalConceptSurrogate","ad25f50a-65c4-43c2-9f69-90df5b2bab8a"
"BiomedicalConceptSurrogate_10","Hepatitis C antibody","Hepatitis C antibody","None set","Hepatitis C antibody","BiomedicalConceptSurrogate","9782d376-2de3-4682-880d-2c9196ba33a7"
"BiomedicalConceptSurrogate_11","HIV","HIV","None set","HIV","BiomedicalConceptSurrogate","d1deef33-af54-4244-ba92-7fab3bf0c8c4"
"BiomedicalConceptSurrogate_12","Syphilis","Syphilis","None set","Syphilis","BiomedicalConceptSurrogate","d967d136-ee97-4528-9387-ae923b9798d6"
"BiomedicalConceptSurrogate_13","Hematocrit","Hematocrit","None set","Hematocrit","BiomedicalConceptSurrogate","8d9c7ce8-7669-4531-8412-3b2d41d46aea"
