"id","description","text","label","identifier","name","instanceType","uuid:ID"
"EligibilityCriterion_1","","<p>have had a diagnosis of either:</p>
<ul>
  <li>
    <p>[1a] T1DM based on the World Health Organization (WHO) diagnostic criteria, and have been on the following daily insulin therapy for at least 1 year</p>
    <ul>
      <p>[A] multiple daily injection of long-acting insulin analog (either insulin glargine [U-100 or U-300] or insulin degludec [U-100]) and rapid-acting insulin analog (insulin lispro, insulin aspart, or insulin glulisine), or</p>
      <p>[B] continuous subcutaneous insulin infusion (CSII)</p>    
    </ul>
  </li>
  <p>Or</p>
  <li>
    <p>[1b] T2DM based on the WHO diagnostic criteria, and have received the</p>
    <p>following daily insulin therapy with or without oral anti-hyperglycemic medications (OAMs) for at least 1 year</p>
    <ul>
      <p>[A] insulin: long-acting insulin analog (either insulin glargine [U-100 or U-300] or insulin degludec [U-100]) alone, or in combination with rapid-acting insulin analog (insulin lispro, insulin aspart, or insulin glulisine) or CSII</p>
      <p>[B] OAM: up to 3 of the following OAMs in accordance with local regulations: metformin, dipeptidyl peptidase-4 inhibitor, sodium glucose cotransporter 2 inhibitor, sulfonylurea (should not be more than half of maximum approved doses), glinides, alpha-glucosidase inhibitor, or thiazolidine</p>
    </ul>
  </li>
</ul>","","1","INC1","EligibilityCriterion","889eeb65-11d0-4bec-b440-f39f00198a6e"
"EligibilityCriterion_2","Male contraception critierion","<p>male patients: agree to use an effective method of contraception for the duration of the study and for 28 days following the last study treatment</p>","","2","INC2","EligibilityCriterion","7edda2bb-9e83-48a7-b613-2f4501abebf9"
"EligibilityCriterion_3","Female contraception criterion","<ul>
  <li>
    [3a] women of childbearing potential who are abstinent (if this is complete
    abstinence, as their preferred and usual lifestyle) or in a same sex
    relationship (as part of their preferred and usual lifestyle) must agree to
    either remain abstinent or stay in a same sex relationship without sexual
    relationships with males. Periodic abstinence (eg, calendar, ovulation,
    symptothermal, post-ovulation methods), declaration of abstinence just for
    the duration of a trial, and withdrawal are not acceptable methods of
    contraception.
  </li>
  <li>
    [3b] otherwise, women of childbearing potential participating must agree to use
    one highly effective method (less than 1% failure rate) of contraception, or a
    combination of 2 effective methods of contraception for the entirety of the
    study.
    <ul>
      <li>[A] women of childbearing potential participating must test negative for
        pregnancy prior to initiation of treatment as indicated by a negative serum
        pregnancy test at the screening visit followed by a negative urine
        pregnancy test within 24 hours prior to exposure.</li>
      <li>[B] either one highly effective method of contraception or a combination
        of 2 effective methods of contraception will be used. The patient may
        choose to use a double barrier method of contraception. Barrier protection
        methods without concomitant use of a spermicide are not a reliable or
        acceptable method. Thus, each barrier method must include use of a
        spermicide. It should be noted that the use of male and female condoms
        as a double barrier method is not considered acceptable due to the high
        failure rate when these methods are combined.</li>
    </ul>
  </li>
  <li>
    [3c] women not of childbearing potential may participate, and include those who are:
    <ul>
      <li>
        [A] infertile due to surgical sterilization (hysterectomy, bilateral
        oophorectomy, or tubal ligation), congenital anomaly such as mullerian
        agenesis
      </li>
      <li>
        Or
        [B] postmenopausal, defined as either:
        <ul>
          <li>[i] a woman at least 50 years of age with an intact uterus, not on hormone therapy, who has had either:
          </li>
          <ul>
            <li>[a] cessation of menses for at least 1 year, or</li>
            <li>[b] at least 6 months of spontaneous amenorrhea with a follicle-stimulating hormone >40 mIU/mL; or</li>
          </ul>
          <li>[ii] a woman 55 or older not on hormone therapy, who has had at least 6 months of spontaneous amenorrhea,
            or</li>
          <li>[iii] a woman at least 55 years of age with a diagnosis of menopause prior to starting hormone replacement
            therapy</li>
        </ul>
      </li>
    </ul>
  </li>
</ul>","","3","INC3","EligibilityCriterion","35848007-03d0-462b-a8e8-ffe273bd4be1"
"EligibilityCriterion_4","Age critierion","<p>are between 18 and 64 years old for T1DM, or between 20 and 70 years old for T2DM at the time of informed consent</p>","","4","INC4","EligibilityCriterion","9adbb947-7b05-46fa-bfae-30f09b83a5ce"
"EligibilityCriterion_5","Weight critierion","<p>have a body mass index of 18.5 to 30.0 kg/m 2 for T1DM, or 18.5 to 35.0 kg/m 2 for T2DM at the time of screening</p>","","5","INC5","EligibilityCriterion","16f9ea1e-6d82-405b-981a-ad971370b47f"
"EligibilityCriterion_6","A1c critierion","<p>have a hemoglobin A1c value ≤10% at the time of screening</p>","","6","INC6","EligibilityCriterion","457ad331-6ab5-46dd-a557-b669b6f5c61a"
"EligibilityCriterion_7","Labs critierion","<p>have clinical laboratory test results within normal reference range (except for glycemic parameters) for the population or investigative site, or results with acceptable deviations that are judged to be not clinically significant by the investigator</p>","","7","INC7","EligibilityCriterion","0b1fcd19-ba6a-415c-85a1-3f4006011750"
"EligibilityCriterion_8","Venous critierion","<p>have venous access sufficient to allow for blood sampling and administration of insulin for IV administration as per the protocol</p>","","8","INC8","EligibilityCriterion","fa921999-a8d2-4e7d-becd-ad7e845cd9b5"
"EligibilityCriterion_9","Availability critierion","<p>are reliable and willing to make themselves available for the duration of the study and are willing to follow study procedures</p>","","9","INC9","EligibilityCriterion","66a50344-8b90-4016-92a5-6c8579f7ca1d"
"EligibilityCriterion_10","IC critierion","<p>are able and willing to give signed informed consent</p>","","10","INC10","EligibilityCriterion","36b9bab1-a596-48a4-8d10-664df418f868"
