"decode","id","instanceType","codeSystemVersion","code","codeSystem","uuid:ID"
"Interventional Study","Code_1","Code","2023-09-29","C98388","http://www.cdisc.org","4d89f950-a065-4111-a56f-98a720b6b5d7"
"Phase III Trial","Code_2","Code","2023-09-29","C15602","http://www.cdisc.org","3ef38a6e-f793-4ded-9533-1a38d0e6e5b9"
"Sponsor Approval Date","Code_6","Code","2023-09-29","C132352","http://www.cdisc.org","64e9e646-4e53-4fa6-b1d6-232fc08a41ee"
"Global","Code_7","Code","2023-09-29","C68846","http://www.cdisc.org","98d09f05-cfb5-4a05-87bb-7bcf2997723b"
"New Safety Information Available","Code_81","Code","2023-09-29","C99904x4","http://www.cdisc.org","967c3bde-e65d-4ffb-97db-9f7b389c2340"
"Inconsistency And/Or Error In The Protocol","Code_82","Code","2023-09-29","C99904x12","http://www.cdisc.org","2fb58fcf-a77a-468c-9310-d1c95655a21f"
"Global","Code_83","Code","2023-09-29","C68846","http://www.cdisc.org","0ed7e11f-b3cd-498c-8ddc-7af17883c62e"
"Clinical Study Sponsor","Code_84","Code","2023-09-29","C70793","http://www.cdisc.org","46e6dbe7-929d-4bd0-a698-246408df81a9"
"Japan","Code_85","Code","2020-08","JPN","ISO 3166 1 alpha3","3c52e0f0-7ca5-480d-8fac-29726090411c"
"Study Registry","Code_86","Code","2023-09-29","C93453","http://www.cdisc.org","b58ad244-6948-455f-a4e3-0c5152c8f750"
"United States of America","Code_87","Code","2020-08","USA","ISO 3166 1 alpha3","800a40bc-07a9-4d6e-b78c-0469d4f69dce"
"Basic Research","Code_127","Code","2023-09-29","C15714","http://www.cdisc.org","126b31ca-6337-46a9-bd81-fc12c34b8482"
"Device Feasibility Study","Code_128","Code","2023-09-29","C139174","http://www.cdisc.org","63699f24-b6de-4ebc-82d3-759a3b18d4c4"
"Efficacy Study","Code_129","Code","2023-09-29","C49666","http://www.cdisc.org","f3c74199-f19c-4cc0-9619-b713e861eaf0"
"Parallel Study","Code_130","Code","2023-09-29","C82639","http://www.cdisc.org","bc8c4761-39c5-4aaa-b82d-20c7c1a9ab7a"
"Visit","Code_96","Code","2023-09-29","C25716","http://www.cdisc.org","6221b94a-bac5-414e-986d-9773c8aa87e1"
"Ambulatory Care Facility","Code_97","Code","2023-09-29","C16281","http://www.cdisc.org","98de4a45-ad74-46a1-962d-21d59fb47ad3"
"In Person","Code_98","Code","2023-09-29","C175574","http://www.cdisc.org","8b7257dc-e66d-4c39-a5f2-63643ef80b37"
"Visit","Code_99","Code","2023-09-29","C25716","http://www.cdisc.org","db3bdd41-c54f-4b1f-93a2-ea35220fbeb3"
"Clinic","Code_100","Code","2023-09-29","C51282","http://www.cdisc.org","17d3935a-f4f3-4853-a5ad-0ca3c5b9a6fc"
"In Person","Code_101","Code","2023-09-29","C175574","http://www.cdisc.org","f5fdd356-0ee4-4955-ab66-2196f452d031"
"Visit","Code_102","Code","2023-09-29","C25716","http://www.cdisc.org","d194bc82-351f-4874-8de6-1ec83193e6a4"
"Clinic","Code_103","Code","2023-09-29","C51282","http://www.cdisc.org","38eaba6d-c691-4671-a39e-0fe5d61b63cb"
"In Person","Code_104","Code","2023-09-29","C175574","http://www.cdisc.org","e16e877e-8781-4b36-93f7-a689931a5278"
"Visit","Code_105","Code","2023-09-29","C25716","http://www.cdisc.org","eea4d340-8631-45bb-b44a-ade322ed8f1f"
"Clinic","Code_106","Code","2023-09-29","C51282","http://www.cdisc.org","3baa69f8-7dd4-4ffc-9786-6736ed1e12c9"
"In Person","Code_107","Code","2023-09-29","C175574","http://www.cdisc.org","21315bae-17a8-497c-a965-1f79622def17"
