"id","description","text","label","name","instanceType","uuid:ID"
"Condition_1","Eligibilty","All eligibility criteria met","Eligibilty","COND1","Condition","4711e249-8255-412b-9603-d0ed09f96a72"
"Condition_2","Condition 1","Stopped once bedside PG is <60 mg/dL","","COND2","Condition","17528344-6a24-4ed7-b27f-dd25023a9ea7"
"Condition_3","Condition 2","5 minutes after bedside PG reaches <60 mg/dL and insulin infusion is stopped.","","COND3","Condition","b76056cb-de0d-4ea8-b479-4c5ec8c42b26"
"Condition_4","Injection site assessment only required for IMG","Injection-site assessment for IMG only.","Injection site assessment","COND4","Condition","20f36594-4052-4692-b5d8-13de37b6b8f8"
"Condition_5","Fasted","At periods 1 and 2 pts should have fasted at least 8 hoours before any study procedures","","COND5","Condition","48f9638c-c2c3-4752-ba66-dd572e3bbc6b"
"Condition_6","Childbearig potential","Only females of childbearing potential","","COND6","Condition","b6b4a298-f066-49ab-ab4b-da3fd9152eb2"
"Condition_7","Females","Only Females when needed to confirm postmenopausal status","","COND7","Condition","b0a45369-b884-411f-91a7-2757ff4394dc"
"Condition_8","Patient admission PG level critieria","Admission can be rescheduled if PG level is not 90 to 250 mg/dL on Day 1.","Admission","COND8","Condition","61038ee3-e426-4e7d-b636-b77d2cf7c789"
"Condition_9","Patient discharge critieria","Patient may be discharged 6 hours after glucagon administration. A patient may remain inpatient at the CRU at the discretion of the investigator.","Discharge","COND9","Condition","f572512f-7564-45c4-8bd2-c22b9c3598c2"
"Condition_10","Scope of patient physical examination","After screening, medical assessment only performed to include medical review and targeted examination, as appropriate.","Physical Examination","COND10","Condition","3158e9f1-17b2-457d-a8e9-18d689641777"
"Condition_11","Ability of patient to undergo hypoglycemia induction","Review patients’ insulin regimens to confirm acceptability to undergo the procedure to induce hypoglycemia.","Hypoglycemia induction check","COND11","Condition","111bdddc-7611-4f40-83c9-b1d7a1b1c926"
"Condition_12","Provision of carbohydrate-rich meal.","After completion of all PK sampling, patients will be provided a carbohydrate-rich meal. The investigator will ensure the patient’s PG is stable. A prandial insulin dose will be administered if needed.","Carbohydrate-rich meal.","COND12","Condition","c26ae08a-f046-40d9-b524-940ff65973f3"
"Condition_13","Timing of insulin infusion","Procedures in Period 2 will occur at approximately the same time as those in Period 1. Insulin infusion is stopped once bedside PG is <60 mg/dL.","Timing of insulin infusion","COND13","Condition","f8f0144d-4100-4516-a3d5-3225e42b3f11"
"Condition_14","Patient fasting for labs tests","Patients do not need to fast for samples at screening or follow-up. At Periods 1 and 2, samples should be collected from patients who have fasted at least 8 hours before any study procedures.","Patient fasting","COND14","Condition","7741064c-9b8c-40d9-ac36-095bee49e2af"
"Condition_15","Type of pregnancy tests","Serum pregnancy test will be performed at screening. Urine pregnancy test will be performed at every admission period and follow-up visit if applicable.","Pregnancy tests","COND15","Condition","e11d4973-6413-4f5c-ae6b-5745cbaad293"
"Condition_16","FSH testing","When needed to confirm postmenopausal status.","FSH testing","COND16","Condition","3df55262-ba4f-437d-960e-9399200b5133"
"Condition_17","Ethanol testing","Additional tests can be done at the discretion of the investigator.","Ethanol testing","COND17","Condition","2c9713cb-4867-486d-aeb3-eb8765901f0f"
"Condition_18","Genetic sampling","Single sample for pharmacogenetic analysis taken prior to/on Period 1 Day -1.","Genetic sampling","COND18","Condition","7e5eed00-b488-44df-ad05-36782ca511ff"
"Condition_19","Drug reactions","In the event of drug hypersensitivity reactions (immediate or non-immediate), samples will be collected as close to event onset as possible, at event resolution, and 30 days following the event. Patients with TE ADA at follow-up/ED will undergo additional follow-up.","Drug reactions","COND19","Condition","ccdc0c02-d097-4e5e-86c5-9f400ea706e3"
"Condition_20","Nasal site inspection","Nasal inspection both for IMG and LY900018.","Nasal site inspection","COND20","Condition","3fc2e5fe-a15d-4dd4-8537-220b8b7dc9d7"
"Condition_21","Triplicate 12-Lead ECG","Time points may be added for Period 1 and Period 2 if warranted and agreed upon between Lilly and the investigator. Predose time point will be between insulin infusion stop and study treatment.","Triplicate 12-Lead ECG","COND21","Condition","d3043542-323c-4a6f-9a56-9e0fc18345a7"
"Condition_22","PK (Glucagon)","Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment.","PK (Glucagon)","COND22","Condition","074d6dd3-581e-445f-9961-dbc35383c25f"
"Condition_23","Plasma Glucose","Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment.","Plasma Glucose","COND23","Condition","eb63adc5-4c21-4ec4-b0a6-1f9f3d69380c"
"Condition_24","Nasal and Non-Nasal Score","Sampling times are relative to the time of study treatment administration (0 min). Questionnaire will be collected in both LY900018 and IMG treatment groups in both periods.","Nasal and Non-Nasal Score","COND24","Condition","0ad14fc8-8aa7-4056-9dd0-62b5d69c96e3"
"Condition_25","Edinburgh Scale","Sampling times are relative to the time of study treatment administration (0 min). During hypoglycemia induction will be when PG ≤75 mg/dL. Predose time point will be between insulin infusion stop and study treatment.","Edinburgh Scale","COND25","Condition","20e0022e-5a6a-47d5-8172-a7f6cbae1f10"
