"id","description","label","name","instanceType","uuid:ID"
"Activity_1","Informed Consent","Informed Consent","INFORMED_CONSENT","Activity","f0d0e090-f498-446b-9497-d4d0ce95058f"
"Activity_2","Randomization","Randomization","RANDOMIZATION","Activity","1019a29d-4b42-4b66-a9a5-019e0ced8405"
"Activity_3","Admission to CRU","Admission to CRU","ADMISSION","Activity","e39f52b8-83cd-4fbf-83ea-060e1f1cda50"
"Activity_4","Discharge from CRU","Discharge from CRU","DISCHARGE","Activity","8cc138be-e76f-4e1e-9427-1ac08dc075cd"
"Activity_5","Medical History","Medical History","MEDICAL HISTORY","Activity","9c37f6f1-df8e-4986-94a1-476e5ce7d3e1"
"Activity_6","Collect Pre-existing Conditions and Adverse Events","Collect Pre-existing Conditions and Adverse Events","PRE_EXIST_AND_AE","Activity","c8d66cd2-0e90-441b-be3c-b692e1dd302f"
"Activity_7","Physical Exam","Physical Exam","PHYSICAL EXAM","Activity","31fe3f64-c5f8-4dd2-8d49-97332f802dce"
"Activity_8","Height and Weight","Height and Weight","HEIGHT_WEIGHT","Activity","76c10705-934e-4dac-9823-13044cef651d"
"Activity_9","Hypoglycemic Events","Hypoglycemic Events","HYPOGLYCEMIC_EVENTS","Activity","9be2b1e7-5d1d-4904-9422-17877509c5ad"
"Activity_10","Concomitant Medication","Collect Concomitant Medications","CONCOMITANT MEDS","Activity","8ef55ce5-39d6-4306-9fd8-713efbc090f2"
"Activity_11","Insulin infusion","Insulin infusion to Induce Hypoglycemia","INSULIN_INFUSION","Activity","135bf655-c8d9-406c-9bd6-ed5001d2f802"
"Activity_12","PG Monitoring","PG Monitoring","PG_MONITOR","Activity","bf7d5b8e-e7e7-4221-a022-23c428214f1a"
"Activity_13","Study Treatment administration","Study Treatment Administration","STUDY_TREATMENT","Activity","10372527-4dc6-47c7-b953-81627aaa05df"
"Activity_16","Vital Signs","Vital Signs (Supine Blood Pressure, Pulse Rate, and Body Temperature)","VITAL_SIGNS","Activity","bad56336-8b2e-4635-aa93-ae231e13060a"
"Activity_17","Single 12-lead ECG (Local)","Single 12-lead ECG (Local)","SINGLE_ECG","Activity","2d87de20-9814-4895-81fd-5fccc2c43be9"
"Activity_18","Triplicate 12-lead ECG","Triplicate 12-lead ECG (Central)","TRIPLICATE_ECG","Activity","21dae0b1-ed2c-4a7c-a658-ea7506722abe"
"Activity_19","Clinical Serology Tests","Clinical Serology Tests","SEROLOGY","Activity","e0b8e636-111a-4819-8eba-ef3c1b71ce1f"
"Activity_20","Clinical Lab Tests","Clinical Lab Tests","LAB_TESTS","Activity","2dd4a70b-7c71-4826-8dec-5bd4e09f01b2"
"Activity_21","HbA1c","HbA1c","HBA1C","Activity","8484cd8e-2055-4e52-b336-0fa2d566c600"
"Activity_22","Pregnancy Tests","Pregnancy Test (Female patients of childbearing potential only)","PREGNANCY","Activity","40ae6bda-f2f2-4820-be42-4f938ba739c8"
"Activity_23","Follicle-stimulating hormone","FSH (Female patients only)","FSH","Activity","b1f2b61a-c2bb-4be1-8b67-37a59f739384"
"Activity_24","Ethanol testing","Ethanol testing","ETHANOL","Activity","30501704-e89e-4611-bcb1-dc863501400f"
"Activity_25","Urine Drug Screen","Urine Drug Screen","DRUG_SCREEN","Activity","20c4992c-26e1-4a7e-bcd4-9c40e85756e3"
"Activity_26","PK (Glucagon)","PK (Glucagon)","PK_GLUCAGON","Activity","bab8a6b2-a977-459f-90da-7aef596df064"
"Activity_27","Plasma Glucose for PD","Plasma Glucose for PD","PLASMA_GLUCOSE","Activity","ffe40ea7-d620-41b1-a5c9-341743bcaf82"
"Activity_28","Genetic Sample","Genetic Sample (stored)","GENETIC_SAMPLE","Activity","0069fa5d-3ebb-437a-81f4-5962eaca17a3"
"Activity_29","Anti-glucagon antibodies","Anti-glucagon Antibodies","ANTIBODIES","Activity","10781822-c658-4466-8768-cbd9c2d5cbe8"
"Activity_30","Clarke Hypoglycemia Awareness Survey","Clarke Hypoglycemia Awareness Survey","CLARKE_SURVEY","Activity","20c7c77b-970e-4286-9ca6-982c4d10a89e"
"Activity_31","Nasal and Non-nasal Score Quaestionnaire","Nasal and Non-nasal Score Quaestionnaire","NASAL_SCORE","Activity","c6b89a30-09d2-46a3-a99b-93d4485efade"
"Activity_32","Edinburgh Hypoglycemia Scale: Experimental Hypoglycemia","Edinburgh Hypoglycemia Scale: Experimental Hypoglycemia","EDINBURGH_SCALE","Activity","e54c432e-e3c8-4c17-a89b-45433f8ba8ee"
"Activity_34","Weight","Weight","WEIGHT","Activity","56509175-39e8-487e-822f-3a326cef636c"
"Activity_14","Injection Site Assessment","Injection-Site Assessment","INJ_SITE_ASSESSMENT","Activity","ff46287d-f95e-4b09-800b-bc8242eb8ee1"
"Activity_15","Nasal inspection","Nasal Inspection","NASAL_INSPECTION","Activity","e80b09d2-58ab-4e71-a11c-d9081c40c975"
"Activity_33","Meal","Meal","MEAL","Activity","9000027d-ea28-4f7c-ad5b-a2bbd5c60477"
