"name","uuid:ID","id","instanceType","text"
"ENCOUNTER_START_RULE_1","e7b037aa-83c7-4f8c-be31-0c1520874d32","TransitionRule_1","TransitionRule","Subject identifier"
"ENCOUNTER_START_RULE_1","4964c619-796e-4b01-a8f8-12f787ad4aed","TransitionRule_2","TransitionRule","completion of screening activities"
"ENCOUNTER_START_RULE_2","5711e894-b3b4-4299-81fd-8c1cbe8bea19","TransitionRule_3","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","a10be1e3-0d18-4af2-a5fb-15956e4cf28e","TransitionRule_4","TransitionRule","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","81f84a91-471d-4f4b-a412-e722d50a23ec","TransitionRule_5","TransitionRule","Radomized"
"ENCOUNTER_START_RULE_12","ef9a7f31-84f2-48be-a605-f8c866ccb89b","TransitionRule_6","TransitionRule","End of treatment"
"ELEMENT_START_RULE_1","19f9ad77-d024-4132-b8aa-3ea9ed95bd51","TransitionRule_7","TransitionRule","Informed consent"
"ELEMENT_END_RULE_1","e30ba32a-da28-43d4-9e07-d8ecf66f71ec","TransitionRule_8","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","8a80d290-885c-4c8a-a773-4a6f54cfd135","TransitionRule_9","TransitionRule","Administration of first dose"
"ELEMENT_START_RULE_7","16c2ad16-2810-4898-a51a-d646e209af76","TransitionRule_14","TransitionRule","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","0d36a6b5-f340-4790-9bea-70952148d143","TransitionRule_15","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","fbe079c7-7616-4f29-b267-2e01efe322e0","TransitionRule_10","TransitionRule","Administration of first dose"
"ELEMENT_START_RULE_4","d724351e-02a5-4e5f-baaf-fddf060bf1a8","TransitionRule_11","TransitionRule","Randomized"
"ELEMENT_START_RULE_5","dad02c1e-c760-41a5-a25e-ad273e0c31fe","TransitionRule_12","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","7e08de67-d343-4b04-8428-de94fbf06ded","TransitionRule_13","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
