"name","synonyms","label","uuid:ID","reference","id","instanceType"
"Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","c2fc5a95-169e-479b-858f-48df0f299228","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept_20","BiomedicalConcept"
"Sex","","Sex","e60ed0fc-b7a2-4ead-821e-accce716c467","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_21","BiomedicalConcept"
"Race","['Racial Group']","Race","5371d2d6-0bd9-414d-a642-102833f7251d","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_22","BiomedicalConcept"
"Temperature","['Temperature', 'Body Temperature']","Temperature","d109922f-bfdd-4479-bb43-13932c148f96","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_23","BiomedicalConcept"
"Weight","['Weight', 'Body Weight']","Weight","b2b30bc4-8da7-44ea-b74f-3218b230bcd3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_24","BiomedicalConcept"
"Height","['Height', 'Body Height']","Height","60a7083f-3a14-4a51-816f-763c8828374d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_25","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","c11372b9-1dd0-4a1f-bee7-6277c9694d4c","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_26","BiomedicalConcept"
"Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","210c52c1-fd96-4740-9bdf-5644e1ad384c","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_27","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","317c0251-ba6b-4588-99bc-5f567f1374ac","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_28","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","43cde441-dc22-4d7f-838e-39f79cacd39c","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_29","BiomedicalConcept"
"Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","7f6aae96-f722-4363-a831-a9123ae12dae","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_30","BiomedicalConcept"
"Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","4976a041-29cb-4938-a981-621de4ec764a","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_31","BiomedicalConcept"
"Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","bde647ef-6ca1-4bdd-bb89-2fd33131ff54","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_32","BiomedicalConcept"
"Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","9f0b041a-0882-49eb-a1cf-aef4f91dbac5","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept_33","BiomedicalConcept"
"Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","0be729f3-52d2-46dc-ad22-d9e340dac119","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept_1","BiomedicalConcept"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","ff8ad168-ee93-4dc5-9f56-1fe5a6b54c78","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_2","BiomedicalConcept"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","fd05e177-bedb-4951-87ee-1d1f6bfd2fec","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_3","BiomedicalConcept"
"Temperature","['Temperature', 'Body Temperature']","Temperature","5aac3361-d6ef-4e79-b907-2f0c158d471a","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_4","BiomedicalConcept"
"Weight","['Weight', 'Body Weight']","Weight","7e4ce8d6-f674-442c-9e8c-6797a585191b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_5","BiomedicalConcept"
"Height","['Height', 'Body Height']","Height","f5663105-da45-4a79-a0b1-c58b3d71e815","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_6","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","6cb15387-5584-4da7-9e5c-8f00f1cc22eb","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_7","BiomedicalConcept"
"Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","702c315b-a860-45a9-8198-493cf87228a8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_8","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","81ee5883-7990-4411-93cd-7bc64b2bb535","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_9","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","384f6d2b-a782-440e-a620-9d5bfa5f72d5","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_10","BiomedicalConcept"
"Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","ae2999f0-a79f-47cb-b05e-a473240454f6","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_11","BiomedicalConcept"
"Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","eace8fa3-8a0d-4718-9215-7f04c68f1c2c","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_12","BiomedicalConcept"
"Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","a2236cbc-b7d7-4049-8442-0d540ba7638e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_13","BiomedicalConcept"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","dfbe1603-6a5d-4e6d-bb0a-a4738befafef","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_14","BiomedicalConcept"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","56b28192-eeff-4a74-b99d-583c2b86a26d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_15","BiomedicalConcept"
"Heart Rate","['Heart Rate']","Heart Rate","6d65c75b-2ed7-41b9-b163-203564370720","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_16","BiomedicalConcept"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","41c1593b-42f2-4da4-8df1-35859d4ab032","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_17","BiomedicalConcept"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","4efbe879-c3de-47ba-9a82-da748db9776c","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_18","BiomedicalConcept"
"Heart Rate","['Heart Rate']","Heart Rate","00a46e0a-c140-4227-a066-5f123af52aad","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_19","BiomedicalConcept"
