"name","windowLower","windowUpper","instanceType","value","valueLabel","label","uuid:ID","id","windowLabel","description"
"TIM1","","","Timing","P2W","2 weeks","Screening","0eda7676-fe6b-4276-833b-22fdc328d25e","Timing_1","","Screening timing"
"TIM2","PT4H","PT0H","Timing","P2D","2 days","Pre dose","0083c907-5082-480e-ad58-894fedd36dd9","Timing_2","-4..0 hours","Pre dose timing"
"TIM3","","","Timing","P1D","1 Day","Dosing","7955a7c1-6691-4fd9-bd64-6d9b2fbdea3c","Timing_3","","Dosing anchor"
"TIM4","P3D","P3D","Timing","P2W","2 Weeks","Week 2","144b6a13-794c-4a17-9531-23b16c3678cd","Timing_4","-3..3 days","Week 2 timing"
"TIM5","P3D","P3D","Timing","P4W","4 Weeks","Week 4","364089ad-a969-445b-a252-2cb31761d38a","Timing_5","-3..3 days","Week 4 timing"
"TIM6","P3D","P3D","Timing","P6W","6 Weeks","Week 6","fe607a67-b81c-45f9-a7c9-d262d0f2656f","Timing_6","-3..3 days","Week 6 timing"
"TIM7","P3D","P3D","Timing","P8W","8 Weeks","Week 8","e37fcfed-c259-4e8d-9edb-3732bc8af747","Timing_7","-3..3 days","Week 8 timing"
"TIM9","P4D","P4D","Timing","P12W","12 Weeks","Week 12","9bba0994-65ca-4953-ac3b-a03987dd962a","Timing_9","-4..4 days","Week 12 timing"
"TIM11","P4D","P4D","Timing","P16W","16 Weeks","Week 16","51b44c84-d653-4409-8146-20479057bab6","Timing_11","-4..4 days","Week 16 timing"
"TIM13","P4D","P4D","Timing","P20W","20 Weeks","Week 20","7c0529e9-41fe-48a4-a654-cf02c5430890","Timing_13","-4..4 days","Week 20 timing"
"TIM15","P4D","P4D","Timing","P24W","24 Weeks","Week 24","b2686b54-dc8e-4af2-8b42-e0f5eb613be9","Timing_15","-4..4 days","Week 24 timing"
"TIM16","P3D","P3D","Timing","P26W","26 Weeks","Week 26","9752a4d3-bd40-43f7-ac35-1fe0d973c9f4","Timing_16","-3..3 days","Week 26 timing"
"TIM8","","","Timing","P2W","2 Weeks","Week 8 Home","7b6c5c35-56d6-451d-a283-af815cd68397","Timing_8","","Week 8 at home timing"
"TIM10","","","Timing","P2W","2 Weeks","Week 12 Home","e465a14b-dabd-4a2d-9561-c8d6d4d38510","Timing_10","","Week 12 at home timing"
"TIM12","","","Timing","P2W","2 Weeks","Week 16 Home","aff6b510-1631-427a-b177-6106eb4f04a0","Timing_12","","Week 16 at home timing"
"TIM14","","","Timing","P2W","2 Weeks","Week 20 Home","6055717c-18e1-4e1d-9f5b-d49f182729e2","Timing_14","","Week 20 at home timing"
"TIM17","","","Timing","P1D","1 Day","Adverse Event","aea1a678-46bf-4f77-8db3-1846cc9a3b5b","Timing_17","","Adverse Event"
"TIM18","","","Timing","P1D","1 Day","Early Termination","27e64e6d-794a-4744-a354-dd3618a1c932","Timing_18","","Early Termination"
"TIM19","","","Timing","PT0M","0 mins","Supine","f6af369e-320a-4a54-b46d-30e721d9bed1","Timing_19","","Supine"
"TIM20","","","Timing","PT5M","5 mins","VS while supine","835dccbb-87dd-47d5-b059-8bac7beab64e","Timing_20","","VS while supine"
"TIM21","","","Timing","PT0M","0 min","Standing","fed2bfc7-bfaf-493e-a451-ee4dde35d016","Timing_21","","Standing"
"TIM22","","","Timing","PT1M","1 min","VS while standing","587ed9c6-8a17-4017-833f-0e7ca5934f19","Timing_22","","VS while standing"
"TIM23","","","Timing","PT0M","0 min","Standing","8bca5445-85b7-4bc3-afe7-b3d2aefee01a","Timing_23","","Standing"
"TIM24","","","Timing","PT2M","2 min","VS while standing","65069deb-6ed1-41a2-b10b-9a53ff24b8b3","Timing_24","","VS while standing"
