"name","label","uuid:ID","id","instanceType","description"
"SCREEN1","Screen One","a427a0b2-a41a-4d49-9714-cfe64f363bea","ScheduledActivityInstance_9","ScheduledActivityInstance","-"
"SCREEN2","Screen Two","f2db79a3-fc91-4834-838c-acd997119fdd","ScheduledActivityInstance_10","ScheduledActivityInstance","-"
"DOSE","Dose","993a01ab-9c65-4f0d-9d78-bb1cc2880f44","ScheduledActivityInstance_11","ScheduledActivityInstance","-"
"WK2","Week 2","ac40b01b-7be4-4196-9878-63daceaa64ff","ScheduledActivityInstance_12","ScheduledActivityInstance","-"
"WK4","Week 4","85586b02-6945-4483-aa37-cc1b998e6669","ScheduledActivityInstance_13","ScheduledActivityInstance","-"
"WK6","Week 6","bfaae911-bb1b-4dd4-8346-a0d1dda17d16","ScheduledActivityInstance_14","ScheduledActivityInstance","-"
"WK8","Week 8","c8b39f10-c47a-4c28-ad47-3c1e6c89d1aa","ScheduledActivityInstance_15","ScheduledActivityInstance","-"
"WK8N","Week NPI","4f543b3e-0e78-4633-82f0-56df8d0413db","ScheduledActivityInstance_16","ScheduledActivityInstance","-"
"WK12","Week 12","bc326dba-59bc-449a-9c36-0a8de2cf501b","ScheduledActivityInstance_17","ScheduledActivityInstance","-"
"WK12N","Week 12 NPI","e6caae2b-1ad8-4565-81f3-20adb164dab5","ScheduledActivityInstance_18","ScheduledActivityInstance","-"
"WK16","Week 16","d0211a23-8e88-46f3-8fcd-435608be6352","ScheduledActivityInstance_19","ScheduledActivityInstance","-"
"WK16N","Week 16 NPI","577334b3-b92e-4f55-aeb2-b2d4a4b4f50f","ScheduledActivityInstance_20","ScheduledActivityInstance","-"
"WK20","Week 20","23bcb1af-3795-4da8-b02d-3620a1d4f0c2","ScheduledActivityInstance_21","ScheduledActivityInstance","-"
"WK20N","Week 20 NPI","bbdfa2e7-9a9f-48e4-8a58-dcbc73086dc2","ScheduledActivityInstance_22","ScheduledActivityInstance","-"
"WK24","Week 24","61b1e061-0e34-40d6-8bc7-0463055ff1a7","ScheduledActivityInstance_23","ScheduledActivityInstance","-"
"WK26","Week 26","9ecd4814-ca2d-4997-b1ad-00a2d1788e61","ScheduledActivityInstance_24","ScheduledActivityInstance","-"
"AE","Adevers Event","42afb720-33c0-46cc-a24a-c32dcd80c4a9","ScheduledActivityInstance_1","ScheduledActivityInstance","-"
"ET","Early Termination","0a5e0518-03d5-436b-a780-dd38aa581e84","ScheduledActivityInstance_2","ScheduledActivityInstance","-"
"VS_5MIN","5 minute supine","418d4de2-e6f6-42a3-a1f7-bc1129a971a9","ScheduledActivityInstance_3","ScheduledActivityInstance",""
"VS_SUPINE","Vital signs supine","4dc6f655-dc54-4976-8825-89f694646025","ScheduledActivityInstance_4","ScheduledActivityInstance",""
"VS_1MIN","1 minute standing","2bae9869-2a40-4d70-a29e-33ee700a1452","ScheduledActivityInstance_5","ScheduledActivityInstance",""
"VS_STAND1","Vital signs after 1 min standing","240ed5bc-3066-4e01-8245-6b02289a0384","ScheduledActivityInstance_6","ScheduledActivityInstance",""
"VS_2MIN","2 minute standing","a31ce66a-62ac-49bf-b767-c02c5206718c","ScheduledActivityInstance_7","ScheduledActivityInstance",""
"VS_STAND3","Vital signs after 3 min standing","c4af3d0d-4ef3-4833-8fc2-4f4530fa8a6c","ScheduledActivityInstance_8","ScheduledActivityInstance",""
