"name","instanceType","purpose","label","uuid:ID","id","description","text"
"END1","Endpoint","","","ad0094ec-839f-44c7-95a7-43feac0281ed","Endpoint_1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"END2","Endpoint","","","adfede57-dcf2-428d-ab7a-f1e11720cdea","Endpoint_2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"END3","Endpoint","","","8f7ecfef-7ec0-4b16-bda7-2c4a8e425f6a","Endpoint_3","","Adverse events"
"END4","Endpoint","","","67036e54-3be7-42f3-81d2-f52da2c64adc","Endpoint_4","","Vital signs (weight, standing and supine blood pressure, heart rate)"
"END5","Endpoint","","","f83533c3-fb89-447a-aec4-49833f8afa1a","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)"
"END6","Endpoint","","","ff9aa98a-1e97-4079-ab95-98d65f9bcf15","Endpoint_6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"END7","Endpoint","","","61d44f3e-06af-4679-8e03-2965ac6f194d","Endpoint_7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"END8","Endpoint","","","a84e3f37-6d5c-45c2-b703-b1906dac3a83","Endpoint_8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"END9","Endpoint","","","37acbe98-84e2-4490-8b33-c2989bfbdea3","Endpoint_9","","*** To be determined from protocol ***"
"END10","Endpoint","","","444c5d04-9e24-43d3-890c-0b05e5c8c038","Endpoint_10","","*** To be determined from protocol ***"
"END11","Endpoint","","","a9c274c6-4111-43be-9892-83f62f5d9cf6","Endpoint_11","","*** To be determined from protocol ***"
