"name","label","uuid:ID","id","instanceType","description"
"E1","Screening 1","d3250cad-05a9-4746-b2f1-89e4bfa39fb4","Encounter_1","Encounter","Screening encounter"
"E2","Screening 2","15259e32-1c74-4419-85c2-5274bcb72e08","Encounter_2","Encounter","Screening encounter - Ambulatory ECG Placement"
"E3","Baseline","817f415d-3721-4972-907f-390300dc86c9","Encounter_3","Encounter","Baseline encounter - Ambulatory ECG Removal"
"E4","Week 2","dfc2aa3e-33ff-4ccc-99e6-3560aeddd6f2","Encounter_4","Encounter","Day 14"
"E5","Week 4","e235e937-b6c1-4405-b1be-959bf60fae9e","Encounter_5","Encounter","Day 28"
"E7","Week 6","06780959-c0ec-4c3d-b5ee-5de0d4dbf5ef","Encounter_6","Encounter","Day 42"
"E8","Week 8","d0e473a4-1d11-4e2a-940c-980d936e8ac2","Encounter_7","Encounter","Day 56"
"E9","Week 12","e8c2c45e-ff39-41b9-a54a-4ecf36765e54","Encounter_8","Encounter","Day 84"
"E10","Week 16","fd16d6e7-e4cd-4436-b1cc-b10c6ce6704b","Encounter_9","Encounter","Day 112"
"E11","Week 20","cfef9399-959b-464b-9741-703f93ea37a8","Encounter_10","Encounter","Day 140"
"E12","Week 24","d9b1e82e-11a8-4d89-a024-7e7e0fd46e1c","Encounter_11","Encounter","Day 168"
"E13","Week 26","64716f21-e6e8-4779-afe3-9448b9f22e00","Encounter_12","Encounter","Day 182"
