"instanceType","uuid:ID","name","datatype","isRequired","isEnabled","id","label"
"BiomedicalConceptProperty","7b293da2-6781-4d2c-b802-dcfb36af88ed","Sex","string","True","True","BiomedicalConceptProperty_89","Sex"
"BiomedicalConceptProperty","c1fee808-c65c-4472-9770-fb4ca8ea84b0","Race","string","True","True","BiomedicalConceptProperty_90","Race"
"BiomedicalConceptProperty","a5a0d1fe-d370-4921-8872-ad732c49e573","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_91","Clinical Test Result"
"BiomedicalConceptProperty","838b6a7c-d704-4b71-a3e7-a30c27f6a73c","Unit of Temperature","string","True","True","BiomedicalConceptProperty_92","Unit of Temperature"
"BiomedicalConceptProperty","8b9d510d-9c4b-4064-8232-33310eedac05","Anatomic Site","string","True","True","BiomedicalConceptProperty_93","Anatomic Site"
"BiomedicalConceptProperty","82e39fad-a74e-4c9a-8b1c-b6cf7dba26a0","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_94","Clinical Test Result"
"BiomedicalConceptProperty","3a8d9cbb-32d7-4ac6-b4b9-e95f2f68001b","Unit of Weight","string","True","True","BiomedicalConceptProperty_95","Unit of Weight"
"BiomedicalConceptProperty","7f4d23c7-3507-49df-baf3-cdf06e891155","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_96","Clinical Test Result"
"BiomedicalConceptProperty","dff5821c-89b5-4cea-bdb3-9e2ab0b547ac","Unit of Height","string","True","True","BiomedicalConceptProperty_97","Unit of Height"
"BiomedicalConceptProperty","e7489b3d-64bb-4e3b-bb04-34dee55ff938","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_98","Laboratory Test Result"
"BiomedicalConceptProperty","9685c663-607e-4d69-8249-0b1627bfa3e5","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_99","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","50e6ad66-39d3-423e-b5e6-52f4828f16d2","Unit of Catalytic Activity Concentration","string","True","True","BiomedicalConceptProperty_100","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty","62fef04b-881c-4d34-a1ed-533b7210f473","Biospecimen Type","string","True","True","BiomedicalConceptProperty_101","Biospecimen Type"
"BiomedicalConceptProperty","28793248-3106-44e7-8104-985b0594e790","Laboratory Test Result","string","True","True","BiomedicalConceptProperty_102","Laboratory Test Result"
"BiomedicalConceptProperty","b475ecd9-f9e2-438a-8cea-b2323819bbf6","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_103","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","71566eae-777d-427c-bad7-dc9705c0252e","Unit of Concentration","string","True","True","BiomedicalConceptProperty_104","Unit of Concentration"
"BiomedicalConceptProperty","763508be-d623-43f9-beb5-7857da0a8e00","Biospecimen Type","string","True","True","BiomedicalConceptProperty_105","Biospecimen Type"
"BiomedicalConceptProperty","92c21a70-e1d6-4d2b-8cb8-88d8b9b8de32","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_106","Laboratory Test Result"
"BiomedicalConceptProperty","8cec8303-eca6-4f1c-ae84-5b09d5aeab63","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_107","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","a2b7d488-67f5-4502-9f86-906b4fd41e42","Unit of Catalytic Activity Concentration","string","True","True","BiomedicalConceptProperty_108","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty","1f6cf298-273c-4855-a48b-4fb5faef903f","Biospecimen Type","string","True","True","BiomedicalConceptProperty_109","Biospecimen Type"
"BiomedicalConceptProperty","101dbb6f-850a-4759-8349-ee4526e5149a","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_110","Laboratory Test Result"
"BiomedicalConceptProperty","da084e50-ef91-447c-a9c2-7597c2ac3bfa","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_111","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","d67d423e-18c4-465d-afa5-926ca3f59687","Unit of Catalytic Activity Concentration","string","True","True","BiomedicalConceptProperty_112","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty","9c27bbd4-214d-42cf-b386-d75b58ffb5c2","Biospecimen Type","string","True","True","BiomedicalConceptProperty_113","Biospecimen Type"
"BiomedicalConceptProperty","151d4790-30e5-481b-bd10-23c5d81c75aa","Laboratory Test Result","string","True","True","BiomedicalConceptProperty_114","Laboratory Test Result"
"BiomedicalConceptProperty","b2df1487-85f1-4f12-b446-2374249c8569","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_115","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","5741debb-5c1d-46cb-8f83-72041c1da6f5","Unit of Concentration","string","True","True","BiomedicalConceptProperty_116","Unit of Concentration"
"BiomedicalConceptProperty","90cb087a-01ad-4d87-9c4b-29727cea7e28","Biospecimen Type","string","True","True","BiomedicalConceptProperty_117","Biospecimen Type"
"BiomedicalConceptProperty","fa37845f-35a5-40bc-9c7c-3b81266815c2","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_118","Laboratory Test Result"
"BiomedicalConceptProperty","bd00d414-8a0f-4ded-abc1-6b1792bd0b42","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_119","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","e42804f0-4df9-4406-b282-82d5b28f1f3e","Molarity Unit","string","True","True","BiomedicalConceptProperty_120","Molarity Unit"
"BiomedicalConceptProperty","b1285a1d-0b24-451a-8e55-587cb0e8f272","Biospecimen Type","string","True","True","BiomedicalConceptProperty_121","Biospecimen Type"
"BiomedicalConceptProperty","f6b59032-2785-4649-b2c2-e7e89ad15465","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_122","Laboratory Test Result"
"BiomedicalConceptProperty","339f8e11-2b1f-4f9f-9751-9723a44b54ff","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_123","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","fb7bb9ee-e0d9-4e26-9dcc-6c35ec75e98c","Molarity Unit","string","True","True","BiomedicalConceptProperty_124","Molarity Unit"
"BiomedicalConceptProperty","24c166c7-da25-474e-bed2-107eae098137","Biospecimen Type","string","True","True","BiomedicalConceptProperty_125","Biospecimen Type"
"BiomedicalConceptProperty","f116b415-70e1-4b39-b33e-39b84b3c5e80","Reported Event Term","string","True","True","BiomedicalConceptProperty_1","Reported Event Term"
"BiomedicalConceptProperty","d0aaaf38-56c7-4415-b1cc-3ed893f47ccf","Dictionary-derived Term","string","True","True","BiomedicalConceptProperty_2","Dictionary-derived Term"
"BiomedicalConceptProperty","4d4be5a5-3871-49ee-9660-59f86ad1f27e","Category","string","True","True","BiomedicalConceptProperty_3","Category"
"BiomedicalConceptProperty","16c17e2e-ccc6-40ff-b513-6b0e07f6b928","Subcategory","string","True","True","BiomedicalConceptProperty_4","Subcategory"
"BiomedicalConceptProperty","3635f314-c17e-4977-8288-0065ccba0128","Observation Start Date Time","datetime","True","True","BiomedicalConceptProperty_5","Observation Start Date Time"
"BiomedicalConceptProperty","2ca53671-79ec-4d32-ac34-71113818f250","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_6","Clinical Test Result"
"BiomedicalConceptProperty","9c540cf2-a448-4928-90b3-20e07054755e","Unit of Pressure","string","True","True","BiomedicalConceptProperty_7","Unit of Pressure"
"BiomedicalConceptProperty","388dc2d9-26f2-4fe5-8cdf-f213ea975771","Anatomic Site","string","True","True","BiomedicalConceptProperty_8","Anatomic Site"
"BiomedicalConceptProperty","7135ead4-7f01-4425-b2bf-4f14bfbfc318","Laterality","string","True","True","BiomedicalConceptProperty_9","Laterality"
"BiomedicalConceptProperty","11a78692-9fdf-4ea8-a27a-8c3d5c09bf92","Test Method","string","True","True","BiomedicalConceptProperty_10","Test Method"
"BiomedicalConceptProperty","f3f94f82-f67f-44e2-b67c-4a1e2601314f","Body Position","string","True","True","BiomedicalConceptProperty_11","Body Position"
"BiomedicalConceptProperty","2b3ce829-3f38-494c-9308-6045a8947a5c","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_12","Clinical Test Result"
"BiomedicalConceptProperty","2332af0e-e5d3-496a-a75b-d05304a20bbc","Unit of Pressure","string","True","True","BiomedicalConceptProperty_13","Unit of Pressure"
"BiomedicalConceptProperty","6e78956d-8c76-428d-98fb-2b8ba94f5127","Anatomic Site","string","True","True","BiomedicalConceptProperty_14","Anatomic Site"
"BiomedicalConceptProperty","2d8cb653-a75f-4f1d-aa69-794a86608932","Laterality","string","True","True","BiomedicalConceptProperty_15","Laterality"
"BiomedicalConceptProperty","55cf46d1-9fc8-427d-8485-7fb4e42574a6","Test Method","string","True","True","BiomedicalConceptProperty_16","Test Method"
"BiomedicalConceptProperty","9e1ebdb1-b638-4d01-b0a6-eee11b4fb9d5","Body Position","string","True","True","BiomedicalConceptProperty_17","Body Position"
"BiomedicalConceptProperty","1209d43e-a5b4-4ecf-a547-5aa881dcf54f","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_18","Clinical Test Result"
"BiomedicalConceptProperty","61f0e24c-2347-41e1-8f2e-de4892a85edb","Unit of Temperature","string","True","True","BiomedicalConceptProperty_19","Unit of Temperature"
"BiomedicalConceptProperty","c8ca0f6e-b193-467c-abe7-4a721ea58a7d","Anatomic Site","string","True","True","BiomedicalConceptProperty_20","Anatomic Site"
"BiomedicalConceptProperty","bf614520-053a-4b5b-94fc-e39e40c59194","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_21","Clinical Test Result"
"BiomedicalConceptProperty","c747b649-da3a-4932-b24a-2ec5a9679209","Unit of Weight","string","True","True","BiomedicalConceptProperty_22","Unit of Weight"
"BiomedicalConceptProperty","b51d13d5-8cc4-4e0d-a35f-60558b219336","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_23","Clinical Test Result"
"BiomedicalConceptProperty","4ba0d666-c448-4f4a-b440-e7290889d48c","Unit of Height","string","True","True","BiomedicalConceptProperty_24","Unit of Height"
"BiomedicalConceptProperty","bd95dc32-fd55-4bee-89cb-25b5f213cd8d","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_25","Laboratory Test Result"
