"instanceType","codeSystem","decode","uuid:ID","code","id","codeSystemVersion"
"Code","http://www.cdisc.org","Interventional Study","19affbd9-37da-406b-ac17-bd7d6df2cb7e","C98388","Code_1","2023-09-29"
"Code","http://www.cdisc.org","Phase II Trial","400c7b04-25ed-4d08-91ca-f7ad64496ccb","C15601","Code_2","2023-09-29"
"Code","http://www.cdisc.org","Sponsor Approval Date","e3eb5d93-40f1-4329-ac79-c7d2e466d2c3","C132352","Code_9","2023-09-29"
"Code","http://www.cdisc.org","Global","3fc0111b-9fde-4523-9902-20f0d7b07801","C68846","Code_10","2023-09-29"
"Code","http://www.cdisc.org","IRB/IEC Feedback","b2ece2b0-57ac-4341-8377-59891a2f155e","C99904x3","Code_72","2023-09-29"
"Code","http://www.cdisc.org","Other","5ca6a56e-5ea4-4264-87b3-c5b808b6309e","C17649","Code_73","2023-09-29"
"Code","http://www.cdisc.org","Region","282037d6-510a-4607-a826-46a8ae722f60","C41129","Code_75","2023-09-29"
"Code","ISO 3166 1 alpha3","Europe","b1b2421d-b0f9-4017-b170-32e398c53533","150","Code_74","2020-08"
"Code","SPONSOR","Eli Lilly","0231e4f7-6f03-4051-a816-0014660913a7","PHARMA","Code_4","12"
"Code","http://www.cdisc.org","Clinical Study Sponsor","697fff40-a5ed-4586-9c54-41ebf703f87a","C70793","Code_76","2023-09-29"
"Code","ISO 3166 1 alpha3","United States of America","819bd36c-93d4-4766-9ecf-736f7de2f0df","USA","Code_77","2020-08"
"Code","http://www.cdisc.org","Study Registry","e6c3eb1d-9a76-4446-99d9-8a8bffa931a4","C93453","Code_78","2023-09-29"
"Code","ISO 3166 1 alpha3","United States of America","9bd1cd55-fb67-4e22-9090-ab166f8e56f7","USA","Code_79","2020-08"
"Code","http://www.cdisc.org","Treatment Study","4be1436f-87e0-4e24-b471-f51ba79ec4f9","C49656","Code_137","2023-09-29"
"Code","http://www.cdisc.org","Efficacy Study","fc73fb6e-54b8-4ed1-b8b4-1cba5843d38d","C49666","Code_138","2023-09-29"
"Code","http://www.cdisc.org","Safety Study","8b1d1269-fa19-4c1e-8a2b-67104d32b547","C49667","Code_139","2023-09-29"
"Code","http://www.cdisc.org","Pharmacokinetic Study","161d8922-3055-4dec-b222-8bd5ddf8c974","C49663","Code_140","2023-09-29"
"Code","SPONSOR","Mild to Moderate Alzheimer's Disease","4d79dab6-9d1e-43c5-b726-2f335b6e24c7","MILD_MOD_ALZ","Code_134","12"
"Code","SNOMED","Alzheimer's disease","d57d018b-da8c-4573-987f-968b8fb930c7","26929004","Code_135","January 31, 2018"
"Code","http://www.cdisc.org","EXTENSION","e9bddf5f-2713-4b0a-911b-44384dc4eeda","C99907x1","Code_143","2023-09-29"
"Code","http://www.cdisc.org","ADAPTIVE","9430a9ce-0e51-4b1c-a4b0-1a3e5f071e11","C98704","Code_144","2023-09-29"
"Code","http://www.cdisc.org","Parallel Study","66dd6d42-6a99-4b90-b25e-d0d0d6323367","C82639","Code_141","2023-09-29"
"Code","http://www.cdisc.org","Visit","0f0c5209-8f37-4987-ae05-07ae4a41c2fd","C25716","Code_83","2023-09-29"
"Code","http://www.cdisc.org","Clinic","f3743beb-d90a-4afa-aaf4-59cea846d4fa","C51282","Code_84","2023-09-29"
"Code","http://www.cdisc.org","In Person","37c5a42e-1395-4618-87f8-5b1b157f5c90","C175574","Code_85","2023-09-29"
"Code","http://www.cdisc.org","Visit","063bd895-75bd-43c8-aaa3-66c2339f66f3","C25716","Code_86","2023-09-29"
"Code","http://www.cdisc.org","Clinic","f0fab6ed-bbea-45f2-bc2b-8a035216e91f","C51282","Code_87","2023-09-29"
"Code","http://www.cdisc.org","In Person","3184b5f5-da68-4559-9dfd-ad6943dc4ddc","C175574","Code_88","2023-09-29"
"Code","http://www.cdisc.org","Visit","8919e616-24ba-4ff3-a1c0-b3c32f25967b","C25716","Code_89","2023-09-29"
"Code","http://www.cdisc.org","Clinic","768f2092-feab-419b-b948-c3af48ac9fe6","C51282","Code_90","2023-09-29"
"Code","http://www.cdisc.org","In Person","8ab1cc08-da54-4233-a6ac-d87bf48863a8","C175574","Code_91","2023-09-29"
