"instanceType","text","uuid:ID","name","id"
"TransitionRule","Subject identifier","0976c144-90d0-4df3-a880-6c4107e96e18","ENCOUNTER_START_RULE_1","TransitionRule_1"
"TransitionRule","completion of screening activities","a5ce6915-f589-4457-8bfe-856d5aeb98ac","ENCOUNTER_START_RULE_1","TransitionRule_2"
"TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","c898d221-10be-4e56-8f6e-90e2455d3271","ENCOUNTER_START_RULE_2","TransitionRule_3"
"TransitionRule","subject has connection of ambulatory ECG machine removed","5d626e7d-c4f7-4e10-9531-7986f4676865","ENCOUNTER_START_RULE_3","TransitionRule_4"
"TransitionRule","Radomized","e6e4d31b-aa17-43ba-a481-f76ac6c7f5f7","ENCOUNTER_START_RULE_3","TransitionRule_5"
"TransitionRule","End of treatment","8430699f-9f43-4958-8880-602bff13c307","ENCOUNTER_START_RULE_12","TransitionRule_6"
"TransitionRule","Informed consent","9259ddc8-7b5a-4b13-93e2-dd9a37ba75dc","ELEMENT_START_RULE_1","TransitionRule_7"
"TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","0aafeca0-6a6f-43d0-8d49-ab4cec0d8979","ELEMENT_END_RULE_1","TransitionRule_8"
"TransitionRule","Administration of first dose","a12c986a-a60d-49da-9283-00ebdab6345d","ELEMENT_START_RULE_2","TransitionRule_9"
"TransitionRule","End of last scheduled visit on study (including early termination)","a220eed6-a20a-49b7-bef2-311479ae1893","ELEMENT_START_RULE_7","TransitionRule_14"
"TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","74731929-7a46-430e-a4c3-21e495128f77","ELEMENT_END_RULE_7","TransitionRule_15"
"TransitionRule","Administration of first dose","f420a99b-8b61-4b61-8560-54078877d82e","ELEMENT_START_RULE_3","TransitionRule_10"
"TransitionRule","Randomized","ef13863b-98e6-4d89-bf06-f2d8ccdb760c","ELEMENT_START_RULE_4","TransitionRule_11"
"TransitionRule","Administration of first dose (from patches supplied at Visit 4)","7e90d737-7b97-408d-9897-ece18d753e69","ELEMENT_START_RULE_5","TransitionRule_12"
"TransitionRule","Administration of first dose (from patches supplied at Visit 12)","10a017b8-1e0c-4954-b8ea-6dd3103c8ddf","ELEMENT_START_RULE_6","TransitionRule_13"
