"description","instanceType","uuid:ID","name","id","label"
"","Activity","f71083dc-b1d7-45f7-8f44-79f8328d8d4c","Informed consent","Activity_1","Informed consent"
"","Activity","5c41c595-e41e-45be-b840-f3b1db11bebd","Inclusion/exclusion criteria","Activity_2","Inclusion and exclusion criteria"
"","Activity","968a50f9-2187-4187-9b01-a0adeb1e7d35","Patient number assigned","Activity_3","Patient number assigned"
"","Activity","e6d46a48-f34f-427d-a46a-3ce45feeb400","Demographics","Activity_4","Demographics"
"","Activity","6396d950-f281-4be1-8d8b-14a6f778537d","Hachinski","Activity_5","Hachinski Ischemic Scale"
"","Activity","12b5516d-68ea-46d7-9f83-ae6393f8470a","MMSE","Activity_6","MMSE"
"","Activity","9569cb68-56bb-4a68-a953-4c691276726f","Physical examination","Activity_7","Physical examination"
"","Activity","3d88f072-d9f6-48a4-8fea-9ee3718e1482","Medical history","Activity_8","Medical history"
"","Activity","b230f858-c466-478b-854a-6f740efab438","Habits","Activity_9","Habits"
"","Activity","36383f9e-9c22-4c32-ac14-21ddd88e5646","Chest X-ray","Activity_10","Chest X-ray"
"","Activity","2282715d-7645-4741-a0fb-c2eff5728471","Apo E genotyping","Activity_11","Apo E genotyping"
"","Activity","3431a279-058d-4235-ad04-f184cd5ee397","Patient randomised","Activity_12","Patient randomised"
"","Activity","e2d62dc0-ccc1-4e90-b9b4-b3f2b682e24b","Vital signs / Temperature","Activity_13","Vital Signs and Temperature"
"","Activity","89a2b44f-0d3b-433c-996b-133851135226","Ambulatory ECG placed","Activity_14","Ambulatory ECG placed"
"","Activity","9965ae9e-86b7-4b10-b132-627fdf526de3","Ambulatory ECG removed","Activity_15","Ambulatory ECG removed"
"","Activity","eda704c9-8491-4daf-9cf4-bbb22e049c93","ECG","Activity_16","ECG"
"","Activity","ec606d23-00fa-4991-85c3-3bc71649dd07","Placebo TTS test","Activity_17","Placebo TTS test"
"","Activity","fbc1ae7c-d0cf-49f8-bd1c-6a3fbd0baf77","CT scan","Activity_18","CT scan"
"","Activity","7f1f0970-ef43-4e76-ab9f-8e47c9db5d5f","Concomitant medications","Activity_19","Concomitant medications"
"","Activity","488497ef-8fb4-4065-90c4-b5178215fdb5","Hematology","Activity_20","Hematology"
"","Activity","da3b2bc4-a240-4dec-9570-da14c82982ec","Chemistry","Activity_21","Chemistry"
"","Activity","abcdbe53-f1f9-43e6-b79e-5774bb5903fb","Uninalysis","Activity_22","Uninalysis"
"","Activity","e34e1141-8717-417b-aabf-78782175d30e","Plasma Specimen (Xanomeline)","Activity_23","Plasma Specimen (Xanomeline)"
"","Activity","ed14d087-297a-4102-9e36-df10ffcdd26a","Hemoglobin A1C","Activity_24","Hemoglobin A1C"
"","Activity","2ae12e29-92a6-415d-afb4-829b220c7c78","Study drug","Activity_25","Study drug record , Medications dispensed, Medications returned"
"","Activity","99f291dc-6d4a-4f6b-9510-0f5554f4c867","TTS Acceptability Survey","Activity_26","TTS Acceptability Survey"
"","Activity","304cd117-11c7-41fa-82b7-76aeda132840","ADAS-Cog","Activity_27","ADAS-Cog"
"","Activity","bde2fbdd-4865-4165-9027-dcca17ab9d71","CIBIC+","Activity_28","CIBIC+"
"","Activity","d3b9cb80-d8dd-49ef-9fea-d051e522913b","DAD","Activity_29","DAD"
"","Activity","0a15ac95-fb0d-485d-9e78-14b2bcc10596","NPI-X","Activity_30","NPI-X"
"","Activity","141d29b5-f10e-4434-a481-534f823c0351","Adverse events","Activity_31","Adverse events"
"","Activity","e1fe4c79-2866-4245-9b4e-72a798a1bb99","Check adverse events","Activity_32","Check adverse events"
"","Activity","76221cfd-dbae-4899-ba46-3467ba5dfa8f","Supine","Activity_33","Subject supine"
"","Activity","cf4ef09c-209d-4c73-9e43-df1ed670440c","Vital Signs Supine","Activity_34","Vital signs while supine"
"","Activity","41eaf6cf-7ea2-4368-89b7-d12a720a0d2e","Stand","Activity_35","Subject Standing"
"","Activity","e9833018-b318-466e-bfc0-aa97bc4d066c","Vital Signs Standing","Activity_36","Vital signs while standing"
