"description","text","instanceType","purpose","uuid:ID","name","id","label"
"","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","","4b155d86-164c-4a24-ac3b-60f8fbd4e9fa","END1","Endpoint_1",""
"","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","","6883c013-5d28-4f48-b0e6-34a50072f5ea","END2","Endpoint_2",""
"","Adverse events","Endpoint","","a6ad5aeb-d56a-4dad-826f-02f4521f7ae7","END3","Endpoint_3",""
"","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","","6729fe4a-14a6-4bf0-af55-72ae97c0e439","END4","Endpoint_4",""
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)","Endpoint","","348e9ac0-9da6-4d0f-b7ee-1810d6891cc6","END5","Endpoint_5",""
"","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","","a034ebec-5e21-480d-af97-fb7413cb261b","END6","Endpoint_6",""
"","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","","a95db43f-f145-4186-a06a-6ee245d1e9e7","END7","Endpoint_7",""
"","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","","4e1e3c2d-e3c5-4187-9fbd-a58a77b8d80d","END8","Endpoint_8",""
"","*** To be determined from protocol ***","Endpoint","","d2c97a22-f786-452e-b846-e02a26d0d547","END9","Endpoint_9",""
"","*** To be determined from protocol ***","Endpoint","","3b2876e3-9348-44da-a5ac-5c43c98d85ae","END10","Endpoint_10",""
"","*** To be determined from protocol ***","Endpoint","","57d2fe65-48da-4d2b-a262-73c61c166161","END11","Endpoint_11",""
