"description","instanceType","uuid:ID","name","id","label"
"Screening encounter","Encounter","bb52566d-1679-47b6-bfd4-88f9fb7ecdfb","E1","Encounter_1","Screening 1"
"Screening encounter - Ambulatory ECG Placement","Encounter","f8f601db-81e5-4333-90be-f4e6214ddffd","E2","Encounter_2","Screening 2"
"Baseline encounter - Ambulatory ECG Removal","Encounter","9e34a32b-a0be-4e5e-a706-4c8d5b7eeb74","E3","Encounter_3","Baseline"
"Day 14","Encounter","7355396d-ef5a-4ac0-b078-cc06b16662d9","E4","Encounter_4","Week 2"
"Day 28","Encounter","ad85ff0a-1287-49fe-afbc-e9dedcc3eb5a","E5","Encounter_5","Week 4"
"Day 42","Encounter","d9c5712c-ff75-432d-9e99-56e1eda974d4","E7","Encounter_6","Week 6"
"Day 56","Encounter","07ad9b70-e363-406e-ad6c-876890e4e313","E8","Encounter_7","Week 8"
"Day 84","Encounter","6821e124-5128-4480-b59f-a5e52ac1f4d7","E9","Encounter_8","Week 12"
"Day 112","Encounter","8791278e-8e06-4129-ab18-8a7c2d3531b6","E10","Encounter_9","Week 16"
"Day 140","Encounter","e98df00c-f527-4f1b-bbcc-04e5c0e8d870","E11","Encounter_10","Week 20"
"Day 168","Encounter","f076068e-2103-48e4-94be-7780c2395d60","E12","Encounter_11","Week 24"
"Day 182","Encounter","b8979f88-b850-4246-81f6-68abbf5aecd7","E13","Encounter_12","Week 26"
