"description","value","instanceType","windowUpper","uuid:ID","name","window","id","label","windowLower"
"Screening timing","P2W","Timing","","b63a24cd-1872-48a7-baf2-6382a1015da9","TIM1","","Timing_1","Screening",""
"Pre dose timing","P2D","Timing","PT0H","1a6f41d5-c9e0-4297-847f-26dd428e9ddd","TIM2","-4..0 hours","Timing_2","Pre dose","PT4H"
"Dosing anchor","P1D","Timing","","f4855cd9-0895-489b-aaa6-6102b7ed3dd0","TIM3","","Timing_3","Dosing",""
"Week 2 timing","P2W","Timing","P3D","2f10d80c-5655-47a0-8f76-6d7240c2ecf6","TIM4","-3..3 days","Timing_4","Week 2","P3D"
"Week 4 timing","P4W","Timing","P3D","9911fad0-6ada-43ac-922e-5d16d1f46b7b","TIM5","-3..3 days","Timing_5","Week 4","P3D"
"Week 6 timing","P6W","Timing","P3D","d09773d6-5893-48a7-84b8-1eafc632f1f3","TIM6","-3..3 days","Timing_6","Week 6","P3D"
"Week 8 timing","P8W","Timing","P3D","0597519d-c7af-4956-a149-79096afc818f","TIM7","-3..3 days","Timing_7","Week 8","P3D"
"Week 12 timing","P12W","Timing","P4D","fd0f3c56-b050-40d4-85b7-06a631e35a8a","TIM9","-4..4 days","Timing_9","Week 12","P4D"
"Week 16 timing","P16W","Timing","P4D","30c9bb7d-4a20-4bdf-ae9f-468e0621a101","TIM11","-4..4 days","Timing_11","Week 16","P4D"
"Week 20 timing","P20W","Timing","P4D","62ef68b8-c587-49f8-869d-96b9121d6bf1","TIM13","-4..4 days","Timing_13","Week 20","P4D"
"Week 24 timing","P24W","Timing","P4D","e2ac5ccf-8142-41c2-a529-9736c203dd17","TIM15","-4..4 days","Timing_15","Week 24","P4D"
"Week 26 timing","P26W","Timing","P3D","c494b19e-814d-4642-b831-cec45331768b","TIM16","-3..3 days","Timing_16","Week 26","P3D"
"Week 8 at home timing","P2W","Timing","","d4998c3f-4144-42b4-8e24-4d3e3a801950","TIM8","","Timing_8","Week 8 Home",""
"Week 12 at home timing","P2W","Timing","","6bb6fa43-6715-4375-b8b7-25c69c971483","TIM10","","Timing_10","Week 12 Home",""
"Week 16 at home timing","P2W","Timing","","55d175f8-5a14-4f8a-a895-58b8e9bd4eff","TIM12","","Timing_12","Week 16 Home",""
"Week 20 at home timing","P2W","Timing","","abe85ec3-395a-41ee-a22e-cc8a84fa6326","TIM14","","Timing_14","Week 20 Home",""
"Adverse Event","P1D","Timing","","e2e1c58c-583d-4121-8b1c-cc64b5befc95","TIM17","","Timing_17","Adverse Event",""
"Early Termination","P1D","Timing","","db75738d-8c1d-4e3c-91c4-590f4b521a5a","TIM18","","Timing_18","Early Termination",""
"Supine","PT0M","Timing","","326c7cad-2a84-47aa-92b6-b569b2a823be","TIM19","","Timing_19","Supine",""
"VS while supine","PT5M","Timing","","b52eaf99-2044-4eb2-b948-6ffc40c5724f","TIM20","","Timing_20","VS while supine",""
"Standing","PT0M","Timing","","f105d920-b435-466e-b949-ce5067f225c0","TIM21","","Timing_21","Standing",""
"VS while standing","PT1M","Timing","","b0e06b58-d0f3-48de-942c-fa520e6f3cb5","TIM22","","Timing_22","VS while standing",""
"Standing","PT0M","Timing","","3d3168d8-1d10-43bd-ba24-41cfae391685","TIM23","","Timing_23","Standing",""
"VS while standing","PT2M","Timing","","1ac5dbf8-f444-4d51-91e9-af5e68101060","TIM24","","Timing_24","VS while standing",""
