"instanceType","synonyms","reference","uuid:ID","name","id","label"
"BiomedicalConcept","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","f0481e70-5272-41af-a6ed-a662c22f9a44","Sex","BiomedicalConcept_20","Sex"
"BiomedicalConcept","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","0c58790e-f850-4497-b53e-dafa8452aaf9","Race","BiomedicalConcept_21","Race"
"BiomedicalConcept","['Temperature']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","03e8e52a-fe5c-48b3-8801-8beeaedc93e1","Body Temperature","BiomedicalConcept_22","Body Temperature"
"BiomedicalConcept","['Weight']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","020dc2c2-1ff2-488d-8899-3438dc04b538","Body Weight","BiomedicalConcept_23","Body Weight"
"BiomedicalConcept","['Height']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","a6fae04b-7f47-48b7-955d-90e549235bd5","Body Height","BiomedicalConcept_24","Body Height"
"BiomedicalConcept","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","d76ca9e3-f6b7-471e-9483-a7c44949f7b5","Alanine Aminotransferase Measurement","BiomedicalConcept_25","Alanine Aminotransferase Measurement"
"BiomedicalConcept","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","bcfb18b9-f959-4b59-b943-51f0a97747af","Albumin Measurement","BiomedicalConcept_26","Albumin Measurement"
"BiomedicalConcept","['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","a9d68beb-9855-4fa6-92ec-0ae445d5a497","Alkaline Phosphatase Measurement","BiomedicalConcept_27","Alkaline Phosphatase Measurement"
"BiomedicalConcept","['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","ef3a3bac-1abc-4376-91e9-7ab728a32e4f","Aspartate Aminotransferase Measurement","BiomedicalConcept_28","Aspartate Aminotransferase Measurement"
"BiomedicalConcept","['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","91c21b92-e839-4f5d-9e9a-19f532dbb65b","Creatinine Measurement","BiomedicalConcept_29","Creatinine Measurement"
"BiomedicalConcept","['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","9444e101-5009-4436-9b63-409cb66b0d6f","Potassium Measurement","BiomedicalConcept_30","Potassium Measurement"
"BiomedicalConcept","['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","41e1e362-765f-48f1-8e89-708aa25d3579","Sodium Measurement","BiomedicalConcept_31","Sodium Measurement"
"BiomedicalConcept","","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","2ccd3911-c3b4-4d29-9427-5766ac40964c","Adverse Event","BiomedicalConcept_1","Adverse Event"
"BiomedicalConcept","['SYSBP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","fd71ce79-a1e6-474f-8f7c-8af45e848446","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure"
"BiomedicalConcept","['DIABP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","4a9e81b2-269a-42fe-862b-2e546541da90","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure"
"BiomedicalConcept","['Temperature']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","061b73ea-e39b-40c5-8311-b43d5a4502f8","Body Temperature","BiomedicalConcept_4","Body Temperature"
"BiomedicalConcept","['Weight']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","28cefd8e-9fe9-43ed-9da5-a7d9efc23d96","Body Weight","BiomedicalConcept_5","Body Weight"
"BiomedicalConcept","['Height']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","9ecaa7c3-a696-4317-b9b0-e7587650e4b7","Body Height","BiomedicalConcept_6","Body Height"
"BiomedicalConcept","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","686b421d-b5ea-4eac-8123-b54635a1ba31","Alanine Aminotransferase Measurement","BiomedicalConcept_7","Alanine Aminotransferase Measurement"
"BiomedicalConcept","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","c7a13fd9-ebb9-4320-9418-a3eb3d78e92a","Albumin Measurement","BiomedicalConcept_8","Albumin Measurement"
"BiomedicalConcept","['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","3fa52b56-ff97-4d79-b9a7-8b4d165026b3","Alkaline Phosphatase Measurement","BiomedicalConcept_9","Alkaline Phosphatase Measurement"
"BiomedicalConcept","['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","d1282940-9b18-421e-8688-b1e30a427fa8","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","Aspartate Aminotransferase Measurement"
"BiomedicalConcept","['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","9cd3108c-861f-4e9b-b8bf-760215dc2cf6","Creatinine Measurement","BiomedicalConcept_11","Creatinine Measurement"
"BiomedicalConcept","['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","372c6450-fe29-4a39-bcda-2e86a0e180fe","Potassium Measurement","BiomedicalConcept_12","Potassium Measurement"
"BiomedicalConcept","['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","e74e4f89-5946-4749-86ef-5c667f8abeca","Sodium Measurement","BiomedicalConcept_13","Sodium Measurement"
"BiomedicalConcept","['SYSBP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","251d7184-5569-4fec-abf0-57aba5664262","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure"
"BiomedicalConcept","['DIABP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","86e61021-d6c3-4c5a-aa65-ee11ad2a57f2","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure"
"BiomedicalConcept","","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","095e5947-689e-446b-a549-ac40e1b7bcb3","Heart Rate","BiomedicalConcept_16","Heart Rate"
"BiomedicalConcept","['SYSBP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","1221d4a8-bbb3-44fa-92a5-490aa41b71ad","Systolic Blood Pressure","BiomedicalConcept_17","Systolic Blood Pressure"
"BiomedicalConcept","['DIABP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","43614f1b-3f9a-4a77-865b-188430e18e88","Diastolic Blood Pressure","BiomedicalConcept_18","Diastolic Blood Pressure"
"BiomedicalConcept","","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","01d06043-729b-4176-ac66-08cd6e531508","Heart Rate","BiomedicalConcept_19","Heart Rate"
