"instanceType","uuid:ID","id","label","reference","name","synonyms"
"BiomedicalConcept","0930b7d9-fd24-41bd-be85-2562246ed870","BiomedicalConcept_20","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex",""
"BiomedicalConcept","4514c7e9-a1ac-4fe0-a0ca-d557fafd4c4e","BiomedicalConcept_21","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","['Racial Group']"
"BiomedicalConcept","0815976a-7bfd-4ceb-b55f-081b38d6883c","BiomedicalConcept_22","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","['Temperature', 'Body Temperature']"
"BiomedicalConcept","5b35456b-5dd1-4eca-8d76-0eb17fb14508","BiomedicalConcept_23","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","['Weight', 'Body Weight']"
"BiomedicalConcept","d8004809-8667-4054-8d2a-fccefb728eed","BiomedicalConcept_24","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","['Height', 'Body Height']"
"BiomedicalConcept","828a763f-401c-4406-b69d-b2e6a3558715","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept","ea065cc9-d38b-4475-9935-eb981acfea3c","BiomedicalConcept_26","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept","dec4473d-a294-4868-b402-d5d3d7cb131b","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept","fdfecc65-fa7c-45c3-9d5e-77935c16393f","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept","a9f797fd-01ef-489d-939f-6fcfedbdf306","BiomedicalConcept_29","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"BiomedicalConcept","c4e51b26-ee47-479c-95fd-9f9a8ff4dbc2","BiomedicalConcept_30","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"BiomedicalConcept","a35f21e4-bde5-4902-921e-11c83414c531","BiomedicalConcept_31","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"BiomedicalConcept","407e188e-3fc0-46f7-8871-372f88edf1cd","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"BiomedicalConcept","4e9b7a7c-5ccd-4196-a682-455d435c7346","BiomedicalConcept_1","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']"
"BiomedicalConcept","3b093f83-a6b2-4505-a20d-d30c986697f4","BiomedicalConcept_2","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept","b7362ba7-04fb-4e2a-9904-6b9f5821cf2a","BiomedicalConcept_3","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept","a84bc418-875b-445c-a66b-8f87fcae937e","BiomedicalConcept_4","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","['Temperature', 'Body Temperature']"
"BiomedicalConcept","537cfcb8-41d7-4f74-b747-2adec180f439","BiomedicalConcept_5","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","['Weight', 'Body Weight']"
"BiomedicalConcept","76d8cb17-c3cd-45e7-adee-86976bee7f6e","BiomedicalConcept_6","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","['Height', 'Body Height']"
"BiomedicalConcept","d8428320-e2b8-42f7-8271-32a830a85ae6","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept","77722742-cdd5-42f1-8080-3c9898ac6926","BiomedicalConcept_8","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept","dedc9215-174b-4b47-a699-b18c3dee558a","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept","58650560-1362-44d4-8f26-78a1986ee7f2","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept","32c1ce97-f370-4cbf-ac37-576c161e1d8a","BiomedicalConcept_11","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"BiomedicalConcept","20dcd336-7fdd-40e9-b39b-9691deedd83f","BiomedicalConcept_12","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"BiomedicalConcept","b6691ad0-b002-42a9-b53b-f0044de1fe54","BiomedicalConcept_13","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"BiomedicalConcept","10c9ce65-0eea-4f99-a5cb-d836bda6e8e0","BiomedicalConcept_14","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept","9c0d6b7d-de44-4078-b01e-ac294425f13b","BiomedicalConcept_15","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept","e039b7ca-9f52-43bb-a57f-65137948a96f","BiomedicalConcept_16","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","['Heart Rate']"
"BiomedicalConcept","b42e99e7-226a-4688-ad05-d194f39bd5ef","BiomedicalConcept_17","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"BiomedicalConcept","b70d322f-d720-4015-87a5-4d89cd71d9bf","BiomedicalConcept_18","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"BiomedicalConcept","553d6adb-8629-4ffa-84d7-9e8d205989e7","BiomedicalConcept_19","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","['Heart Rate']"
