"instanceType","uuid:ID","id","description","label","name"
"ScheduledActivityInstance","c91051d5-716d-42c5-bb02-164d9e1bdb89","ScheduledActivityInstance_9","-","Screen One","SCREEN1"
"ScheduledActivityInstance","8041cd82-b189-4825-8744-bfa16b4ef515","ScheduledActivityInstance_10","-","Screen Two","SCREEN2"
"ScheduledActivityInstance","028a0e24-29d1-474d-ad1a-972dafd68ca0","ScheduledActivityInstance_11","-","Dose","DOSE"
"ScheduledActivityInstance","9b3f4436-48da-4157-958d-fd097e009016","ScheduledActivityInstance_12","-","Week 2","WK2"
"ScheduledActivityInstance","779af19b-253a-45e1-ae14-ae77dd7e823c","ScheduledActivityInstance_13","-","Week 4","WK4"
"ScheduledActivityInstance","ec880be3-205c-4ef0-adb3-07f178e269fe","ScheduledActivityInstance_14","-","Week 6","WK6"
"ScheduledActivityInstance","aa1ac0af-1a10-4aa9-acb0-48c9eaac12d2","ScheduledActivityInstance_15","-","Week 8","WK8"
"ScheduledActivityInstance","371fd29d-9f91-4cd4-9403-aff5fc1caf2d","ScheduledActivityInstance_16","-","Week NPI","WK8N"
"ScheduledActivityInstance","7be72f5c-47cc-444b-ac98-8bd22963fe8a","ScheduledActivityInstance_17","-","Week 12","WK12"
"ScheduledActivityInstance","df535482-f2b3-43e2-841b-8d4cefecd6e6","ScheduledActivityInstance_18","-","Week 12 NPI","WK12N"
"ScheduledActivityInstance","1013f67e-a492-458e-997a-1681a41533f4","ScheduledActivityInstance_19","-","Week 16","WK16"
"ScheduledActivityInstance","5288d7c3-bdaa-464c-9267-c7a11edbe482","ScheduledActivityInstance_20","-","Week 16 NPI","WK16N"
"ScheduledActivityInstance","2b6a35b5-1bb3-4ebd-a61e-df31109b1685","ScheduledActivityInstance_21","-","Week 20","WK20"
"ScheduledActivityInstance","f286359a-3476-4841-8961-f08aaae62b72","ScheduledActivityInstance_22","-","Week 20 NPI","WK20N"
"ScheduledActivityInstance","3f5475a0-0004-42e8-b905-0c162c94c0ab","ScheduledActivityInstance_23","-","Week 24","WK24"
"ScheduledActivityInstance","1aaa79f2-e50f-46d6-a89f-f46fc1136d18","ScheduledActivityInstance_24","-","Week 26","WK26"
"ScheduledActivityInstance","fc99e868-e170-4b62-8d17-4e27a5d14b22","ScheduledActivityInstance_1","-","Adevers Event","AE"
"ScheduledActivityInstance","0823d90b-a817-4291-a465-4d76c0e75081","ScheduledActivityInstance_2","-","Early Termination","ET"
"ScheduledActivityInstance","e8d9a87d-eef2-438f-b001-adf0b9d16a81","ScheduledActivityInstance_3","","5 minute supine","VS_5MIN"
"ScheduledActivityInstance","83f687f3-1644-4d1a-934f-d49e3c1b6ce9","ScheduledActivityInstance_4","","Vital signs supine","VS_SUPINE"
"ScheduledActivityInstance","66602e2b-2cf6-4bf3-9295-f27ed9b30152","ScheduledActivityInstance_5","","1 minute standing","VS_1MIN"
"ScheduledActivityInstance","449d38ef-097d-4447-acce-c9a4265bbf1e","ScheduledActivityInstance_6","","Vital signs after 1 min standing","VS_STAND1"
"ScheduledActivityInstance","7a8bbb83-2b66-4146-9d13-09fa9c5c7d74","ScheduledActivityInstance_7","","2 minute standing","VS_2MIN"
"ScheduledActivityInstance","98c2b219-9851-40e8-b2a1-a47132270240","ScheduledActivityInstance_8","","Vital signs after 3 min standing","VS_STAND3"
