"instanceType","uuid:ID","id","decode","code","codeSystem","codeSystemVersion"
"Code","36c3c955-b7e2-46b7-bd21-ab62ae6cd7cc","Code_1","Interventional Study","C98388","http://www.cdisc.org","2023-12-15"
"Code","3f996841-bc0e-4b35-97f6-fdb7dfb7c19f","Code_2","Phase II Trial","C15601","http://www.cdisc.org","2023-12-15"
"Code","22a36b6d-c104-4515-b8d3-3f19e37e22fe","Code_9","Sponsor Approval Date","C132352","http://www.cdisc.org","2023-12-15"
"Code","18567ee3-375e-4f57-ac8d-be49d15fda46","Code_10","Global","C68846","http://www.cdisc.org","2023-12-15"
"Code","cb7e3a8e-65bd-4b28-9bb3-6b01cf3ee33f","Code_72","IRB/IEC Feedback","C99904x3","http://www.cdisc.org","2023-12-15"
"Code","ad7b366f-3d8d-452a-9ad4-df134ae51bad","Code_73","Other","C17649","http://www.cdisc.org","2023-12-15"
"Code","938e529b-471a-4f83-8a7b-750572328437","Code_75","Region","C41129","http://www.cdisc.org","2023-12-15"
"Code","3676b2c8-ec04-469b-a3b3-15890f74a6a1","Code_74","Europe","150","ISO 3166 1 alpha3","2020-08"
"Code","49cc4e72-26d1-4d0c-9cb7-a8ead88a94b9","Code_4","Eli Lilly","PHARMA","SPONSOR","12"
"Code","68777a57-c244-4c7e-9681-814f3f4a6dc5","Code_76","Clinical Study Sponsor","C70793","http://www.cdisc.org","2023-12-15"
"Code","a998b55b-f5e3-4e73-9652-028ae9ded258","Code_77","United States of America","USA","ISO 3166 1 alpha3","2020-08"
"Code","ec477202-11d4-4f73-97ef-2d523266f888","Code_78","Study Registry","C93453","http://www.cdisc.org","2023-12-15"
"Code","b2dc70c6-2646-48cd-bf2c-3c38c24d0799","Code_79","United States of America","USA","ISO 3166 1 alpha3","2020-08"
"Code","9cf00b2c-cac8-4ce4-97df-748f37b82186","Code_137","Treatment Study","C49656","http://www.cdisc.org","2023-12-15"
"Code","1f32d08a-e5d6-4697-a5b6-727b0e5826cb","Code_138","Efficacy Study","C49666","http://www.cdisc.org","2023-12-15"
"Code","2d6666dc-a1ab-402a-9f33-134661815ac2","Code_139","Safety Study","C49667","http://www.cdisc.org","2023-12-15"
"Code","80f5887e-5170-44e3-b290-83d1a9f6f58b","Code_140","Pharmacokinetic Study","C49663","http://www.cdisc.org","2023-12-15"
"Code","a7ab5028-a71d-4f86-868d-56a136f5000b","Code_134","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","SPONSOR","12"
"Code","cb4e787d-d3da-48b9-be16-2dbee2a8d3e1","Code_135","Alzheimer's disease","26929004","SNOMED","January 31, 2018"
"Code","092e0974-8444-4621-8b5f-70d3fc801391","Code_143","EXTENSION","C99907x1","http://www.cdisc.org","2023-12-15"
"Code","2024adf1-67ac-46de-931a-f68134b94f84","Code_144","ADAPTIVE","C98704","http://www.cdisc.org","2023-12-15"
"Code","07e38c1b-90f9-480f-bc53-a532342e72db","Code_141","Parallel Study","C82639","http://www.cdisc.org","2023-12-15"
"Code","53bfe9b0-d153-4f1b-9d26-fb5e368cc563","Code_83","Visit","C25716","http://www.cdisc.org","2023-12-15"
"Code","ca58be6b-dd19-4a3c-993f-0749ea61abd3","Code_84","Clinic","C51282","http://www.cdisc.org","2023-12-15"
"Code","6193f740-aa4a-446b-8bbc-627c38a642e3","Code_85","In Person","C175574","http://www.cdisc.org","2023-12-15"
"Code","7076fdb8-3e2f-4972-88e4-b063b5c899f8","Code_86","Visit","C25716","http://www.cdisc.org","2023-12-15"
"Code","46d1990c-e84e-4ed0-98cb-627d59c32969","Code_87","Clinic","C51282","http://www.cdisc.org","2023-12-15"
