"instanceType","uuid:ID","id","description","label","name"
"Encounter","7fb03384-5397-4fb3-a862-84fb0fad95ae","Encounter_1","Screening encounter","Screening 1","E1"
"Encounter","18a62a1f-9199-4c5b-9003-32eeecec350a","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2","E2"
"Encounter","c440e14e-6753-4668-bf4d-2b13df3e0bd5","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline","E3"
"Encounter","392fbf79-3835-4fa9-900f-32d1730b1088","Encounter_4","Day 14","Week 2","E4"
"Encounter","64935b73-d9a1-42b8-a6fb-4134f016d27c","Encounter_5","Day 28","Week 4","E5"
"Encounter","fe630b5d-9b25-43e9-b079-01b310b6b868","Encounter_6","Day 42","Week 6","E7"
"Encounter","ccb347ea-6b47-47be-8ef3-c23f5531100f","Encounter_7","Day 56","Week 8","E8"
"Encounter","13ac7bb6-4bbc-4b86-a9d8-a6bf19934e90","Encounter_8","Day 84","Week 12","E9"
"Encounter","6b062514-d9af-4f92-be90-8ce83ad578a9","Encounter_9","Day 112","Week 16","E10"
"Encounter","6f6b4b79-b853-44ed-ad59-e7422b38fd28","Encounter_10","Day 140","Week 20","E11"
"Encounter","a1e2b665-94d0-48ad-b2b1-009cdc52ab84","Encounter_11","Day 168","Week 24","E12"
"Encounter","4ad6818e-aff0-4d05-b046-914c0c60d2b6","Encounter_12","Day 182","Week 26","E13"
