"instanceType","uuid:ID","windowLower","id","valueLabel","description","label","windowLabel","name","value","windowUpper"
"Timing","372379e6-a399-4616-82a6-a7828adb38e6","","Timing_1","2 weeks","Screening timing","Screening","","TIM1","P2W",""
"Timing","cd81c4eb-b0c2-425d-9a5c-66f6e16176e8","PT4H","Timing_2","2 days","Pre dose timing","Pre dose","-4..0 hours","TIM2","P2D","PT0H"
"Timing","2212ec23-cc1b-4a08-9fca-389762894618","","Timing_3","1 Day","Dosing anchor","Dosing","","TIM3","P1D",""
"Timing","87dc3184-2307-450a-a284-dddfcb304219","P3D","Timing_4","2 Weeks","Week 2 timing","Week 2","-3..3 days","TIM4","P2W","P3D"
"Timing","22c02e3a-60e0-4df4-80d9-e4f83c8700cb","P3D","Timing_5","4 Weeks","Week 4 timing","Week 4","-3..3 days","TIM5","P4W","P3D"
"Timing","42f78bff-3b00-4bf3-a7fa-d29652dded43","P3D","Timing_6","6 Weeks","Week 6 timing","Week 6","-3..3 days","TIM6","P6W","P3D"
"Timing","85b80f81-db0b-4d58-9382-51dc8ec6eed6","P3D","Timing_7","8 Weeks","Week 8 timing","Week 8","-3..3 days","TIM7","P8W","P3D"
"Timing","2a42d36f-162d-4efc-8218-e50854015c0e","P4D","Timing_9","12 Weeks","Week 12 timing","Week 12","-4..4 days","TIM9","P12W","P4D"
"Timing","cb6499ea-f1ad-4de1-9275-8ae125d30533","P4D","Timing_11","16 Weeks","Week 16 timing","Week 16","-4..4 days","TIM11","P16W","P4D"
"Timing","407dd374-45fd-4327-a7ba-233c4e76e2a8","P4D","Timing_13","20 Weeks","Week 20 timing","Week 20","-4..4 days","TIM13","P20W","P4D"
"Timing","f46fa7cf-d50b-47be-88ea-23747751850a","P4D","Timing_15","24 Weeks","Week 24 timing","Week 24","-4..4 days","TIM15","P24W","P4D"
"Timing","ca651886-360a-4eca-812f-f2291b0a6b04","P3D","Timing_16","26 Weeks","Week 26 timing","Week 26","-3..3 days","TIM16","P26W","P3D"
"Timing","64356b8b-c6da-464e-bf68-e74b0e70f131","","Timing_8","2 Weeks","Week 8 at home timing","Week 8 Home","","TIM8","P2W",""
"Timing","8276e38d-1687-462d-8735-6066dc99b057","","Timing_10","2 Weeks","Week 12 at home timing","Week 12 Home","","TIM10","P2W",""
"Timing","dd2368c5-14c2-4c00-861f-b12514739110","","Timing_12","2 Weeks","Week 16 at home timing","Week 16 Home","","TIM12","P2W",""
"Timing","d42600f7-d2e3-4127-b85b-b21d5291f3dd","","Timing_14","2 Weeks","Week 20 at home timing","Week 20 Home","","TIM14","P2W",""
"Timing","65fe1c2d-5a0e-4912-9280-d8fa836a61b3","","Timing_17","1 Day","Adverse Event","Adverse Event","","TIM17","P1D",""
"Timing","06094571-1cfc-41a5-98ea-357215bb8e86","","Timing_18","1 Day","Early Termination","Early Termination","","TIM18","P1D",""
"Timing","9df8c60f-a213-4dce-a5e4-1e726b2a6204","","Timing_19","0 mins","Supine","Supine","","TIM19","PT0M",""
"Timing","5365c83e-c302-48a3-88ec-f3d971dbfd6e","","Timing_20","5 mins","VS while supine","VS while supine","","TIM20","PT5M",""
"Timing","bbce2be7-10fd-4728-a75e-bde4bbbf6701","","Timing_21","0 min","Standing","Standing","","TIM21","PT0M",""
"Timing","e662dc78-ce7c-4411-916b-f413f037b7ae","","Timing_22","1 min","VS while standing","VS while standing","","TIM22","PT1M",""
"Timing","121d2bcb-57dc-4da9-b3fb-daed178d4419","","Timing_23","0 min","Standing","Standing","","TIM23","PT0M",""
"Timing","b24c66d6-5dd0-44ad-a34f-21b183e9e109","","Timing_24","2 min","VS while standing","VS while standing","","TIM24","PT2M",""
