"instanceType","uuid:ID","id","purpose","description","label","name","text"
"Endpoint","cba01314-b90d-4970-a83d-ebb0d5538c56","Endpoint_1","","","","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"Endpoint","84f80772-7cba-4e12-848e-7094c85389d5","Endpoint_2","","","","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"Endpoint","936c9abb-980b-43f5-9a81-7798cab2ec61","Endpoint_3","","","","END3","Adverse events"
"Endpoint","a6c42f8e-8a8b-4943-a6e7-7faddff4846f","Endpoint_4","","","","END4","Vital signs (weight, standing and supine blood pressure, heart rate)"
"Endpoint","8235ed58-674e-4260-b42b-d8997619979c","Endpoint_5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","END5","Laboratory evaluations (Change from Baseline)"
"Endpoint","629c13d3-2f6e-4a5f-9abc-7042bae9e20e","Endpoint_6","","","","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"Endpoint","f4d671f5-4b7b-4bc6-b021-9561a3d4fcf1","Endpoint_7","","","","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"Endpoint","e09dce92-c5c0-4217-b419-57ba279ade38","Endpoint_8","","","","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"Endpoint","839fbcc1-55b0-4994-9a0e-bb834173d857","Endpoint_9","","","","END9","*** To be determined from protocol ***"
"Endpoint","e787dd26-f9ed-4184-bce4-fb366102d8ef","Endpoint_10","","","","END10","*** To be determined from protocol ***"
"Endpoint","5d27d869-1e0f-4ea6-9412-01d50d0877de","Endpoint_11","","","","END11","*** To be determined from protocol ***"
