"instanceType","uuid:ID","id","name","text"
"TransitionRule","743d461d-3af9-49a3-83c7-6ef807f38d5c","TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier"
"TransitionRule","ee6c6ab3-562f-4b82-8e4c-954621b44c69","TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities"
"TransitionRule","6d3f600b-cce3-493d-a07e-24a8494f2855","TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule","9fc32564-6c6d-4111-9b1b-39f0e273dabb","TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"TransitionRule","726d4966-07b8-424a-a642-73bbfa0ff071","TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized"
"TransitionRule","c2a7d5c0-2887-4b63-9bba-6cc373cf4a9a","TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment"
"TransitionRule","c41f49eb-7ded-46e4-9dfc-ae0567b2b774","TransitionRule_7","ELEMENT_START_RULE_1","Informed consent"
"TransitionRule","a4d31623-f7fc-4606-a916-b123aaf912e3","TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule","dd787ae9-7527-47c6-ae5c-a1f562c8364b","TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose"
"TransitionRule","337a719b-4570-4faf-84fc-c0f11e159453","TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"TransitionRule","d583d9ae-4199-42fa-a5a5-d8a04805788a","TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule","6d5080ba-cc18-4d26-9f54-55919797d77d","TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose"
"TransitionRule","553046f3-b8ea-4dfa-a03e-e6439c62342b","TransitionRule_11","ELEMENT_START_RULE_4","Randomized"
"TransitionRule","56c7b06c-10af-49d9-b809-97ac8172078a","TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule","fb4f189a-60f4-48f9-bfbe-9b3176c06500","TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
