"description","instanceType","id","uuid:ID","name","label"
"","Activity","Activity_1","4caae674-aea1-40f1-b8b7-9d4ea86398c0","Informed consent","Informed consent"
"","Activity","Activity_2","b9194f04-f488-4909-bb5e-3847e7728c41","Inclusion/exclusion criteria","Inclusion and exclusion criteria"
"","Activity","Activity_3","4fa99096-6cc5-49ff-a248-a96b6c1997b7","Patient number assigned","Patient number assigned"
"","Activity","Activity_4","ef779dc1-c915-4ef0-abd2-4c9be047b25a","Demographics","Demographics"
"","Activity","Activity_5","553864bc-4ec3-474a-8e45-394df7f39654","Hachinski","Hachinski Ischemic Scale"
"","Activity","Activity_6","2039b10e-bb14-4c49-8b14-d083e7eec364","MMSE","MMSE"
"","Activity","Activity_7","db20db57-bb50-47bc-a39e-5259902dc316","Physical examination","Physical examination"
"","Activity","Activity_8","80475f67-acf6-42fa-8f46-1ea5617b6197","Medical history","Medical history"
"","Activity","Activity_9","21e4a778-b3c5-437d-955b-fbfeec2bac8f","Habits","Habits"
"","Activity","Activity_10","c321eebd-ddef-4d57-bd71-37eea015b8dd","Chest X-ray","Chest X-ray"
"","Activity","Activity_11","de17be2f-41c2-4d90-ab3e-e030f8a6a2ef","Apo E genotyping","Apo E genotyping"
"","Activity","Activity_12","ac4c6f03-f5df-4528-bd76-26999aa84362","Patient randomised","Patient randomised"
"","Activity","Activity_13","b92b0679-d0d4-4a64-8219-44adb691ae06","Vital signs / Temperature","Vital Signs and Temperature"
"","Activity","Activity_14","ae9b5c6e-aa2a-4284-a6c6-97aff50276b7","Ambulatory ECG placed","Ambulatory ECG placed"
"","Activity","Activity_15","6b169d87-e6e0-4575-9b66-db086ac27771","Ambulatory ECG removed","Ambulatory ECG removed"
"","Activity","Activity_16","9d1b7daf-6bbf-4455-a5b9-abc63e6812c9","ECG","ECG"
"","Activity","Activity_17","7fe08ab3-b738-4efa-a85e-8f4ea589aa93","Placebo TTS test","Placebo TTS test"
"","Activity","Activity_18","de0a63d2-2404-42c6-b5eb-8697ef3402d6","CT scan","CT scan"
"","Activity","Activity_19","e5f4a369-da77-4478-aaef-ef4fcc7ae2dc","Concomitant medications","Concomitant medications"
"","Activity","Activity_20","5cbc64db-02f0-4c9a-8e88-65744cb1a7e3","Hematology","Hematology"
"","Activity","Activity_21","840f0ea9-e888-431d-b006-3961e78508d4","Chemistry","Chemistry"
"","Activity","Activity_22","1ba3bbab-7680-44d1-9d73-ed5115cb2b19","Uninalysis","Uninalysis"
"","Activity","Activity_23","2fd77980-a5d5-4f4d-a067-ea501beb4562","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)"
"","Activity","Activity_24","c8864ebb-477b-4185-b411-a9d71049d4ea","Hemoglobin A1C","Hemoglobin A1C"
"","Activity","Activity_25","a7718a52-8901-4c0a-b9fa-843571bde1fc","Study drug","Study drug record , Medications dispensed, Medications returned"
"","Activity","Activity_26","405d94a8-1f1c-4e70-ae51-d3068401ec07","TTS Acceptability Survey","TTS Acceptability Survey"
"","Activity","Activity_27","3cb238b6-bffb-4a9b-9b34-e2e6bf11d2e0","ADAS-Cog","ADAS-Cog"
"","Activity","Activity_28","8793ea6e-c624-4888-9c94-3ad312b157c0","CIBIC+","CIBIC+"
"","Activity","Activity_29","35ee9a20-1702-4273-b484-dd601986d619","DAD","DAD"
"","Activity","Activity_30","11683c1c-2aea-4271-ba01-e8eaab952d38","NPI-X","NPI-X"
"","Activity","Activity_31","31bea898-3114-439e-be31-ddcb344d1f94","Adverse events","Adverse events"
"","Activity","Activity_32","049095e5-2fed-4385-befe-bdc9b5215ad4","Check adverse events","Check adverse events"
"","Activity","Activity_33","e7751424-090e-4a2a-b6fc-8d5bfc67755c","Supine","Subject supine"
"","Activity","Activity_34","f2842a5f-0128-43f4-94d9-5834226d1f16","Vital Signs Supine","Vital signs while supine"
"","Activity","Activity_35","4454eb3b-f9f5-45cf-9ee4-eb5d8ad35bd2","Stand","Subject Standing"
"","Activity","Activity_36","b175acd2-574a-4e79-9aa6-59c52071ed5a","Vital Signs Standing","Vital signs while standing"
