"description","windowLower","instanceType","id","windowUpper","value","uuid:ID","name","label","windowLabel","valueLabel"
"Screening timing","","Timing","Timing_1","","P2W","1a711511-6f88-4ddd-abf1-d7233b81cc5d","TIM1","Screening","","2 weeks"
"Pre dose timing","PT4H","Timing","Timing_2","PT0H","P2D","eca037e7-1156-4c72-899d-9c0479dc6e85","TIM2","Pre dose","-4..0 hours","2 days"
"Dosing anchor","","Timing","Timing_3","","P1D","1b265376-fa3f-4694-8678-2052b28cb1e0","TIM3","Dosing","","1 Day"
"Week 2 timing","P3D","Timing","Timing_4","P3D","P2W","a9b019dd-2dc2-4be6-a2f1-9dcd59e62a96","TIM4","Week 2","-3..3 days","2 Weeks"
"Week 4 timing","P3D","Timing","Timing_5","P3D","P4W","b6705a05-51b4-4c43-b1f9-666d09875f04","TIM5","Week 4","-3..3 days","4 Weeks"
"Week 6 timing","P3D","Timing","Timing_6","P3D","P6W","87241a37-d781-496f-84d0-6dc5935596cd","TIM6","Week 6","-3..3 days","6 Weeks"
"Week 8 timing","P3D","Timing","Timing_7","P3D","P8W","9a5ae540-f6d9-4ec6-9070-83a30f52845e","TIM7","Week 8","-3..3 days","8 Weeks"
"Week 12 timing","P4D","Timing","Timing_9","P4D","P12W","f78c689c-e762-4398-bf9d-a2412db9c953","TIM9","Week 12","-4..4 days","12 Weeks"
"Week 16 timing","P4D","Timing","Timing_11","P4D","P16W","19bd5ccb-bd12-4f28-bb82-8b063ccaa67f","TIM11","Week 16","-4..4 days","16 Weeks"
"Week 20 timing","P4D","Timing","Timing_13","P4D","P20W","9988f623-b6be-4ae5-b63a-1ec3c895b166","TIM13","Week 20","-4..4 days","20 Weeks"
"Week 24 timing","P4D","Timing","Timing_15","P4D","P24W","17654b57-d9be-4b97-85f2-f706bf6b8ff4","TIM15","Week 24","-4..4 days","24 Weeks"
"Week 26 timing","P3D","Timing","Timing_16","P3D","P26W","d8dccc21-cbdf-44bd-aaf3-269826b95774","TIM16","Week 26","-3..3 days","26 Weeks"
"Week 8 at home timing","","Timing","Timing_8","","P2W","b5f17ada-1457-4350-ae41-eb62e18c2cf7","TIM8","Week 8 Home","","2 Weeks"
"Week 12 at home timing","","Timing","Timing_10","","P2W","e6dff95d-f944-485b-a7db-8a4bffa48259","TIM10","Week 12 Home","","2 Weeks"
"Week 16 at home timing","","Timing","Timing_12","","P2W","32a4b686-c2a9-4de5-ab16-56bbf0b62673","TIM12","Week 16 Home","","2 Weeks"
"Week 20 at home timing","","Timing","Timing_14","","P2W","3afe0168-544b-4d44-b7d4-e29a96050b4c","TIM14","Week 20 Home","","2 Weeks"
"Adverse Event","","Timing","Timing_17","","P1D","cf6d7312-e763-4c75-9345-aaaabfe5486c","TIM17","Adverse Event","","1 Day"
"Early Termination","","Timing","Timing_18","","P1D","1de64aa3-22a3-49d4-ad9c-931b38bc5457","TIM18","Early Termination","","1 Day"
"Supine","","Timing","Timing_19","","PT0M","223ec32b-4f5d-49f9-a193-228f4105af6c","TIM19","Supine","","0 mins"
"VS while supine","","Timing","Timing_20","","PT5M","d346e3b4-7cb6-4cee-bc2d-4e1b5cf6e89e","TIM20","VS while supine","","5 mins"
"Standing","","Timing","Timing_21","","PT0M","bb111e6d-d237-4e70-8f1e-7eea81e5c8ee","TIM21","Standing","","0 min"
"VS while standing","","Timing","Timing_22","","PT1M","292dc3f5-165b-4ac9-94b9-c1ee6522acdd","TIM22","VS while standing","","1 min"
"Standing","","Timing","Timing_23","","PT0M","afab3573-7179-4d5c-8144-125e2aacf357","TIM23","Standing","","0 min"
"VS while standing","","Timing","Timing_24","","PT2M","3ccef091-8253-4872-a487-b35de89ab5a0","TIM24","VS while standing","","2 min"
