"description","instanceType","id","uuid:ID","name","label"
"Screening encounter","Encounter","Encounter_1","ae0bc6e1-f7fd-4fae-ae62-d17bfd811358","E1","Screening 1"
"Screening encounter - Ambulatory ECG Placement","Encounter","Encounter_2","d4d23bc5-e57d-4395-b2f9-908327bf7cc8","E2","Screening 2"
"Baseline encounter - Ambulatory ECG Removal","Encounter","Encounter_3","a5c17b92-cc55-4975-a7ee-dc1c5de24aa1","E3","Baseline"
"Day 14","Encounter","Encounter_4","80b198b5-578a-4874-a488-a53059b4bddc","E4","Week 2"
"Day 28","Encounter","Encounter_5","16ffe5dd-cfab-4d1c-a440-d6cfd1c23731","E5","Week 4"
"Day 42","Encounter","Encounter_6","6aa5c0a6-5b49-411c-9976-209cec7f8f70","E7","Week 6"
"Day 56","Encounter","Encounter_7","469b2dfd-b74f-434b-8571-a1e72faf3ada","E8","Week 8"
"Day 84","Encounter","Encounter_8","e99a1831-9386-4cc4-8e38-25981fe6d319","E9","Week 12"
"Day 112","Encounter","Encounter_9","02c9f996-9908-4e89-a85e-a736b26a5b53","E10","Week 16"
"Day 140","Encounter","Encounter_10","f733f74e-a257-4fcd-82ba-a117988256bc","E11","Week 20"
"Day 168","Encounter","Encounter_11","15d048b8-1e19-44b4-9c75-988afd8253f6","E12","Week 24"
"Day 182","Encounter","Encounter_12","7c9ac4b1-9ce6-456a-a897-7b486f5ccf5d","E13","Week 26"
