"identifier","description","instanceType","id","uuid:ID","name","label","text"
"01","","EligibilityCriterion","EligibilityCriterion_1","0742236c-ce72-458c-8d96-63a34e74720d","IN01","Age greater than 50","<p>Males and postmenopausal females at least <usdm:tag name=""min_age""/> years of age.</p>"
"02","","EligibilityCriterion","EligibilityCriterion_2","0e1b1aba-0997-4d2e-a96f-d8ae6503b371","IN02","Diagnosis of Alzheimer's","<p><usdm:tag name=""StudyPopulation""/> as defined by National Institute of Neurological and Communicative Disorders and Stroke (NINCDS) and the Alzheimer's Disease and Related Disorders Association (ADRDA) guidelines (Attachment LZZT.7).</p>"
"03","","EligibilityCriterion","EligibilityCriterion_3","3461a33e-6403-49a7-b5d7-be71b87d6194","IN03","MMSE Score","<p><usdm:tag name=""Activity1""/> score of 10 to 23.</p>"
"04","","EligibilityCriterion","EligibilityCriterion_4","8d19e4fd-738c-42ff-ad42-c0034103c563","IN04","Hachinski Ischemic Score","<p><usdm:tag name=""Activity2""/>  score of ≤4 (Attachment LZZT.8).</p>"
"05","","EligibilityCriterion","EligibilityCriterion_5","559da4b7-84e2-46c6-9c64-fb746f42712d","IN05","CNS imaging comptaible with Alzheimer's","<p>CNS imaging (CT scan or MRI of brain) compatible with AD within past 1 year.</p>
<p>The following findings are incompatible with AD:</p>
<ol style=""list-style-type: lower-alpha;"">
  <li>
    <p>Large vessel strokes</p>
    <ol>
      <li>
        <p>Any definite area of encephalomalacia consistent with ischemic necrosis in any cerebral artery territory.</p>
      </li>
      <li>
        <p>Large, confluent areas of encephalomalacia in parieto-occipital or frontal regions consistent with watershed
          infarcts.</p>
        <p>The above are exclusionary. Exceptions are made for small areas of cortical asymmetry which may represent a
          small cortical stroke or a focal area of atrophy provided there is no abnormal signal intensity in the
          immediately underlying parenchyma. Only one such questionable area allowed per scan, and size is restricted to
          ≤1cm in frontal/parietal/temporal cortices and ≤2 cm in occipital cortex.</p>
      </li>
    </ol>
  </li>
  <li>
    <p>Small vessel ischemia</p>
    <ol>
      <li>
        <p>Lacunar infarct is defined as an area of abnormal intensity seen on CT scan or on both T1 and T2 weighted MRI
          images in the basal ganglia, thalamus or deep white matter which is ≤1 cm in maximal diameter. A maximum of
          one
          lacune is allowed per scan.</p>
      </li>
      <li>
        <p>Leukoariosis or leukoencephalopathy is regarded as an abnormality seen on T2 but not T1 weighted MRIs, or on
          CT. This is accepted if mild or moderate in extent, meaning involvement of less than 25% of cortical white
          matter.
      </li>
    </ol>
  </li>
  <li>
    <p>Miscellaneous</p>
    <ol>
      <li>
        <p>Benign small extra-axial tumors (ie, meningiomas) are accepted if they do not contact or indent the brain
          parenchyma.</p>
      </li>
      <li>
        <p>Small extra-axial arachnoid cysts are accepted if they do not indent or deform the brain parenchyma.</p>
      </li>
    </ol>
  </li>
</ol>"
"06","","EligibilityCriterion","EligibilityCriterion_6","dff1f7fc-b1ea-49b6-a3f4-ea6b540dbfa7","IN06","Informed consent criteria","<p>Investigator has obtained informed consent signed by the patient (and/or legal representative) and by the caregiver.</p>"
"07","","EligibilityCriterion","EligibilityCriterion_7","f37a0b14-9ea5-456e-ba27-d3406774c93e","IN07","Geographic proximity criteria","<p>Geographic proximity to investigator's site that allows adequate follow-up.</p>"
"08","","EligibilityCriterion","EligibilityCriterion_8","9d09ad43-5bf1-4943-aefe-e7ac40914d1b","IN08","Reliable caregiver criteria","<p>A reliable caregiver who is in frequent or daily contact with the patient and who will accompany the patient to the office and/or be available by telephone at designated times, will monitor administration of prescribed medications, and will be responsible for the overall care of the patient at home. The caregiver and the patient must be able to communicate in English and willing to comply with 26 weeks of transdermal therapy.</p>"
"09","","EligibilityCriterion","EligibilityCriterion_9","cec0ee72-d60b-4bd5-94e8-99730fd2493e","EX01","Previous study criteria","<p>Persons who have previously completed or withdrawn from this study or any other study investigating xanomeline TTS or the oral formulation of xanomeline.</p>"
"10","","EligibilityCriterion","EligibilityCriterion_10","765063c0-3365-433b-bab1-4bdaee3c1565","EX02","Other Alzheimer's therapy criteria","<p>Use of any investigational agent or approved Alzheimer's therapeutic medication within 30 days prior to enrollment into the study.</p>"
"11","","EligibilityCriterion","EligibilityCriterion_11","0e9d058c-1128-4112-9c09-ecce89d60ed5","EX03","Serious illness criteria","<p>Serious illness which required hospitalization within 3 months of screening.</p>"
"12","","EligibilityCriterion","EligibilityCriterion_12","1f316922-beb8-4d9b-a7ba-ac1b05b96e5c","EX04","Serious neurolocal conditions criteria","<p>Diagnosis of serious neurological conditions, including </p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Stroke or vascular dementia documented by clinical history and/or radiographic findings interpretable by the investigator as indicative of these disorders</p></li>
<li><p>Seizure disorder other than simple childhood febrile seizures</p></li>
<li><p>Severe head trauma resulting in protracted loss of consciousness within the last 5 years, or multiple episodes of head trauma</p></li>
<li><p>Parkinson's disease</p></li>
<li><p>Multiple sclerosis</p></li>
<li><p>Amyotrophic lateral sclerosis</p></li>
<li><p>Myasthenia gravis.</p></li>
</ol>"
"13","","EligibilityCriterion","EligibilityCriterion_13","d893af7d-4ac2-4419-be76-efb5ff973a46","EX05","Depression criteria","<p>Episode of depression meeting DSM-IV criteria within 3 months of screening.</p>"
"14","","EligibilityCriterion","EligibilityCriterion_14","79ef5794-a00e-4082-b456-2fc56566201d","EX06","Schizophrenia, Bipolar, Ethanol or psychoactive abuse criteria","<p>A history within the last 5 years of the following:</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Schizophrenia</p></li>
<li><p>Bipolar Disease</p></li>
<li><p>Ethanol or psychoactive drug abuse or dependence. </p></li>
</ol>"
"15","","EligibilityCriterion","EligibilityCriterion_15","6647d1d5-c002-45ed-8482-a087ca22dfd7","EX07","Syncope criteria","<p>A history of syncope within the last 5 years.</p>"
"16b","","EligibilityCriterion","EligibilityCriterion_16","36b4604d-4667-49ac-adb6-43932e23cc1c","EX08","ECG Criteria","<p>Evidence from ECG recording at screening of any of the following conditions :</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Left bundle branch block</p></li>
<li><p>Bradycardia ≤50 beats per minute</p></li>
<li><p>Sinus pauses &gt;2 seconds</p></li>
<li><p>Second or third degree heart block unless treated with a pacemaker</p></li>
<li><p>Wolff-Parkinson-White syndrome</p></li>
<li><p>Sustained supraventricular tachyarrhythmia including SVT≥10 sec, atrial fibrillation, atrial flutter.</p></li>
<li><p>Ventricular tachycardia at a rate of ≥120 beats per minute lasting≥10 seconds.</p></li>
</ol>"
"17","","EligibilityCriterion","EligibilityCriterion_17","1901405d-a0de-48bd-b202-75d24f736471","EX09","Cardiovascular criteria","<p>A history within the last 5 years of a serious cardiovascular disorder, including</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Clinically significant arrhythmia</p></li>
<li><p>Symptomatic sick sinus syndrome not treated with a pacemaker</p></li>
<li><p>Congestive heart failure refractory to treatment</p></li>
<li><p>Angina except angina controlled with PRN nitroglycerin</p></li>
<li><p>Resting heart rate &lt;50 or &gt;100 beats per minute, on physical exam</p></li>
<li><p>Uncontrolled hypertension.</p></li>
</ol>"
"18","","EligibilityCriterion","EligibilityCriterion_18","10044138-1037-4690-80fc-35aa6997938a","EX10","Gastrointensinal criteria","<p>A history within the last 5 years of a serious gastrointestinal disorder, including </p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Chronic peptic/duodenal/gastric/esophageal ulcer that are untreated or refractory to treatment</p></li>
<li><p>Symptomatic diverticular disease</p></li>
<li><p>Inflammatory bowel disease</p></li>
<li><p>Pancreatitis</p></li>
<li><p>Hepatitis</p></li>
<li><p>Cirrhosis of the liver.</p></li>
</ol>"
"19","","EligibilityCriterion","EligibilityCriterion_19","33fe2723-720a-4782-b015-557cf0d36fa7","EX11","Endocrine criteria","<p>A history within the last 5 years of a serious endocrine disorder, including</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Uncontrolled Insulin Dependent Diabetes Mellitus (IDDM)</p></li>
<li><p>Diabetic ketoacidosis</p></li>
<li><p>Untreated hyperthyroidism</p></li>
<li><p>Untreated hypothyroidism</p></li>
<li><p>Other untreated endocrinological disorder</p></li>
</ol>"
"20","","EligibilityCriterion","EligibilityCriterion_20","eee0768f-b6a9-4022-82f6-dffcab5d126d","EX12","Resporatory criteria","<p> A history within the last 5 years of a serious respiratory disorder, including</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Asthma with bronchospasm refractory to treatment</p></li>
<li><p>Decompensated chronic obstructive pulmonary disease.</p></li>
</ol>"
"21","","EligibilityCriterion","EligibilityCriterion_21","eec00fee-9fbe-4706-931f-3752484fa64d","EX13","Genitourinary criteria","<p>A history within the last 5 years of a serious genitourinary disorder, including</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Renal failure</p></li>
<li><p>Uncontrolled urinary retention.</p></li>
</ol>"
"22","","EligibilityCriterion","EligibilityCriterion_22","a654cd02-8bad-41ad-bca9-6da6719491d9","EX14","Rheumatologic criteria","<p>A history within the last 5 years of a serious rheumatologic disorder, including</p>
<ol style=""list-style-type: lower-alpha;"">
<li><p>Lupus</p></li>
<li><p>Temporal arteritis</p></li>
<li><p>Severe rheumatoid arthritis.</p></li>
</ol>"
"23","","EligibilityCriterion","EligibilityCriterion_23","41018d27-434d-40e9-a113-3ab8e2805174","EX15","HIV criteria","<p>A known history of human immunodeficiency virus (HIV) within the last 5 years.</p>"
