"description","instanceType","id","uuid:ID","name","label"
"-","ScheduledActivityInstance","ScheduledActivityInstance_9","9622356f-1d79-4bd9-aafd-bb5b1611dc0d","SCREEN1","Screen One"
"-","ScheduledActivityInstance","ScheduledActivityInstance_10","38a91550-11d3-45a0-8253-971088e04e8c","SCREEN2","Screen Two"
"-","ScheduledActivityInstance","ScheduledActivityInstance_11","22fb8a6e-2ab1-42d2-8246-01b2697cb9d5","DOSE","Dose"
"-","ScheduledActivityInstance","ScheduledActivityInstance_12","6a8194b5-6ffb-473e-a95c-8a859f3a2c85","WK2","Week 2"
"-","ScheduledActivityInstance","ScheduledActivityInstance_13","9d1a8ab1-abd3-44e6-8d16-47a8eeb66fad","WK4","Week 4"
"-","ScheduledActivityInstance","ScheduledActivityInstance_14","9c3cf6c6-5c84-4168-b4aa-4674f49276d8","WK6","Week 6"
"-","ScheduledActivityInstance","ScheduledActivityInstance_15","29f3e91f-1d6f-46a2-a73c-4e7a7ad5e2c2","WK8","Week 8"
"-","ScheduledActivityInstance","ScheduledActivityInstance_16","6fc924f9-ea7e-40ef-b0a1-83e2e86532af","WK8N","Week NPI"
"-","ScheduledActivityInstance","ScheduledActivityInstance_17","ff25478a-d60e-43c5-980b-988e8a287446","WK12","Week 12"
"-","ScheduledActivityInstance","ScheduledActivityInstance_18","60d4ec6e-0a8e-402c-ba01-6e165bfa360e","WK12N","Week 12 NPI"
"-","ScheduledActivityInstance","ScheduledActivityInstance_19","f5b7e5d4-bddc-4d9e-aa5d-89f9cf0205dd","WK16","Week 16"
"-","ScheduledActivityInstance","ScheduledActivityInstance_20","005873c2-75da-4b5a-864e-2cf1e4bafa26","WK16N","Week 16 NPI"
"-","ScheduledActivityInstance","ScheduledActivityInstance_21","1fce068f-1c3c-428b-94cb-68acf9cbc492","WK20","Week 20"
"-","ScheduledActivityInstance","ScheduledActivityInstance_22","2bd6277a-c234-4c4b-8d8d-b435797d4038","WK20N","Week 20 NPI"
"-","ScheduledActivityInstance","ScheduledActivityInstance_23","f67ab38f-1370-4e63-a203-60966f0e10b5","WK24","Week 24"
"-","ScheduledActivityInstance","ScheduledActivityInstance_24","de067851-a02c-4505-97e9-94734e353ead","WK26","Week 26"
"-","ScheduledActivityInstance","ScheduledActivityInstance_1","816fe7c1-2488-4658-85be-f5f8cde6398f","AE","Adevers Event"
"-","ScheduledActivityInstance","ScheduledActivityInstance_2","4f433b89-47b4-4aed-acc8-8ff3171a8619","ET","Early Termination"
"","ScheduledActivityInstance","ScheduledActivityInstance_3","e80009ce-e74f-4547-af50-1534a2175f83","VS_5MIN","5 minute supine"
"","ScheduledActivityInstance","ScheduledActivityInstance_4","ef5a76b7-322e-4328-9de3-8c27aaafa03f","VS_SUPINE","Vital signs supine"
"","ScheduledActivityInstance","ScheduledActivityInstance_5","cd03401f-f8d8-4dfb-8866-dc625106b2ce","VS_1MIN","1 minute standing"
"","ScheduledActivityInstance","ScheduledActivityInstance_6","169c64ae-6efd-49f5-aff8-db37824bea4e","VS_STAND1","Vital signs after 1 min standing"
"","ScheduledActivityInstance","ScheduledActivityInstance_7","b8ad9d97-42af-49d2-a749-f46451385965","VS_2MIN","2 minute standing"
"","ScheduledActivityInstance","ScheduledActivityInstance_8","fd25e569-57fc-46ae-a634-0cfd64fa1ecc","VS_STAND3","Vital signs after 3 min standing"
