"codeSystem","decode","instanceType","id","uuid:ID","codeSystemVersion","code"
"http://www.cdisc.org","Interventional Study","Code","Code_1","e36316e6-511c-492c-8dab-e93d31d64312","2023-12-15","C98388"
"http://www.cdisc.org","Phase II Trial","Code","Code_2","8ac98bcb-4561-4560-b130-b5a145c6a74e","2023-12-15","C15601"
"http://www.cdisc.org","Sponsor Approval Date","Code","Code_9","4fd64555-256d-4023-94c3-5b1e1488d50d","2023-12-15","C132352"
"http://www.cdisc.org","Global","Code","Code_10","9ef4613d-59a1-48a5-b01a-9176ae87b17b","2023-12-15","C68846"
"http://www.cdisc.org","IRB/IEC Feedback","Code","Code_72","3c88c5be-89f3-4ff0-bbb9-12e8883c5313","2023-12-15","C99904x3"
"http://www.cdisc.org","Other","Code","Code_73","f6689b8e-491d-4ce3-95f9-1dbda0e1ca2c","2023-12-15","C17649"
"http://www.cdisc.org","Region","Code","Code_75","eb847b5e-787f-4170-b71e-025ee0fb9416","2023-12-15","C41129"
"ISO 3166 1 alpha3","Europe","Code","Code_74","cda05913-8493-4331-b407-13e8d0410c12","2020-08","150"
"SPONSOR","Eli Lilly","Code","Code_4","3eaeac98-c27d-4ffe-95a5-18e3c9d690f6","12","PHARMA"
"http://www.cdisc.org","Clinical Study Sponsor","Code","Code_76","1a27240c-a955-42e7-bbbb-d7b4d10c2bb0","2023-12-15","C70793"
"ISO 3166 1 alpha3","United States of America","Code","Code_77","819c35f9-0b94-49d9-9d6f-0ac3a44cf2d5","2020-08","USA"
"http://www.cdisc.org","Study Registry","Code","Code_78","52339ea5-9ad1-43e5-8b7c-a9ec8da5b2f7","2023-12-15","C93453"
"ISO 3166 1 alpha3","United States of America","Code","Code_79","a10e383f-2d28-4e76-bb96-2a95abe82904","2020-08","USA"
"http://www.cdisc.org","Treatment Study","Code","Code_137","6b1261e2-12ff-4ef6-9b3d-46b76d04d85a","2023-12-15","C49656"
"http://www.cdisc.org","Efficacy Study","Code","Code_138","b3502f02-2dec-4cf5-84cf-33447069133e","2023-12-15","C49666"
"http://www.cdisc.org","Safety Study","Code","Code_139","96311bfa-4578-410b-8917-fac8741c5e12","2023-12-15","C49667"
"http://www.cdisc.org","Pharmacokinetic Study","Code","Code_140","9f1a89be-5233-411e-afe3-d026e6a4de86","2023-12-15","C49663"
"SPONSOR","Mild to Moderate Alzheimer's Disease","Code","Code_134","0ac4c199-b313-49da-b32c-505b8e8d5817","12","MILD_MOD_ALZ"
"SNOMED","Alzheimer's disease","Code","Code_135","ef20f308-46fd-453a-b9ad-917907650346","January 31, 2018","26929004"
"http://www.cdisc.org","EXTENSION","Code","Code_143","c8083895-04b3-4ac7-a3d6-e128a8102102","2023-12-15","C99907x1"
"http://www.cdisc.org","ADAPTIVE","Code","Code_144","a2505116-e212-4b29-8bc9-70d8b4773c21","2023-12-15","C98704"
"http://www.cdisc.org","Parallel Study","Code","Code_141","456a8a8a-9ea4-4ad1-af42-cff67893d886","2023-12-15","C82639"
"http://www.cdisc.org","Visit","Code","Code_83","2981c521-2bf2-43a8-b0f1-353a4249fc9a","2023-12-15","C25716"
"http://www.cdisc.org","Clinic","Code","Code_84","21cb579d-d0f4-49b6-8b2a-2b920776ec66","2023-12-15","C51282"
"http://www.cdisc.org","In Person","Code","Code_85","7251e078-2ccc-4ca7-873d-c89c4427b082","2023-12-15","C175574"
