"purpose","description","instanceType","id","uuid:ID","name","label","text"
"","","Endpoint","Endpoint_1","92461027-678d-4f12-81f8-c5c8c8aa24d5","END1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"","","Endpoint","Endpoint_2","ba79f30d-fa5e-4bfa-a347-ddc268bc87c1","END2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"","","Endpoint","Endpoint_3","218c6ba1-bf86-451e-909a-220fc9eb18cf","END3","","Adverse events"
"","","Endpoint","Endpoint_4","3ea4b0ad-29b3-4fbe-a89b-1a192163f566","END4","","Vital signs (weight, standing and supine blood pressure, heart rate)"
"","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","Endpoint_5","92239de1-80bb-49bf-b132-1ded469a0e88","END5","","Laboratory evaluations (Change from Baseline)"
"","","Endpoint","Endpoint_6","fcb25df5-e1fe-41ec-a687-4cf5f8bcc76f","END6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"","","Endpoint","Endpoint_7","3e4e4809-ac81-4852-a6f2-ebd617d7f583","END7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"","","Endpoint","Endpoint_8","475625f0-5179-4624-931b-fc0b6b54fa25","END8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"","","Endpoint","Endpoint_9","4c6dbc52-f214-4501-98c4-289313e0bd57","END9","","*** To be determined from protocol ***"
"","","Endpoint","Endpoint_10","8a2199f9-fb00-44ea-bba1-3d3fa490bc09","END10","","*** To be determined from protocol ***"
"","","Endpoint","Endpoint_11","0c7b08a3-cd2d-4d11-9ce1-894d249675e1","END11","","*** To be determined from protocol ***"
