"reference","instanceType","id","uuid:ID","name","label","synonyms"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","BiomedicalConcept_20","9da91579-37c3-40bd-981e-4ac9e90c5bf7","Sex","Sex",""
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","BiomedicalConcept_21","d07569ce-ae9a-4573-bc61-03d00a34d79a","Race","Race","['Racial Group']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_22","d7e39850-a8a0-49e2-8c77-c02cc10c6111","Temperature","Temperature","['Temperature', 'Body Temperature']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_23","3ef7a743-6d0e-4e2e-95cb-2afb4d9ed07c","Weight","Weight","['Weight', 'Body Weight']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_24","0287cd74-c385-4b14-b38f-b6934b5f48be","Height","Height","['Height', 'Body Height']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_25","3432239a-0dfe-4fe6-9560-572cc3402496","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_26","6164c61e-0b2c-44d0-9966-78c3a869fe61","Albumin Presence in Urine","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_27","ec9bac70-a07a-46a8-b09d-ddeed2e54d30","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_28","abc920c3-52bd-4121-9a81-f1da99e3babe","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_29","ddd7af8f-8aaa-4a6d-8b87-9cec10140857","Creatinine Concentration in Urine","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
