"name","uuid:ID","id","label","description","instanceType"
"SCREEN1","22d66547-d358-4601-8db5-1ea0a17bf568","ScheduledActivityInstance_9","Screen One","-","ScheduledActivityInstance"
"SCREEN2","a3aaa835-aa26-4b3e-a9e5-4b433f6ac96f","ScheduledActivityInstance_10","Screen Two","-","ScheduledActivityInstance"
"DOSE","3e9f4098-65d3-46bd-937b-77ca6d242782","ScheduledActivityInstance_11","Dose","-","ScheduledActivityInstance"
"WK2","1935073f-fc30-411c-8f61-2ba209873f02","ScheduledActivityInstance_12","Week 2","-","ScheduledActivityInstance"
"WK4","90870840-e59c-4d0e-a992-88ef73fac58a","ScheduledActivityInstance_13","Week 4","-","ScheduledActivityInstance"
"WK6","8a45fa12-db75-4804-b480-9bc2f5aa1782","ScheduledActivityInstance_14","Week 6","-","ScheduledActivityInstance"
"WK8","e2864c12-f5a7-4ebe-b1ff-f5708dc8708c","ScheduledActivityInstance_15","Week 8","-","ScheduledActivityInstance"
"WK8N","6062a7ed-1d8e-4cd1-b1da-b1334698776d","ScheduledActivityInstance_16","Week NPI","-","ScheduledActivityInstance"
"WK12","8740738e-6b33-40d1-ad13-53c51a3a135c","ScheduledActivityInstance_17","Week 12","-","ScheduledActivityInstance"
"WK12N","40e9b669-4780-48f0-8178-4a6809d688c5","ScheduledActivityInstance_18","Week 12 NPI","-","ScheduledActivityInstance"
"WK16","4f27b787-1a6d-4b53-9013-28da0d3512de","ScheduledActivityInstance_19","Week 16","-","ScheduledActivityInstance"
"WK16N","9274184f-94e2-45e6-9639-1712a6af6193","ScheduledActivityInstance_20","Week 16 NPI","-","ScheduledActivityInstance"
"WK20","53b6f752-4834-4679-8447-a1eb678a0351","ScheduledActivityInstance_21","Week 20","-","ScheduledActivityInstance"
"WK20N","2429d878-61da-4c5b-a782-899030b42f6f","ScheduledActivityInstance_22","Week 20 NPI","-","ScheduledActivityInstance"
"WK24","48d69ee0-e082-4c5f-8a4e-47254a59540c","ScheduledActivityInstance_23","Week 24","-","ScheduledActivityInstance"
"WK26","9b77ceab-ff56-49e2-9136-bad2fdbce6df","ScheduledActivityInstance_24","Week 26","-","ScheduledActivityInstance"
"AE","6f1ce9eb-68c7-4a53-a908-cbff0045eaa9","ScheduledActivityInstance_1","Adevers Event","-","ScheduledActivityInstance"
"ET","74711cbd-7d6e-4be7-beb4-a98e5068ee7f","ScheduledActivityInstance_2","Early Termination","-","ScheduledActivityInstance"
"VS_5MIN","bb5cd2b8-206b-463f-931f-9559d84a2ce9","ScheduledActivityInstance_3","5 minute supine","","ScheduledActivityInstance"
"VS_SUPINE","29a4e251-a6be-4a28-a1ca-accec480cee7","ScheduledActivityInstance_4","Vital signs supine","","ScheduledActivityInstance"
"VS_1MIN","d3ffdd27-e92f-456f-8f81-724de8749f20","ScheduledActivityInstance_5","1 minute standing","","ScheduledActivityInstance"
"VS_STAND1","d335050c-b104-4ca9-ad06-a235c86c0791","ScheduledActivityInstance_6","Vital signs after 1 min standing","","ScheduledActivityInstance"
"VS_2MIN","39af119f-edf5-4a46-beb3-959ec8febe21","ScheduledActivityInstance_7","2 minute standing","","ScheduledActivityInstance"
"VS_STAND3","537cf27d-dadc-4555-a0aa-32a65e3c6ca3","ScheduledActivityInstance_8","Vital signs after 3 min standing","","ScheduledActivityInstance"
