"name","uuid:ID","id","text","instanceType"
"ENCOUNTER_START_RULE_1","1171c2f4-33d2-491c-9362-1beef3e6d20c","TransitionRule_1","Subject identifier","TransitionRule"
"ENCOUNTER_START_RULE_1","9fc40ce1-a21d-4b54-80d2-6d25724b589e","TransitionRule_2","completion of screening activities","TransitionRule"
"ENCOUNTER_START_RULE_2","1b2355a3-7554-4738-985f-5290935b3250","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"ENCOUNTER_START_RULE_3","fccbf62f-f4cd-44ba-88f9-3aff85db75b7","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule"
"ENCOUNTER_START_RULE_3","e9097d80-2333-44ba-9a30-92bfcf474c51","TransitionRule_5","Radomized","TransitionRule"
"ENCOUNTER_START_RULE_12","94138dbe-efcb-4dd4-891f-feb5c2f21bc3","TransitionRule_6","End of treatment","TransitionRule"
"ELEMENT_START_RULE_1","e03a157d-799c-4ac2-862b-10eacd529b62","TransitionRule_7","Informed consent","TransitionRule"
"ELEMENT_END_RULE_1","3c6660ff-e8d4-4df7-af99-cb37307dfd2f","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"ELEMENT_START_RULE_2","1f6c5a84-28a4-41bb-a9e2-6ebcec0a29bd","TransitionRule_9","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_7","0c39e4cd-8d89-499d-b736-ce1299ec5a36","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule"
"ELEMENT_END_RULE_7","bb562ad4-012e-4cf4-9245-7497cfa5b9af","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"ELEMENT_START_RULE_3","f321560f-621e-4603-a169-3479ea66ba86","TransitionRule_10","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_4","4f6e2eb9-c355-4a64-a773-b9a9ea649e56","TransitionRule_11","Randomized","TransitionRule"
"ELEMENT_START_RULE_5","549eade4-1442-4fe2-bf7b-0b1c2cc99ee3","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"ELEMENT_START_RULE_6","899d6ad2-6a8d-4614-8a44-9074625ee71e","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
