"name","uuid:ID","synonyms","id","label","reference","instanceType"
"Sex","ad5669bf-8c2b-4772-8caf-1f346e0683df","","BiomedicalConcept_20","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept"
"Race","33c1efa0-7aa7-466a-88df-8185de3dbc8c","['Racial Group']","BiomedicalConcept_21","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept"
"Temperature","a43b3f84-261f-497f-a52d-57d4f5551464","['Temperature', 'Body Temperature']","BiomedicalConcept_22","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"Weight","d5268e9a-f5bd-4bfa-b958-e82378554198","['Weight', 'Body Weight']","BiomedicalConcept_23","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"Height","38fc3ac6-4de1-48c0-8e3c-685e3baecfa2","['Height', 'Body Height']","BiomedicalConcept_24","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","b8c0a150-3b82-47ba-8467-7c9768b9dd47","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
"Albumin Presence in Urine","b1da0958-8869-4756-94b4-d81336e002c2","['Albumin', 'Albumin Measurement']","BiomedicalConcept_26","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","56259edc-64dc-4fe4-a3ba-013f0c8db41e","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","d11100d6-d267-4e7d-a075-565120410721","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
"Creatinine Concentration in Urine","27fe3535-6fa0-46b6-be05-822ff94f496a","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_29","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
