"name","uuid:ID","id","label","description","instanceType"
"E1","85671a29-4d3d-48b1-8a4b-cff834b96f4d","Encounter_1","Screening 1","Screening encounter","Encounter"
"E2","c1729bb9-0153-434c-84e6-bff278b2abee","Encounter_2","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter"
"E3","35c56c80-b641-4dc4-a75c-ab38d7250602","Encounter_3","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter"
"E4","0b9fb8c0-61cc-456f-992c-376002e8d4a8","Encounter_4","Week 2","Day 14","Encounter"
"E5","30a2187b-31c8-4076-bd0c-07f73a8f8513","Encounter_5","Week 4","Day 28","Encounter"
"E7","0e4f8b95-fe30-4770-ad4a-679d4bfb3f2c","Encounter_6","Week 6","Day 42","Encounter"
"E8","694ba0e5-a3e8-4a06-ad0d-2e8d369e58e1","Encounter_7","Week 8","Day 56","Encounter"
"E9","44e44ec9-7234-48d3-bb8f-9bcde77db2dc","Encounter_8","Week 12","Day 84","Encounter"
"E10","40f72098-3bc0-41e7-a7b6-ed786f14917a","Encounter_9","Week 16","Day 112","Encounter"
"E11","b66d4a97-a1ce-439e-a021-abf1665977cf","Encounter_10","Week 20","Day 140","Encounter"
"E12","ee0803f6-7542-40c4-b650-a6f213d56a3e","Encounter_11","Week 24","Day 168","Encounter"
"E13","ab34a926-a814-495d-936a-aba4fa1e562c","Encounter_12","Week 26","Day 182","Encounter"
