"name","uuid:ID","id","value","windowUpper","windowLabel","label","valueLabel","description","windowLower","instanceType"
"TIM1","49b2607a-bcac-4a7f-b29d-876742921fb6","Timing_1","P2W","","","Screening","2 weeks","Screening timing","","Timing"
"TIM2","1c8a1a61-f952-4a32-96a3-dd95f815f3fa","Timing_2","P2D","PT0H","-4..0 hours","Pre dose","2 days","Pre dose timing","PT4H","Timing"
"TIM3","770aa0b9-4bd4-4cac-a0e3-39ef2555fd26","Timing_3","P1D","","","Dosing","1 Day","Dosing anchor","","Timing"
"TIM4","2b4b8348-ca64-4865-a80f-26edcb43e0c6","Timing_4","P2W","P3D","-3..3 days","Week 2","2 Weeks","Week 2 timing","P3D","Timing"
"TIM5","1b578a37-61a5-4c74-bc84-8a1910366a34","Timing_5","P4W","P3D","-3..3 days","Week 4","4 Weeks","Week 4 timing","P3D","Timing"
"TIM6","27a84ce8-54de-4720-896c-02d82eacee92","Timing_6","P6W","P3D","-3..3 days","Week 6","6 Weeks","Week 6 timing","P3D","Timing"
"TIM7","3d0c9825-5156-4d88-8b58-08fb605c29d2","Timing_7","P8W","P3D","-3..3 days","Week 8","8 Weeks","Week 8 timing","P3D","Timing"
"TIM9","75c8d798-d5ab-4006-9c53-23656d36c428","Timing_9","P12W","P4D","-4..4 days","Week 12","12 Weeks","Week 12 timing","P4D","Timing"
"TIM11","3687d890-0acc-449c-9d94-b28dbf1bfcdf","Timing_11","P16W","P4D","-4..4 days","Week 16","16 Weeks","Week 16 timing","P4D","Timing"
"TIM13","51bb2501-4e33-4509-96d5-2b88403a3b28","Timing_13","P20W","P4D","-4..4 days","Week 20","20 Weeks","Week 20 timing","P4D","Timing"
"TIM15","bb2ebd41-e7a2-4928-ac88-14d6fffbc6d8","Timing_15","P24W","P4D","-4..4 days","Week 24","24 Weeks","Week 24 timing","P4D","Timing"
"TIM16","450803fe-4b92-4cf3-a708-8d880b54f00c","Timing_16","P26W","P3D","-3..3 days","Week 26","26 Weeks","Week 26 timing","P3D","Timing"
"TIM8","6b74cbd0-8bb0-461b-8586-a6aa8037423e","Timing_8","P2W","","","Week 8 Home","2 Weeks","Week 8 at home timing","","Timing"
"TIM10","f1fa5b89-8a03-4f69-a798-94b095408171","Timing_10","P2W","","","Week 12 Home","2 Weeks","Week 12 at home timing","","Timing"
"TIM12","aef36fd3-9412-4207-8b19-15fd4aad567e","Timing_12","P2W","","","Week 16 Home","2 Weeks","Week 16 at home timing","","Timing"
"TIM14","03b8d0e6-9d58-42c6-b182-fc21d147cf72","Timing_14","P2W","","","Week 20 Home","2 Weeks","Week 20 at home timing","","Timing"
"TIM17","874558d3-700f-4e74-aae5-f58c036e6d7c","Timing_17","P1D","","","Adverse Event","1 Day","Adverse Event","","Timing"
"TIM18","233919ac-f8b7-4484-9cac-3e2d4c935f85","Timing_18","P1D","","","Early Termination","1 Day","Early Termination","","Timing"
"TIM19","b4e7522d-8291-457e-a0ab-086eacc448b7","Timing_19","PT0M","","","Supine","0 mins","Supine","","Timing"
"TIM20","86703d6d-d385-4fd1-8b5f-64596a052667","Timing_20","PT5M","","","VS while supine","5 mins","VS while supine","","Timing"
"TIM21","e94898eb-1d5a-48c7-bfa5-9db312ab66bd","Timing_21","PT0M","","","Standing","0 min","Standing","","Timing"
"TIM22","cdcd660a-a265-4533-a06a-42ab7a1da8e8","Timing_22","PT1M","","","VS while standing","1 min","VS while standing","","Timing"
"TIM23","fa99df39-eba8-48d1-aee1-ae49b120531e","Timing_23","PT0M","","","Standing","0 min","Standing","","Timing"
"TIM24","3e189c8e-c718-4374-9cc3-7985606155ee","Timing_24","PT2M","","","VS while standing","2 min","VS while standing","","Timing"
