"name","uuid:ID","id","label","description","instanceType"
"Informed consent","890ab0b9-4244-434a-9df2-e8efdaa9408d","Activity_1","Informed consent","","Activity"
"Inclusion/exclusion criteria","0ece6e28-a930-4bf4-b603-505d0f929173","Activity_2","Inclusion and exclusion criteria","","Activity"
"Patient number assigned","1bfbc081-718b-4be3-a7ae-4e79841fd5b4","Activity_3","Patient number assigned","","Activity"
"Demographics","f3327886-aea7-41dd-8f3b-62629b16b5c8","Activity_4","Demographics","","Activity"
"Hachinski","3944bd13-5da2-4c53-afb1-e788fea9a2e6","Activity_5","Hachinski Ischemic Scale","","Activity"
"MMSE","401c1fef-bb78-443d-a192-691f7c277f4a","Activity_6","MMSE","","Activity"
"Physical examination","a359eb23-5868-4b7b-b9be-cc897189d7d9","Activity_7","Physical examination","","Activity"
"Medical history","c16eef09-0cf5-4f57-b344-99635584a987","Activity_8","Medical history","","Activity"
"Habits","bd4ec30b-d3d4-48d9-8645-e249e955a6ca","Activity_9","Habits","","Activity"
"Chest X-ray","96c72405-dbe6-4296-9787-76b5f0bf03a3","Activity_10","Chest X-ray","","Activity"
"Apo E genotyping","9341573d-82dc-47af-9518-c6ec5ccfe0be","Activity_11","Apo E genotyping","","Activity"
"Patient randomised","09599bf7-4e82-4c60-a055-e7287907f92f","Activity_12","Patient randomised","","Activity"
"Vital signs / Temperature","d6a3c071-d8d1-4ecf-81f3-dbf21fd7aa65","Activity_13","Vital Signs and Temperature","","Activity"
"Ambulatory ECG placed","3c08ed11-1ec9-449b-b882-56b41b4e93b5","Activity_14","Ambulatory ECG placed","","Activity"
"Ambulatory ECG removed","7c4dfcfe-8f52-4d7f-85a5-07e7a7d86590","Activity_15","Ambulatory ECG removed","","Activity"
"ECG","252ce80d-b18b-4f23-a271-dbcedf3809f5","Activity_16","ECG","","Activity"
"Placebo TTS test","869cb743-86fa-4bec-95ac-e563da64a2c1","Activity_17","Placebo TTS test","","Activity"
"CT scan","b92de7d4-6a9f-425e-9e8e-5619165fe753","Activity_18","CT scan","","Activity"
"Concomitant medications","a080b8a1-24bb-4212-9bec-f3f0354f06ca","Activity_19","Concomitant medications","","Activity"
"Hematology","80b13cb0-7750-4ba9-9a28-499033f9252d","Activity_20","Hematology","","Activity"
"Chemistry","b2d92ba1-6f61-4694-8337-875bd75272e0","Activity_21","Chemistry","","Activity"
"Uninalysis","25b79f5a-b999-4ade-a4f6-603da1b33240","Activity_22","Uninalysis","","Activity"
"Plasma Specimen (Xanomeline)","286196b7-a346-4a0f-ac92-88245f494f45","Activity_23","Plasma Specimen (Xanomeline)","","Activity"
"Hemoglobin A1C","53e85d4f-025b-428b-b5ec-e093866d3ef2","Activity_24","Hemoglobin A1C","","Activity"
"Study drug","62a0356c-5aed-42a1-9674-732cda627621","Activity_25","Study drug record , Medications dispensed, Medications returned","","Activity"
"TTS Acceptability Survey","7f23c6af-76bd-4eee-ac73-06cc5239d31d","Activity_26","TTS Acceptability Survey","","Activity"
"ADAS-Cog","cb1b302a-c229-4eaf-b248-b6a11d3d735e","Activity_27","ADAS-Cog","","Activity"
"CIBIC+","f99088c7-a93a-4df2-aefd-4c951126ce34","Activity_28","CIBIC+","","Activity"
"DAD","e3177add-56c7-4884-a761-ebb3fbc75ec1","Activity_29","DAD","","Activity"
"NPI-X","5f4b3fa3-a332-4e41-8cd0-734ca440ead2","Activity_30","NPI-X","","Activity"
"Adverse events","af6c84d9-c9ca-4f2a-9f54-6fef3d2d8c1f","Activity_31","Adverse events","","Activity"
"Check adverse events","2d5c7d6f-4fb4-45d7-b4c1-99992e996ab3","Activity_32","Check adverse events","","Activity"
"Supine","43e2989d-d0d8-49a9-a15b-9c35b19a6734","Activity_33","Subject supine","","Activity"
"Vital Signs Supine","f5755558-4171-4cba-91c1-23f681eb493d","Activity_34","Vital signs while supine","","Activity"
"Stand","f18bb19d-5fb4-479e-8611-085bc5f41e14","Activity_35","Subject Standing","","Activity"
"Vital Signs Standing","37199784-9da7-4ae3-a80a-37fa2909da1d","Activity_36","Vital signs while standing","","Activity"
