"name","uuid:ID","purpose","id","label","text","description","instanceType"
"END1","92179129-17a8-4e91-90bb-c6ad5bf0ee3e","","Endpoint_1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint"
"END2","bf028568-1c45-47b6-a88d-933dbd64d451","","Endpoint_2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint"
"END3","293672d1-5c5c-42da-890a-6b21c19b8eab","","Endpoint_3","","Adverse events","","Endpoint"
"END4","3544517a-8923-4158-8d39-daaa3dc77516","","Endpoint_4","","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint"
"END5","8428c273-0feb-4065-9ec1-3d0b90898d0d","","Endpoint_5","","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint"
"END6","ae889946-1e61-4e3d-8b0a-728894d5f70b","","Endpoint_6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint"
"END7","c6f39112-5adc-47ea-a706-835413cdb0fe","","Endpoint_7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint"
"END8","107204fc-12d1-4acd-b70a-50cf19cd0bb6","","Endpoint_8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint"
"END9","fc8a94e3-40ee-42a8-a6a9-b93a5eb9241c","","Endpoint_9","","*** To be determined from protocol ***","","Endpoint"
"END10","122bff09-8977-4880-b5a4-dc508aa7344d","","Endpoint_10","","*** To be determined from protocol ***","","Endpoint"
"END11","6b5b9f0d-d541-47cb-a77c-8f9acbbf868f","","Endpoint_11","","*** To be determined from protocol ***","","Endpoint"
