"uuid:ID","code","id","codeSystemVersion","decode","instanceType","codeSystem"
"2f60691c-b02a-4218-97a6-b49b3a928780","C98388","Code_1","2023-12-15","Interventional Study","Code","http://www.cdisc.org"
"ef0212ee-4bfa-46d2-b98f-0e1e952d493c","C15601","Code_2","2023-12-15","Phase II Trial","Code","http://www.cdisc.org"
"a1d2c445-de5e-4ac7-aec0-061579ae907d","C132352","Code_9","2023-12-15","Sponsor Approval Date","Code","http://www.cdisc.org"
"38b5d5e1-61db-4890-a238-cababee3bf97","C68846","Code_10","2023-12-15","Global","Code","http://www.cdisc.org"
"dd45d755-9619-4d4d-81fe-aa35d5104059","C99904x3","Code_72","2023-12-15","IRB/IEC Feedback","Code","http://www.cdisc.org"
"28df1d04-0cf2-413f-bc0f-e367168b652d","C17649","Code_73","2023-12-15","Other","Code","http://www.cdisc.org"
"8cc2a04e-fdae-4d63-87d0-dfbb55e69cef","C41129","Code_75","2023-12-15","Region","Code","http://www.cdisc.org"
"99c57ffe-2848-4ed7-81d7-72915846a6de","150","Code_74","2020-08","Europe","Code","ISO 3166 1 alpha3"
"abdccd78-9861-4e8b-a097-eacf66f7d673","PHARMA","Code_4","12","Eli Lilly","Code","SPONSOR"
"14bedccf-2b42-4615-b355-cee233a5942e","C70793","Code_76","2023-12-15","Clinical Study Sponsor","Code","http://www.cdisc.org"
"b3556284-0543-49a2-92b1-b929028358f0","USA","Code_77","2020-08","United States of America","Code","ISO 3166 1 alpha3"
"657bcbeb-e199-462a-973e-31538e086f7b","C93453","Code_78","2023-12-15","Study Registry","Code","http://www.cdisc.org"
"5f4eabfa-b1d0-44a8-bd57-1a60e554b4fb","USA","Code_79","2020-08","United States of America","Code","ISO 3166 1 alpha3"
"89d5e1ce-b803-4ada-82d3-44132b5166e4","C49656","Code_137","2023-12-15","Treatment Study","Code","http://www.cdisc.org"
"debe1144-f2af-439b-af23-7ebc18245679","C49666","Code_138","2023-12-15","Efficacy Study","Code","http://www.cdisc.org"
"2e78c5db-4b3a-4c78-a45f-2d0a41971e28","C49667","Code_139","2023-12-15","Safety Study","Code","http://www.cdisc.org"
"6f8a5218-3d22-4e19-aa69-af5e61cfdd89","C49663","Code_140","2023-12-15","Pharmacokinetic Study","Code","http://www.cdisc.org"
