"instanceType","codeSystemVersion","code","uuid:ID","decode","codeSystem","id"
"Code","2023-12-15","C98388","5bdfa8dc-f258-44d6-8606-f3de6f6a4d6b","Interventional Study","http://www.cdisc.org","Code_1"
"Code","2023-12-15","C15601","e7ac1c5d-b733-4fa7-be8f-b855def84e72","Phase II Trial","http://www.cdisc.org","Code_2"
"Code","2023-12-15","C132352","44a2af17-70cc-429e-a8f0-f2fe0fc6370f","Sponsor Approval Date","http://www.cdisc.org","Code_9"
"Code","2023-12-15","C68846","1cb09947-e47e-4a78-8728-f4c814cd5d9e","Global","http://www.cdisc.org","Code_10"
"Code","2023-12-15","C99904x3","0dbc99a9-a8f6-4f25-9899-1d1a55cde046","IRB/IEC Feedback","http://www.cdisc.org","Code_72"
"Code","2023-12-15","C17649","048a22f6-45f9-42ef-9f5b-f31d80ced6b0","Other","http://www.cdisc.org","Code_73"
"Code","2023-12-15","C41129","b5cfcb98-13c2-4323-8c52-466cb9cc1069","Region","http://www.cdisc.org","Code_75"
"Code","2020-08","150","81c27498-be8f-4d2f-afbc-9ed1a5a52c37","Europe","ISO 3166 1 alpha3","Code_74"
"Code","12","PHARMA","0666781d-aad2-43c0-a72a-326189625e1b","Eli Lilly","SPONSOR","Code_4"
"Code","2023-12-15","C70793","4ad7a271-0c79-4e17-b935-4afa1347c973","Clinical Study Sponsor","http://www.cdisc.org","Code_76"
"Code","2020-08","USA","aeca4f36-a5f4-493c-ac9c-36f15e7d330f","United States of America","ISO 3166 1 alpha3","Code_77"
"Code","2023-12-15","C93453","8dc19d31-7ea8-47cd-b8f3-90a88eb45b64","Study Registry","http://www.cdisc.org","Code_78"
"Code","2020-08","USA","919b4ecd-a026-4c39-b2b1-663434e84c52","United States of America","ISO 3166 1 alpha3","Code_79"
"Code","2023-12-15","C49656","3163bfea-8ea0-4137-9212-851276e932a7","Treatment Study","http://www.cdisc.org","Code_137"
"Code","2023-12-15","C49666","3ad68831-602e-4da3-90c7-c3fe44ee26cf","Efficacy Study","http://www.cdisc.org","Code_138"
"Code","2023-12-15","C49667","36fab804-b2ef-4832-841c-d0d1e4026e53","Safety Study","http://www.cdisc.org","Code_139"
"Code","2023-12-15","C49663","04841ae4-951e-48ef-b97b-8483d6468f8d","Pharmacokinetic Study","http://www.cdisc.org","Code_140"
"Code","12","MILD_MOD_ALZ","7974fefd-9279-490e-91f3-23561c59ed05","Mild to Moderate Alzheimer's Disease","SPONSOR","Code_134"
"Code","January 31, 2018","26929004","c9014a3c-73a5-40d1-8893-bafe9c03d885","Alzheimer's disease","SNOMED","Code_135"
"Code","2023-12-15","C99907x1","f6873d00-ef26-41ec-998f-ecd3dea7d0d9","EXTENSION","http://www.cdisc.org","Code_143"
"Code","2023-12-15","C98704","360af291-dd0a-43bd-8395-1c9d916aa234","ADAPTIVE","http://www.cdisc.org","Code_144"
"Code","2023-12-15","C82639","a9ea9caf-aff7-4fdf-9c03-31dc75dd3349","Parallel Study","http://www.cdisc.org","Code_141"
"Code","2023-12-15","C25716","364e614d-db5b-4fb1-8777-de3108677ac2","Visit","http://www.cdisc.org","Code_83"
"Code","2023-12-15","C51282","8eab5e02-de46-4737-a0f5-ed997a1657e1","Clinic","http://www.cdisc.org","Code_84"
