"id","label","uuid:ID","description","name","instanceType"
"Encounter_1","Screening 1","345c5f6c-167a-4bc8-8e63-85ba80d92b8a","Screening encounter","E1","Encounter"
"Encounter_2","Screening 2","28a4ed92-a17b-4378-98f6-372a034cba51","Screening encounter - Ambulatory ECG Placement","E2","Encounter"
"Encounter_3","Baseline","b2e3a2e4-8856-4ea6-b661-362eeb4f46bd","Baseline encounter - Ambulatory ECG Removal","E3","Encounter"
"Encounter_4","Week 2","be5ac90b-94e3-4a2e-ab90-69b43ae42c03","Day 14","E4","Encounter"
"Encounter_5","Week 4","d06eaf74-721e-4510-afed-5a77f0223927","Day 28","E5","Encounter"
"Encounter_6","Week 6","1c037fb8-a95c-4721-b3d9-21079f3d72a5","Day 42","E7","Encounter"
"Encounter_7","Week 8","31a1f98a-5157-4222-af4c-396ca8f77c49","Day 56","E8","Encounter"
"Encounter_8","Week 12","c0354b8c-b0ca-49aa-b2e9-a72bc622d968","Day 84","E9","Encounter"
"Encounter_9","Week 16","5cff0f63-09b6-4c7c-8f8d-ff61024032ae","Day 112","E10","Encounter"
"Encounter_10","Week 20","5afccdf6-844f-4c49-be92-0ab9f275270c","Day 140","E11","Encounter"
"Encounter_11","Week 24","a1d16426-7d8e-405e-91e4-8cbb28b1f278","Day 168","E12","Encounter"
"Encounter_12","Week 26","0236bf3c-b9d0-471f-8790-703bc1714af6","Day 182","E13","Encounter"
