"reference","id","label","uuid:ID","synonyms","name","instanceType"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_20","Sex","752b3500-922b-40c0-ac3e-7cc463eb2391","","Sex","BiomedicalConcept"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_21","Race","4091b108-52b2-496e-80c1-e6f53db4e679","['Racial Group']","Race","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_22","Temperature","3cb51783-31ab-4ede-9a12-cd9f4e7d4297","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_23","Weight","833fd943-5c63-468f-adad-47920a6b20fa","['Weight', 'Body Weight']","Weight","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_24","Height","8e03125d-49d5-4d97-b079-7a44b0fee387","['Height', 'Body Height']","Height","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","1cdbd9de-2b9b-4538-aff0-9efe21314ff9","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_26","Albumin Presence in Urine","450c6ac5-24d8-43fd-9868-dfae068ab56a","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","3b7c199a-2b36-472f-a1b2-228f765c11cd","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","327dc37b-b9ee-4bb9-862d-d6756958120e","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_29","Creatinine Concentration in Urine","cc46f843-483a-4189-a21d-61bfa90d11a8","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept"
