"id","label","uuid:ID","description","name","instanceType"
"ScheduledActivityInstance_9","Screen One","ff16cb11-2ea8-4ab8-a355-50cbf8fd95e4","-","SCREEN1","ScheduledActivityInstance"
"ScheduledActivityInstance_10","Screen Two","5bb99535-b6de-4e75-9436-60a1dd61a754","-","SCREEN2","ScheduledActivityInstance"
"ScheduledActivityInstance_11","Dose","27d54bea-e638-41b7-a321-25e3ba9418f3","-","DOSE","ScheduledActivityInstance"
"ScheduledActivityInstance_12","Week 2","052514ce-3e78-4097-85fc-5b484747058d","-","WK2","ScheduledActivityInstance"
"ScheduledActivityInstance_13","Week 4","e70d9200-d4a0-47e5-8b77-ede99979d059","-","WK4","ScheduledActivityInstance"
"ScheduledActivityInstance_14","Week 6","9cd2075f-1e18-4b0d-b354-2a1478bbc790","-","WK6","ScheduledActivityInstance"
"ScheduledActivityInstance_15","Week 8","aa596f34-4ee7-4f92-9a5c-2e797c60fba4","-","WK8","ScheduledActivityInstance"
"ScheduledActivityInstance_16","Week NPI","a49fd52f-dd79-457c-9fcb-155ceae3cb21","-","WK8N","ScheduledActivityInstance"
"ScheduledActivityInstance_17","Week 12","835b12de-b33d-433b-9281-17d7b2088d81","-","WK12","ScheduledActivityInstance"
"ScheduledActivityInstance_18","Week 12 NPI","1129fa4b-630d-4cde-a060-9bb3ad94a14a","-","WK12N","ScheduledActivityInstance"
"ScheduledActivityInstance_19","Week 16","16460ffa-6424-4263-99af-71986fd3b23f","-","WK16","ScheduledActivityInstance"
"ScheduledActivityInstance_20","Week 16 NPI","ea8085a4-8438-4108-a80d-7f12992aeda7","-","WK16N","ScheduledActivityInstance"
"ScheduledActivityInstance_21","Week 20","ee31ea49-3fef-4e02-a283-1518abfb9b3e","-","WK20","ScheduledActivityInstance"
"ScheduledActivityInstance_22","Week 20 NPI","7f6ec420-98ac-4721-9813-0b86ea8a08ac","-","WK20N","ScheduledActivityInstance"
"ScheduledActivityInstance_23","Week 24","8d09bb23-10d1-4829-aef9-0838d7e9d136","-","WK24","ScheduledActivityInstance"
"ScheduledActivityInstance_24","Week 26","bcb47409-edfe-4a16-9bd6-afb7a3bd86ba","-","WK26","ScheduledActivityInstance"
"ScheduledActivityInstance_1","Adevers Event","dd6c008f-ead3-4aad-a9cb-4f02163903c1","-","AE","ScheduledActivityInstance"
"ScheduledActivityInstance_2","Early Termination","56a6669b-a778-44c9-b218-03e563498ece","-","ET","ScheduledActivityInstance"
"ScheduledActivityInstance_3","5 minute supine","9893a9aa-e8c0-4c63-afdb-eb0ac6b32dc0","","VS_5MIN","ScheduledActivityInstance"
"ScheduledActivityInstance_4","Vital signs supine","5bfff0b3-a8e7-459e-9b10-5bd2d5d4cd33","","VS_SUPINE","ScheduledActivityInstance"
"ScheduledActivityInstance_5","1 minute standing","906564ac-713f-47d0-a742-2d7b1585090a","","VS_1MIN","ScheduledActivityInstance"
"ScheduledActivityInstance_6","Vital signs after 1 min standing","88d69208-78d7-4cc1-b843-cda2df81a203","","VS_STAND1","ScheduledActivityInstance"
"ScheduledActivityInstance_7","2 minute standing","db02f236-08f0-4243-ad32-d63b1d2ae66f","","VS_2MIN","ScheduledActivityInstance"
"ScheduledActivityInstance_8","Vital signs after 3 min standing","2b707710-ec8c-4efd-9b37-e99cee530517","","VS_STAND3","ScheduledActivityInstance"
