"valueLabel","windowLower","instanceType","windowUpper","label","uuid:ID","description","windowLabel","value","name","id"
"2 weeks","","Timing","","Screening","ea036a57-90c7-4d15-ac1a-5ee8d74d5b57","Screening timing","","P2W","TIM1","Timing_1"
"2 days","PT4H","Timing","PT0H","Pre dose","9e3e67c5-8dec-4400-ac77-eafc7e370897","Pre dose timing","-4..0 hours","P2D","TIM2","Timing_2"
"1 Day","","Timing","","Dosing","46cf33e9-86c9-4091-bb16-3d1bb44ea5fa","Dosing anchor","","P1D","TIM3","Timing_3"
"2 Weeks","P3D","Timing","P3D","Week 2","ab6570f7-6edb-432e-a924-fddeef6cab13","Week 2 timing","-3..3 days","P2W","TIM4","Timing_4"
"4 Weeks","P3D","Timing","P3D","Week 4","0f482ef3-487d-4bb4-a97d-c85fa04c26c8","Week 4 timing","-3..3 days","P4W","TIM5","Timing_5"
"6 Weeks","P3D","Timing","P3D","Week 6","d1604d6a-f52d-4cb9-bbde-4b8fbe663721","Week 6 timing","-3..3 days","P6W","TIM6","Timing_6"
"8 Weeks","P3D","Timing","P3D","Week 8","59420c90-e211-49c2-aecc-eac6d04b4545","Week 8 timing","-3..3 days","P8W","TIM7","Timing_7"
"12 Weeks","P4D","Timing","P4D","Week 12","c73cb4b1-982a-442c-a78e-0f7a6d6b6445","Week 12 timing","-4..4 days","P12W","TIM9","Timing_9"
"16 Weeks","P4D","Timing","P4D","Week 16","203d4ada-4414-4e9f-bad3-0f6d5f80400d","Week 16 timing","-4..4 days","P16W","TIM11","Timing_11"
"20 Weeks","P4D","Timing","P4D","Week 20","6f77bfca-487a-4f6c-be25-207debe26961","Week 20 timing","-4..4 days","P20W","TIM13","Timing_13"
"24 Weeks","P4D","Timing","P4D","Week 24","0667228c-9863-48f7-9255-42c2d5720bc3","Week 24 timing","-4..4 days","P24W","TIM15","Timing_15"
"26 Weeks","P3D","Timing","P3D","Week 26","ac39369b-0263-44f4-8191-432a2d3d2c05","Week 26 timing","-3..3 days","P26W","TIM16","Timing_16"
"2 Weeks","","Timing","","Week 8 Home","cafb0754-89de-48bd-80fc-4c393d2f32d0","Week 8 at home timing","","P2W","TIM8","Timing_8"
"2 Weeks","","Timing","","Week 12 Home","b9a3ef15-bb84-4631-af1a-6b75f427c4fa","Week 12 at home timing","","P2W","TIM10","Timing_10"
"2 Weeks","","Timing","","Week 16 Home","c6a59376-3177-4417-81c3-ed5793de0a7c","Week 16 at home timing","","P2W","TIM12","Timing_12"
"2 Weeks","","Timing","","Week 20 Home","d42151be-b4db-40a5-8c88-9b8e3b3cd51e","Week 20 at home timing","","P2W","TIM14","Timing_14"
"1 Day","","Timing","","Adverse Event","2b97ce2d-46bc-4fcb-af9e-a70dfabef4e7","Adverse Event","","P1D","TIM17","Timing_17"
"1 Day","","Timing","","Early Termination","6f2e0cd4-d043-4bcb-9e28-957ba8f712f3","Early Termination","","P1D","TIM18","Timing_18"
"0 mins","","Timing","","Supine","a22dc26d-e520-40c5-adf9-b0caf99fcb56","Supine","","PT0M","TIM19","Timing_19"
"5 mins","","Timing","","VS while supine","f3fbb93c-327b-40f1-bfe1-d39408a96ee7","VS while supine","","PT5M","TIM20","Timing_20"
"0 min","","Timing","","Standing","4b856f13-b5d5-457c-a26e-b9e99c51b98e","Standing","","PT0M","TIM21","Timing_21"
"1 min","","Timing","","VS while standing","54f0572c-5055-447d-87f8-e947e4f085e7","VS while standing","","PT1M","TIM22","Timing_22"
"0 min","","Timing","","Standing","2b8c6c31-6ef3-4acf-8803-1fa5b9a09520","Standing","","PT0M","TIM23","Timing_23"
"2 min","","Timing","","VS while standing","72cafcb8-bb54-4fe7-96e8-ad4618e75ea9","VS while standing","","PT2M","TIM24","Timing_24"
