"text","id","uuid:ID","name","instanceType"
"Subject identifier","TransitionRule_1","5392be11-546e-44e8-81b6-e17664fbfd8b","ENCOUNTER_START_RULE_1","TransitionRule"
"completion of screening activities","TransitionRule_2","6660bea5-ed65-4d10-8f49-c1d77640228b","ENCOUNTER_START_RULE_1","TransitionRule"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","4aa3cfd9-9962-4db9-b9f9-58e276acddaf","ENCOUNTER_START_RULE_2","TransitionRule"
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","56f84f5c-eee2-4e7b-a7c7-d5a7912b97a1","ENCOUNTER_START_RULE_3","TransitionRule"
"Radomized","TransitionRule_5","073c3d72-4d02-4688-927c-6771e0cd45e7","ENCOUNTER_START_RULE_3","TransitionRule"
"End of treatment","TransitionRule_6","3743b8a8-10de-4753-a32e-54ab443e08c4","ENCOUNTER_START_RULE_12","TransitionRule"
"Informed consent","TransitionRule_7","6f06367f-7159-48b1-9c22-650f70e579db","ELEMENT_START_RULE_1","TransitionRule"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","4fe850e7-0539-4bdb-b113-4ceebdd4157b","ELEMENT_END_RULE_1","TransitionRule"
"Administration of first dose","TransitionRule_9","20b45418-0db0-46c3-bcf8-3fdc0b5cd3f3","ELEMENT_START_RULE_2","TransitionRule"
"End of last scheduled visit on study (including early termination)","TransitionRule_14","904f5979-fd75-4bd3-bdd4-01e7bb5fa919","ELEMENT_START_RULE_7","TransitionRule"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","ed8e6302-146d-41a8-bab5-c6ed8af9f9d5","ELEMENT_END_RULE_7","TransitionRule"
"Administration of first dose","TransitionRule_10","b63be47c-4b36-44c7-951e-3ebdefb794d2","ELEMENT_START_RULE_3","TransitionRule"
"Randomized","TransitionRule_11","9df09cf6-eaf4-4ed7-b90a-26e4f6129e43","ELEMENT_START_RULE_4","TransitionRule"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","9da3aff0-be45-43ee-8e0b-54c8f4dae9b1","ELEMENT_START_RULE_5","TransitionRule"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","94835561-f329-45b3-b126-d90563708edf","ELEMENT_START_RULE_6","TransitionRule"
