"id","sectionTitle","text","sectionNumber","instanceType","name","uuid:ID"
"NarrativeContent_1","Root","","0","NarrativeContent","ROOT","3b599c66-75b6-49b0-822d-fa3d8ba131fb"
"NarrativeContent_2","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","0","NarrativeContent","SECTION 0","b5bffcc3-4c62-412d-ad48-e48b6a320f07"
"NarrativeContent_3","PROTOCOL SUMMARY","<div></div>","1","NarrativeContent","SECTION 1","5c60c90c-260d-4214-940b-da9f756bbcec"
"NarrativeContent_4","Protocol Synopsis","<div></div>","1.1","NarrativeContent","SECTION 1.1","eac56d4e-92f2-4b43-97e2-e902df9eae0f"
"NarrativeContent_5","Trial Schema","<div></div>","1.2","NarrativeContent","SECTION 1.2","a010249a-4b34-46de-b817-1b2113dd0944"
"NarrativeContent_6","Schedule of Activities","<div></div>","1.3","NarrativeContent","SECTION 1.3","cbc75e3d-d300-480a-b614-d84d80b424fa"
"NarrativeContent_7","INTRODUCTION","<div></div>","2","NarrativeContent","SECTION 2","055c8cff-26e1-4ff5-b47f-cb823746e9cd"
"NarrativeContent_8","Purpose of Trial","<div></div>","2.1","NarrativeContent","SECTION 2.1","4f2d8477-e2fd-490b-a2e6-7875cef40ccd"
"NarrativeContent_9","Summary of Benefits and Risks","<div></div>","2.2","NarrativeContent","SECTION 2.2","78802ef5-5134-4888-87ee-3509cefbc715"
"NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","3","NarrativeContent","SECTION 3","b0328589-8fbc-4fab-8c8a-eac4a0882ee6"
"NarrativeContent_11","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","NarrativeContent","SECTION 3.1","6de67008-f2fd-4f5f-8f8f-943c9a193562"
"NarrativeContent_12","TRIAL DESIGN","<div></div>","4","NarrativeContent","SECTION 4","5cbd6644-d3fa-4aa6-84a4-66949f04e3e1"
"NarrativeContent_13","Description of Trial Design","<div></div>","4.1","NarrativeContent","SECTION 4.1","fc6ca246-de1b-4f58-91d2-038c9138beca"
"NarrativeContent_14","Participant Input into Design","<div></div>","4.1.1","NarrativeContent","SECTION 4.1.1","ee895eef-4af8-441b-a1bf-f729aec3626f"
"NarrativeContent_15","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","NarrativeContent","SECTION 4.2","dcbe567a-4b94-48a0-a74e-deabcc69a986"
"NarrativeContent_16","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","NarrativeContent","SECTION 4.2.1","0fd6a356-598d-4237-8a0a-3727da55fad1"
