"id","isRequired","datatype","isEnabled","label","instanceType","name","uuid:ID"
"BiomedicalConceptProperty_98","True","decimal","True","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","23feb9f6-bc0c-42af-aa11-3e3eefe6b682"
"BiomedicalConceptProperty_99","True","string","True","Unit of Temperature","BiomedicalConceptProperty","Unit of Temperature","5281c6eb-df62-44f7-ac5d-57578b77f1c0"
"BiomedicalConceptProperty_100","True","string","True","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location","eed84430-204b-48ee-8001-babe3e9c07c7"
"BiomedicalConceptProperty_101","True","decimal","True","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","0d4f0205-57dc-4cff-b721-474c58d5d20a"
"BiomedicalConceptProperty_102","True","string","True","Unit of Weight","BiomedicalConceptProperty","Unit of Weight","8f3d76ae-7885-4583-8454-2f1cf7f51502"
"BiomedicalConceptProperty_103","True","decimal","True","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","3bcc78e0-8bbf-46cc-a8d0-d67701cffe51"
"BiomedicalConceptProperty_104","True","string","True","Unit of Height","BiomedicalConceptProperty","Unit of Height","3c1cf09a-f86b-4c50-be92-2433beef1b25"
"BiomedicalConceptProperty_105","True","decimal","True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","c3200ee2-8c7b-48b5-84e3-4d6fd56684d8"
"BiomedicalConceptProperty_106","True","boolean","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","25fa9163-3aac-47a3-af15-c0fa5e39a665"
"BiomedicalConceptProperty_107","True","string","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","9e26a859-1346-4464-ac73-f814241dd517"
"BiomedicalConceptProperty_108","True","string","True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","deab543f-9724-4656-b4e1-9e31ea5749f5"
"BiomedicalConceptProperty_109","True","string","True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","a6d7093f-7984-43cb-ad17-05ccbb2742ff"
"BiomedicalConceptProperty_110","True","boolean","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","00a0db84-6f52-47db-8783-2eb8eec5ea5a"
"BiomedicalConceptProperty_111","True","string","True","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","ceb78613-fb63-46a6-aeea-ce7a8f735118"
"BiomedicalConceptProperty_112","True","string","True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","ca4b9828-5a95-4bb2-8b96-41c13b3a6ee1"
"BiomedicalConceptProperty_113","True","decimal","True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","ca2081d9-bbc0-4655-9d69-c2038a710c39"
"BiomedicalConceptProperty_114","True","boolean","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","1199afd0-9e3b-4e99-99a9-8dbf022f2539"
"BiomedicalConceptProperty_115","True","string","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","8d40228e-6261-41b2-ae64-97e55c7bc5b7"
"BiomedicalConceptProperty_116","True","string","True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","0c5e379f-9473-47ee-bbd4-f3d0a823ae6c"
"BiomedicalConceptProperty_117","True","decimal","True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","297cddc6-c297-4fa3-8895-2cbb9f001a70"
"BiomedicalConceptProperty_118","True","boolean","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","7d0386a9-674f-4d15-90b6-4fe73f1ee462"
"BiomedicalConceptProperty_119","True","string","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","02f2c102-61cb-43c9-8b2c-3758e922cb31"
"BiomedicalConceptProperty_120","True","string","True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","e99590ec-4ed5-44ee-965a-d9b51f63ca62"
"BiomedicalConceptProperty_121","True","string","True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","1238ab71-790c-4337-8ea6-6001746a4ec9"
"BiomedicalConceptProperty_122","True","boolean","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","439f1f73-f9d5-4349-8eff-bc6c21aad3e8"
"BiomedicalConceptProperty_123","True","string","True","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","6f4ce9ff-0ad2-4485-8def-b3977ab30c44"
"BiomedicalConceptProperty_124","True","string","True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","430acf4e-8b5b-4bcd-a5b4-21f1a4c9c1df"
"BiomedicalConceptProperty_125","True","decimal","True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","53e467a7-b31a-4f78-aa84-cd4c0f102ce3"
"BiomedicalConceptProperty_126","True","boolean","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","a3ae33b3-2af0-4302-a47c-b6a9656a90b6"
"BiomedicalConceptProperty_127","True","string","True","Molarity Unit","BiomedicalConceptProperty","Molarity Unit","b13c9c6b-987f-47e7-9491-5aa94ffd4289"
"BiomedicalConceptProperty_128","True","string","True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","d9b2ed84-dfec-44b2-9ebc-aaf1234b85da"
"BiomedicalConceptProperty_129","True","decimal","True","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","6e0402a2-c92e-43e7-aa13-a43025f7ef32"
"BiomedicalConceptProperty_130","True","boolean","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","8969eb2e-3ce6-4455-b04b-9e31156e4eb2"
"BiomedicalConceptProperty_131","True","string","True","Molarity Unit","BiomedicalConceptProperty","Molarity Unit","7c8860a0-0542-4226-801d-c8685d870c2a"
"BiomedicalConceptProperty_132","True","string","True","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","d5f1dd2a-362a-4dcd-bfb3-d321badad5ab"
"BiomedicalConceptProperty_1","True","string","True","Adverse Event Verbatim Description","BiomedicalConceptProperty","Adverse Event Verbatim Description","2f24c7bf-581f-4816-9c0e-ad00fb711025"
"BiomedicalConceptProperty_2","True","string","True","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty","Adverse Event Dictionary Derived Term","394ecb47-f43b-4aec-83b3-cdc4b05e438f"
"BiomedicalConceptProperty_3","True","string","True","Adverse Event Category","BiomedicalConceptProperty","Adverse Event Category","e0169cc9-4cee-4727-a40d-233b623fa8c1"
"BiomedicalConceptProperty_4","True","string","True","Adverse Event Subcategory","BiomedicalConceptProperty","Adverse Event Subcategory","178504a1-3fd6-4857-b272-9491b9f1c08e"
"BiomedicalConceptProperty_5","True","boolean","True","Adverse Event Pre-specified","BiomedicalConceptProperty","Adverse Event Pre-specified","bdc095d4-e9e3-4792-9515-eab269027883"
"BiomedicalConceptProperty_6","True","string","True","Severity of Adverse Event","BiomedicalConceptProperty","Severity of Adverse Event","1cfa83ea-70c8-4d9d-90ed-653907801f9a"
"BiomedicalConceptProperty_7","True","string","True","Adverse Event Toxicity Grade","BiomedicalConceptProperty","Adverse Event Toxicity Grade","5bb04020-0b3a-4954-b714-413673f1329d"
"BiomedicalConceptProperty_8","True","boolean","True","Seriousness of Adverse Event","BiomedicalConceptProperty","Seriousness of Adverse Event","323f7a90-b863-43ac-86e7-74bc9a597e88"
"BiomedicalConceptProperty_9","True","string","True","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty","Adverse Event Action Taken with Study Treatment","5035e7e4-a915-42ab-830a-dc4af6c5c39e"
"BiomedicalConceptProperty_10","True","string","True","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty","Adverse Event Attribution to Product or Procedure","a7c452a3-0eae-440c-a24b-3cfb1a4f616a"
"BiomedicalConceptProperty_11","True","string","True","Adverse Event Pattern","BiomedicalConceptProperty","Adverse Event Pattern","6a3fc35a-4d95-4f97-a341-a07d9c2a0ec7"
"BiomedicalConceptProperty_12","True","string","True","Adverse Event Outcome","BiomedicalConceptProperty","Adverse Event Outcome","2d4bf70c-eea3-4ed6-bc50-766ce76180cd"
"BiomedicalConceptProperty_13","True","datetime","True","Adverse Event Start Date Time","BiomedicalConceptProperty","Adverse Event Start Date Time","ac280196-2d3e-499a-8334-acb715e58ec4"
"BiomedicalConceptProperty_14","True","datetime","True","Adverse Event End Date Time","BiomedicalConceptProperty","Adverse Event End Date Time","a998561f-e24d-4f2e-b254-7aafca0d6ff1"
"BiomedicalConceptProperty_15","True","decimal","True","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","5d8fac2e-ad19-4f10-87f4-c93ae93a85d3"
"BiomedicalConceptProperty_16","True","string","True","Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","63904fb3-db21-4fb8-9882-518e382f52a8"
