"description","id","label","instanceType","name","uuid:ID"
"Screening encounter","Encounter_1","Screening 1","Encounter","E1","1254dbc7-7907-4e30-8952-e37fdb79664f"
"Screening encounter - Ambulatory ECG Placement","Encounter_2","Screening 2","Encounter","E2","2dc75493-aeca-49bb-9c09-e70fc4224799"
"Baseline encounter - Ambulatory ECG Removal","Encounter_3","Baseline","Encounter","E3","64d5740b-7b1c-40b7-a8b4-ddacd360a6b4"
"Day 14","Encounter_4","Week 2","Encounter","E4","bc29059d-1b15-4b65-970f-528a8b039336"
"Day 28","Encounter_5","Week 4","Encounter","E5","035d21e8-3ba4-4b3d-ab6f-50562c9ce012"
"Day 42","Encounter_6","Week 6","Encounter","E7","b96f6b1e-916c-4b94-813d-3ff168973835"
"Day 56","Encounter_7","Week 8","Encounter","E8","1b364d47-399e-4457-aa27-f95ef9bb08d5"
"Day 84","Encounter_8","Week 12","Encounter","E9","d8e10f4c-28ae-4ce0-8b48-7f181ef049cc"
"Day 112","Encounter_9","Week 16","Encounter","E10","fc9cb0eb-23d8-4633-9349-e73ab3190ef5"
"Day 140","Encounter_10","Week 20","Encounter","E11","70e907e6-2da3-48d5-8b2f-7c64191b78ba"
"Day 168","Encounter_11","Week 24","Encounter","E12","75bfa29b-70c7-42b6-ad39-1bf34730c14e"
"Day 182","Encounter_12","Week 26","Encounter","E13","de7b6a7c-42be-4131-a23a-06963279695b"
