"id","text","instanceType","name","uuid:ID"
"TransitionRule_1","Subject identifier","TransitionRule","ENCOUNTER_START_RULE_1","a801a662-2525-4321-b825-d0b2797332b7"
"TransitionRule_2","completion of screening activities","TransitionRule","ENCOUNTER_START_RULE_1","806c7351-40ae-499e-95ae-9b81eb5e177d"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","ENCOUNTER_START_RULE_2","eaccbecc-238c-4770-b589-dd1aacd5006a"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule","ENCOUNTER_START_RULE_3","f57cd3c9-5f95-4e95-8e16-9f35076ccaef"
"TransitionRule_5","Radomized","TransitionRule","ENCOUNTER_START_RULE_3","9b3a1d7a-4ead-42e6-b1f5-d0ab03798dce"
"TransitionRule_6","End of treatment","TransitionRule","ENCOUNTER_START_RULE_12","6b9ac823-997a-4d74-99e0-7c4040385266"
"TransitionRule_7","Informed consent","TransitionRule","ELEMENT_START_RULE_1","a857fcd6-2fc5-495f-9c58-fa68bdf91c5a"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","ELEMENT_END_RULE_1","1a15b285-ceeb-44fa-a73d-47426faff0ae"
"TransitionRule_9","Administration of first dose","TransitionRule","ELEMENT_START_RULE_2","f4ddef68-e3ee-43e0-9c46-faa98e21f4b9"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule","ELEMENT_START_RULE_7","762100cb-8e58-4c35-af35-274000a197f2"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","ELEMENT_END_RULE_7","64fc4876-b393-4c5a-b4c9-f02ebd41e531"
"TransitionRule_10","Administration of first dose","TransitionRule","ELEMENT_START_RULE_3","3fabdb43-4e96-4b22-9886-5fb14d74314e"
"TransitionRule_11","Randomized","TransitionRule","ELEMENT_START_RULE_4","a9b7c1f4-83e0-417d-ad2c-0e21bae73553"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","ELEMENT_START_RULE_5","9520c1ac-53f7-49e2-be5e-00daf6e4e693"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","ELEMENT_START_RULE_6","bb48eea2-7d7b-4857-8c03-358e85d9278d"
