"windowLower","description","value","id","label","windowUpper","window","instanceType","name","uuid:ID"
"","Screening timing","P2W","Timing_1","Screening","","","Timing","TIM1","3b25db19-eb3f-4051-aaa0-810e82527aa6"
"PT4H","Pre dose timing","P2D","Timing_2","Pre dose","PT0H","-4..0 hours","Timing","TIM2","cb78d40d-c5fa-4a8b-b480-1c4f8375b057"
"","Dosing anchor","P1D","Timing_3","Dosing","","","Timing","TIM3","e11893d2-d822-4b63-8d37-e46cad6f3efd"
"P3D","Week 2 timing","P2W","Timing_4","Week 2","P3D","-3..3 days","Timing","TIM4","9ebfd1e4-01a3-4840-a1cc-f358bf5adc10"
"P3D","Week 4 timing","P4W","Timing_5","Week 4","P3D","-3..3 days","Timing","TIM5","6b5eade5-36b3-46df-934a-d3aebaf4780d"
"P3D","Week 6 timing","P6W","Timing_6","Week 6","P3D","-3..3 days","Timing","TIM6","6bdd83df-90d9-4e6d-96d5-86dc5c0015e9"
"P3D","Week 8 timing","P8W","Timing_7","Week 8","P3D","-3..3 days","Timing","TIM7","6b248925-aa56-4b2b-9daa-7c3bf792208e"
"P4D","Week 12 timing","P12W","Timing_9","Week 12","P4D","-4..4 days","Timing","TIM9","1313a1b5-9133-45b4-b68a-a80f29aac2b1"
"P4D","Week 16 timing","P16W","Timing_11","Week 16","P4D","-4..4 days","Timing","TIM11","d062dfc5-870a-4d2d-84a1-c4fc16b33f89"
"P4D","Week 20 timing","P20W","Timing_13","Week 20","P4D","-4..4 days","Timing","TIM13","f659cb2e-6323-465b-bde9-19e3c55e4852"
"P4D","Week 24 timing","P24W","Timing_15","Week 24","P4D","-4..4 days","Timing","TIM15","6b7d2515-fce8-4e45-aa52-964a3ff86073"
"P3D","Week 26 timing","P26W","Timing_16","Week 26","P3D","-3..3 days","Timing","TIM16","e91883d0-4a6f-471a-9e92-35c41110fb55"
"","Week 8 at home timing","P2W","Timing_8","Week 8 Home","","","Timing","TIM8","a71a165f-e420-4bbd-83df-513284f96b86"
"","Week 12 at home timing","P2W","Timing_10","Week 12 Home","","","Timing","TIM10","d207ab81-345b-4a76-aa6b-8ea318f42fe3"
"","Week 16 at home timing","P2W","Timing_12","Week 16 Home","","","Timing","TIM12","67dc0cb6-a2e0-4bfc-88c5-f4774e5ea0e2"
"","Week 20 at home timing","P2W","Timing_14","Week 20 Home","","","Timing","TIM14","c17c3859-278c-49f7-a160-1ef8d7375b38"
"","Adverse Event","P1D","Timing_17","Adverse Event","","","Timing","TIM17","a3630b31-5bc4-4d6d-9f53-eea732c172f8"
"","Early Termination","P1D","Timing_18","Early Termination","","","Timing","TIM18","a0a2ea6a-c86e-4bf7-9d27-a23b2d1ebe55"
"","Supine","PT0M","Timing_19","Supine","","","Timing","TIM19","62ac8bdd-d27e-4e33-a6fb-b0b58bb3879a"
"","VS while supine","PT5M","Timing_20","VS while supine","","","Timing","TIM20","535ea408-b188-4414-8e2e-6be88c706ef7"
"","Standing","PT0M","Timing_21","Standing","","","Timing","TIM21","cc7e6df8-03bd-427d-a42e-866783cc9d97"
"","VS while standing","PT1M","Timing_22","VS while standing","","","Timing","TIM22","da9207ff-55ad-461b-a702-79aa111b7b06"
"","Standing","PT0M","Timing_23","Standing","","","Timing","TIM23","312d080d-6e35-4266-8185-21db9a0d878d"
"","VS while standing","PT2M","Timing_24","VS while standing","","","Timing","TIM24","b704d3de-c5d3-4982-bc95-f9eb490e208c"
