"name","windowLower","windowUpper","uuid:ID","description","window","label","id","value","instanceType"
"TIM1","","","c18a2894-e071-49ec-b0c5-79f4f0a7b903","Screening timing","","Screening","Timing_1","P2W","Timing"
"TIM2","PT4H","PT0H","02c37192-d1b7-4fa5-a27c-49e70ad2838a","Pre dose timing","-4..0 hours","Pre dose","Timing_2","P2D","Timing"
"TIM3","","","fa5dc239-b86d-4b43-b28d-1a940939f6cb","Dosing anchor","","Dosing","Timing_3","P1D","Timing"
"TIM4","P3D","P3D","667dd14b-adf7-4b2a-b94d-0998768cac2f","Week 2 timing","-3..3 days","Week 2","Timing_4","P2W","Timing"
"TIM5","P3D","P3D","cc0d4676-91b2-41a2-85a1-578f277ecea9","Week 4 timing","-3..3 days","Week 4","Timing_5","P4W","Timing"
"TIM6","P3D","P3D","fc7ddcb5-f64d-4b2d-8a38-63e9d944ab13","Week 6 timing","-3..3 days","Week 6","Timing_6","P6W","Timing"
"TIM7","P3D","P3D","df064f2a-ce17-4ec4-9277-6f73f97f4681","Week 8 timing","-3..3 days","Week 8","Timing_7","P8W","Timing"
"TIM9","P4D","P4D","83a67439-640d-48fa-9ede-d2bbc36a4ddc","Week 12 timing","-4..4 days","Week 12","Timing_9","P12W","Timing"
"TIM11","P4D","P4D","892f71c9-3ec7-49e0-8f77-567e8559b6bf","Week 16 timing","-4..4 days","Week 16","Timing_11","P16W","Timing"
"TIM13","P4D","P4D","30d2d0bc-e641-4ebe-9aea-c14ca0fd8d3f","Week 20 timing","-4..4 days","Week 20","Timing_13","P20W","Timing"
"TIM15","P4D","P4D","9945718f-dd47-47cc-b643-2c00293320c7","Week 24 timing","-4..4 days","Week 24","Timing_15","P24W","Timing"
"TIM16","P3D","P3D","ce4837f4-20c1-44ce-9b9b-05f4fb992243","Week 26 timing","-3..3 days","Week 26","Timing_16","P26W","Timing"
"TIM8","","","a3847db6-0d20-4f5e-b95c-cbbf156cd583","Week 8 at home timing","","Week 8 Home","Timing_8","P2W","Timing"
"TIM10","","","5940fc57-a214-4619-9f15-63baeba0f62b","Week 12 at home timing","","Week 12 Home","Timing_10","P2W","Timing"
"TIM12","","","1a612a48-2b1d-44d7-b7cb-67ab2569d46f","Week 16 at home timing","","Week 16 Home","Timing_12","P2W","Timing"
"TIM14","","","f2fbe2cb-73e9-428b-bc65-f906d95be88e","Week 20 at home timing","","Week 20 Home","Timing_14","P2W","Timing"
"TIM17","","","ba2b8257-cfcf-40bf-b048-87652b0a4987","Adverse Event","","Adverse Event","Timing_17","P1D","Timing"
"TIM18","","","e03e1bac-465d-410f-9b51-e74128bcf2c2","Early Termination","","Early Termination","Timing_18","P1D","Timing"
"TIM19","","","e348fbdb-12a9-475e-9e36-b9cfe5874adb","Supine","","Supine","Timing_19","PT0M","Timing"
"TIM20","","","8aca0880-057e-4084-acd2-765ca67701a2","VS while supine","","VS while supine","Timing_20","PT5M","Timing"
"TIM21","","","11ae1348-2227-4ea0-bf8c-681e0afd02d1","Standing","","Standing","Timing_21","PT0M","Timing"
"TIM22","","","e1eeff33-f26f-407b-b543-ac188970c664","VS while standing","","VS while standing","Timing_22","PT1M","Timing"
"TIM23","","","369807b4-edf0-4822-aa40-79c62c228799","Standing","","Standing","Timing_23","PT0M","Timing"
"TIM24","","","3293dc21-90bc-4c34-8ac7-14df5d750f88","VS while standing","","VS while standing","Timing_24","PT2M","Timing"
