"reference","name","uuid:ID","label","id","synonyms","instanceType"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","8d40191e-d57d-4ea7-82af-f9d7c92a9ca3","Body Temperature","BiomedicalConcept_20","['Temperature']","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","c966db5a-9a2d-4b45-ad68-f56f4bacef3a","Body Weight","BiomedicalConcept_21","['Weight']","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","3b5ae31f-d669-4577-9205-0167631110f2","Body Height","BiomedicalConcept_22","['Height']","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","02c0e877-8f8f-41e1-9199-f4ba6c1e1eb1","Alanine Aminotransferase Measurement","BiomedicalConcept_23","['ALT', 'SGPT']","BiomedicalConcept"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","c85ae442-90db-461b-acb1-a6129f3b2bc6","Albumin Measurement","BiomedicalConcept_24","['Albumin']","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","db14a743-704f-452a-8bfb-7b945f03a2be","Alkaline Phosphatase Measurement","BiomedicalConcept_25","['Alkaline Phosphatase']","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","7c06b011-6501-40bd-81fb-8c0f9726781d","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","['AST', 'SGOT']","BiomedicalConcept"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","3a8d09ec-d41a-40ac-85ef-0644bfd20484","Creatinine Measurement","BiomedicalConcept_27","['Creatinine']","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","8939c9ce-5bbc-4548-bfd1-cee8ab4d9e01","Potassium Measurement","BiomedicalConcept_28","['Potassium', 'K']","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","557daab1-81e5-4dfd-ba06-88c4701bb85d","Sodium Measurement","BiomedicalConcept_29","['Sodium', 'NA']","BiomedicalConcept"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","310d1ff0-7886-4ddf-b68e-85650799a993","Adverse Event","BiomedicalConcept_1","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","0ec29425-c4f1-48af-8389-d227a18d7c33","Systolic Blood Pressure","BiomedicalConcept_2","['SYSBP']","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","7214a0b6-c180-4019-bb90-d68de9b5920e","Diastolic Blood Pressure","BiomedicalConcept_3","['DIABP']","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","732b807c-3fef-445a-8775-9007b350feca","Body Temperature","BiomedicalConcept_4","['Temperature']","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","772b9f14-3cda-40e5-8324-82bd37de02be","Body Weight","BiomedicalConcept_5","['Weight']","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","cb70e74f-959f-481f-b3f3-520b13d86c36","Body Height","BiomedicalConcept_6","['Height']","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","3b2bdd93-7351-4e1e-946a-786242677ede","Alanine Aminotransferase Measurement","BiomedicalConcept_7","['ALT', 'SGPT']","BiomedicalConcept"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","e9d25eb5-caf7-4931-8e95-5850f9fce845","Albumin Measurement","BiomedicalConcept_8","['Albumin']","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","880c623d-dbae-47e8-8e69-474661f32e15","Alkaline Phosphatase Measurement","BiomedicalConcept_9","['Alkaline Phosphatase']","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","f3a846f9-2ada-43e5-9759-daa25626cc6d","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","['AST', 'SGOT']","BiomedicalConcept"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","8d26e231-e2c3-4810-bb2c-0a064ed82934","Creatinine Measurement","BiomedicalConcept_11","['Creatinine']","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","ed044d3a-a81f-473d-b81c-e0b5b845d16d","Potassium Measurement","BiomedicalConcept_12","['Potassium', 'K']","BiomedicalConcept"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","5f19f13a-c25f-4ab7-8b84-d1846b39ab49","Sodium Measurement","BiomedicalConcept_13","['Sodium', 'NA']","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","de18a445-7a5a-4aa3-8426-2caae71d922b","Systolic Blood Pressure","BiomedicalConcept_14","['SYSBP']","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","6b535a21-b6cf-4817-a9af-b405f248721c","Diastolic Blood Pressure","BiomedicalConcept_15","['DIABP']","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","ad8bbad2-cb12-41e5-b266-fa51dd1685c2","Heart Rate","BiomedicalConcept_16","","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","bca6ebe7-f3bc-4e9c-8541-036c6031a2a3","Systolic Blood Pressure","BiomedicalConcept_17","['SYSBP']","BiomedicalConcept"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","1dfb9221-286e-4446-a785-718c2949558a","Diastolic Blood Pressure","BiomedicalConcept_18","['DIABP']","BiomedicalConcept"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","1be62876-a2b8-468a-8810-6c9be5773d0b","Heart Rate","BiomedicalConcept_19","","BiomedicalConcept"
