"name","uuid:ID","sectionTitle","sectionNumber","id","text","instanceType"
"ROOT","61f71d17-6c60-4e80-8748-e3cfa6c726bf","Root","0","NarrativeContent_1","","NarrativeContent"
"SECTION 0","2b1b5f93-dcfe-4ec4-9782-1e8f100fb91d","TITLE PAGE","0","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent"
"SECTION 1","cbcece59-4e4a-48a2-918a-5ad0f1ea2d06","PROTOCOL SUMMARY","1","NarrativeContent_3","<div></div>","NarrativeContent"
"SECTION 1.1","bdd37058-030e-478d-a8a1-edf9945cb899","Protocol Synopsis","1.1","NarrativeContent_4","<div></div>","NarrativeContent"
"SECTION 1.2","5f587765-5c17-4a1a-af43-be0015b3ee4d","Trial Schema","1.2","NarrativeContent_5","<div></div>","NarrativeContent"
"SECTION 1.3","1c3c0719-a831-4489-9d42-c91322d3c60c","Schedule of Activities","1.3","NarrativeContent_6","<div></div>","NarrativeContent"
"SECTION 2","92a597a9-4059-4037-920c-2013c9b564b5","INTRODUCTION","2","NarrativeContent_7","<div></div>","NarrativeContent"
"SECTION 2.1","d217d73c-89b6-49e2-873d-276118d56ec7","Purpose of Trial","2.1","NarrativeContent_8","<div></div>","NarrativeContent"
"SECTION 2.2","5fc76dfc-852f-4b6a-a71c-02f4e2c0e728","Summary of Benefits and Risks","2.2","NarrativeContent_9","<div></div>","NarrativeContent"
"SECTION 3","225bbae0-6293-4905-ba86-f5c20f9b429f","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","NarrativeContent_10","<div></div>","NarrativeContent"
"SECTION 3.1","84adc802-21b4-4260-ae68-55585d623eab","Primary Objectives","3.1","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent"
"SECTION 4","c5b38bf9-8bb8-4c02-9f45-8596dce8bf52","TRIAL DESIGN","4","NarrativeContent_12","<div></div>","NarrativeContent"
"SECTION 4.1","322dc5f7-6cec-44bd-937b-22f3bcbb6980","Description of Trial Design","4.1","NarrativeContent_13","<div></div>","NarrativeContent"
"SECTION 4.1.1","c310fbc0-0110-480e-9d45-ec42a7142247","Participant Input into Design","4.1.1","NarrativeContent_14","<div></div>","NarrativeContent"
"SECTION 4.2","75207cce-ac9d-4f5e-9c87-423e689e2b6e","Rationale for Trial Design","4.2","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent"
"SECTION 4.2.1","5161ee72-43c9-4bde-83de-19bdca0f8d06","Rationale for Comparator","4.2.1","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent"
"SECTION 4.2.2","e8afbd30-9699-4675-bfb1-5156942a7042","Rationale for Adaptive or Novel Trial Design","4.2.2","NarrativeContent_17","<div></div>","NarrativeContent"
"SECTION 4.2.3","d2747f6f-e13f-475e-bebb-3486e914f515","Other Trial Design Considerations","4.2.3","NarrativeContent_18","<div></div>","NarrativeContent"
"SECTION 4.3","3209e17a-1a5b-4c46-83d0-a2eed5b46089","Access to Trial Intervention After End of Trial","4.3","NarrativeContent_19","<div></div>","NarrativeContent"
"SECTION 4.4","fb75af7c-e83f-47d4-bd43-3c6c72e1c7c1","Start of Trial and End of Trial","4.4","NarrativeContent_20","<div></div>","NarrativeContent"
"SECTION 5","ddc66c0b-6707-4cbe-bc73-b76fcbf8e42d","TRIAL POPULATION","5","NarrativeContent_21","<div></div>","NarrativeContent"
"SECTION 5.1","955bb4c3-c561-4ae9-afb6-090747e768b3","Selection of Trial Population","5.1","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent"
"SECTION 5.2","bb757af9-4ddb-4a78-a887-eb6805973af9","Rationale for Trial Population","5.2","NarrativeContent_23","<div></div>","NarrativeContent"
"SECTION 5.3","73a4b55f-34d0-44a8-b889-691bb8f902f3","Inclusion Criteria","5.3","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent"
"SECTION 5.4","a162326b-324e-4374-b6b0-65d801fca34f","Exclusion Criteria","5.4","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent"
"SECTION 5.5","75e48f85-de43-48a7-81ae-6ac2d62acf1d","Lifestyle Considerations","5.5","NarrativeContent_26","<div></div>","NarrativeContent"
"SECTION 5.5.1","320e0999-50c6-4c2d-a3bc-ba0a199ff62e","Meals and Dietary Restrictions","5.5.1","NarrativeContent_27","<div></div>","NarrativeContent"
"SECTION 5.5.2","120d8f1f-dfe3-4ee8-b7db-62d12bf453ef","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","NarrativeContent_28","<div><p>Not applicable</p></div>","NarrativeContent"
"SECTION 5.5.3","f54386b1-57d8-4cab-aeca-74d106d8bf31","Physical Activity","5.5.3","NarrativeContent_29","<div></div>","NarrativeContent"
"SECTION 5.5.4","3b4ac646-a055-4622-a4c1-6e757e03437d","Other Activity","5.5.4","NarrativeContent_30","<div></div>","NarrativeContent"
"SECTION 5.6","425bbbce-73ef-43af-b189-cf5d492ef896","Screen Failures","5.6","NarrativeContent_31","<div></div>","NarrativeContent"
"SECTION 6","6d3d3562-7854-41d2-b79a-3b34d481dffa","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","NarrativeContent_32","<div></div>","NarrativeContent"
"SECTION 6.1","e0c8e69c-96d0-4505-a269-10edf9028f02","Description of Trial Intervention","6.1","NarrativeContent_33","<div></div>","NarrativeContent"
"SECTION 6.2","01159fd7-0de0-4cdf-adb1-4dbd385ac0df","Rationale for Trial Intervention","6.2","NarrativeContent_34","<div></div>","NarrativeContent"
"SECTION 6.3","acdd6f81-8db0-4865-bc05-506f3f2a601d","Dosing and Administration","6.3","NarrativeContent_35","<div></div>","NarrativeContent"
"SECTION 6.3.1","1eab38b7-06ac-473d-a04e-bd8474d68faf","Trial Intervention Dose Modification","6.3.1","NarrativeContent_36","<div></div>","NarrativeContent"
"SECTION 6.4","f550010b-1266-4c26-9c6e-273c23db5cf3","Treatment of Overdose","6.4","NarrativeContent_37","<div></div>","NarrativeContent"
