"name","uuid:ID","id","text","instanceType"
"ENCOUNTER_START_RULE_1","6a842523-1fa4-4709-9ccc-033541312f51","TransitionRule_1","Subject identifier","TransitionRule"
"ENCOUNTER_START_RULE_1","10fd954f-c7cd-4c0e-8a48-731bcb2fc9c7","TransitionRule_2","completion of screening activities","TransitionRule"
"ENCOUNTER_START_RULE_2","19823ec4-5b15-43a3-b4b6-6d327458bcdb","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"ENCOUNTER_START_RULE_3","39fae3a6-d932-4d00-a4b5-cd823734b6d2","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule"
"ENCOUNTER_START_RULE_3","2c41ef6a-7bd1-48f4-b280-0a4efd77869d","TransitionRule_5","Radomized","TransitionRule"
"ENCOUNTER_START_RULE_12","d2e9a201-37f8-4f4c-b089-2159b45b18d1","TransitionRule_6","End of treatment","TransitionRule"
"ELEMENT_START_RULE_1","bf55042f-3bb8-4ccd-b467-e6effad820cc","TransitionRule_7","Informed consent","TransitionRule"
"ELEMENT_END_RULE_1","9c61e7b9-2077-495c-9914-b7f2fd1d08a3","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"ELEMENT_START_RULE_2","538aa82c-0fb7-4b73-b06c-860455207817","TransitionRule_9","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_7","20bb3f71-ba0c-4111-9502-dc850874f824","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule"
"ELEMENT_END_RULE_7","95b41567-9759-495a-b54b-63538630eea1","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"ELEMENT_START_RULE_3","e8d880bb-903d-4dea-93c3-1ab6f37cdd2c","TransitionRule_10","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_4","cb4bcf08-3ef7-4650-b6da-2c4226ca1d37","TransitionRule_11","Randomized","TransitionRule"
"ELEMENT_START_RULE_5","302cb39d-2b9e-4aa0-b9ae-2f41d6d64ffa","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"ELEMENT_START_RULE_6","a2070301-c992-449c-af93-54c597e29bde","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
