"name","uuid:ID","synonyms","id","label","reference","instanceType"
"Sex","56d2f19b-2caf-459d-bf2b-cb17e7947de7","","BiomedicalConcept_20","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept"
"Race","98ba4a70-abb0-4431-96c6-f145d6ff34ac","['Racial Group']","BiomedicalConcept_21","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept"
"Temperature","a35ec39f-6a5e-4bcb-9b66-53db8cf52324","['Temperature', 'Body Temperature']","BiomedicalConcept_22","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"Weight","0065a164-90d8-4ec2-9bd2-6fee1111a2bf","['Weight', 'Body Weight']","BiomedicalConcept_23","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"Height","38835ac5-1d9a-4e3e-9431-06a7434263eb","['Height', 'Body Height']","BiomedicalConcept_24","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","32239a29-82bc-47d7-b878-9ad03f8cacd1","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
"Albumin Presence in Urine","650b397c-a714-466f-9370-b5fd175eab8e","['Albumin', 'Albumin Measurement']","BiomedicalConcept_26","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","dc2de52b-9b66-4c4c-b0e9-c3c900219f38","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","25d609ec-ab8f-40c3-b1c2-54d3cb8aa66e","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
"Creatinine Concentration in Urine","aed1ca6a-7d5d-4426-aad4-33ae0a742a22","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_29","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
"Potassium Concentration in Urine","741d7344-228a-4b57-ad7d-8fae3d41767e","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_30","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"Sodium Concentration in Urine","3db11b1d-eab7-44a3-9091-96c7c10da414","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_31","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"Hemoglobin A1C Concentration in Blood","8f5f594d-7df1-4c81-a0ae-7e046eacca09","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept"
"Adverse Event Prespecified","924b6238-a2a1-4bed-abc0-de92431947ac","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept"
"Systolic Blood Pressure","b38675f0-ecb7-4748-ad2b-94aec047b943","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","a4dc945e-cb8d-44af-bfee-a024f705f86a","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Temperature","d1521937-8726-48db-8f2f-2f9b5adc9acd","['Temperature', 'Body Temperature']","BiomedicalConcept_4","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"Weight","a24a2936-f894-43b5-a42f-1e11c9f3ffae","['Weight', 'Body Weight']","BiomedicalConcept_5","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"Height","4d27b857-61c2-4eea-8c9c-42da76c8ff9a","['Height', 'Body Height']","BiomedicalConcept_6","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","b06e622c-4253-4b32-af27-609bacfd47db","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
